step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed
0,actuated,0,0,342.8043271086402,45.10583251429477,1396.0772195065797,174.50965243832246,48.0,1.6666666666666667,47333.891524208986,1643.5379001461451,28.8,4.918784987062715,30.64941315782328,11.0,16,5.126137195215009,0.3819444444444444,30.649413157823275,100.0,3.2,0.4,3.668155136155857,0.0,8,0.6107407954931432,0.2,7.759903032914701,8.26462243179094,0.2,8.597114237863572,25.120821263936932,0.6,4.058951419184522,100.0,1.0,0.0,11.199120771365187,0.2,8.929272399284061,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,763.1444494306301,112.22712491626913,1038298.0791439036,129787.25989298795,127.2,4.12987012987013,47203.03834115802,1532.566179907728,30.8,2.8713215515000217,50.0,20.0,21,4.683556336251439,0.6493506493506493,50.0,100.0,4.2,0.525,0.0,0.0,8,100.0,1.0,0.0,0.0,0.2,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,890.7499587324513,114.19871265800658,200890.74995873246,25111.343744841557,244.4,6.982857142857143,57422.31762841069,1640.6376465260198,35.0,2.9212455798215435,51.015227459322716,26.0,21,4.293743351139797,0.7428571428571429,51.015227459322716,100.0,4.2,0.525,0.6943255208311355,0.0,8,100.0,1.0,0.0,8.12181967458173,0.2,5.554604166649084,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,1188.2216723039887,152.3361118338447,201188.22167230403,25148.527709038004,377.4,9.72680412371134,63593.763969718675,1639.0145353020278,38.8,1.8518417172621233,62.5,28.8,25,2.827823157663489,0.7422680412371134,62.5,100.0,5.0,0.625,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,1039.8471205434648,129.9808900679331,1039.8471205434648,129.9808900679331,526.8,12.848780487804879,67788.62017607922,1653.380979904371,41.0,2.7349524751951573,63.905003789188584,31.0,26,3.4378780542845537,0.7560975609756098,63.905003789188584,100.0,5.2,0.65,1.1120966448797789,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.240030313508669,0.2,8.896773159038231
5,actuated,0,0,1198.5559735491788,166.46610743738594,5968.10555394801,746.0131942435013,691.4,15.930875576036867,68411.50641696218,1576.3019911742438,43.4,3.08273818782765,63.984129910041574,35.4,26,4.571700399213266,0.815668202764977,63.984129910041574,100.0,5.2,0.65,1.0528054110547713,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.873039280332591,0.2,8.42244328843817,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,1363.414608952932,206.57797105347456,496687.26333443326,62085.90791680416,878.4,19.01298701298701,73032.62741997304,1580.7928012981176,46.2,3.318014165458833,63.869622263304606,39.8,27,5.332630552389651,0.8614718614718615,63.869622263304606,100.0,5.4,0.675,1.0757946326979437,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,10.95697810643685,0.4,8.60635706158355,0.0,0.0,0.0
7,actuated,0,0,713.6946708740071,123.05080532310468,2094893.110540888,261861.638817611,1082.0,22.263374485596707,74901.84110742486,1541.19014624331,48.6,3.8430346089954854,62.5,42.6,25,5.818496939925739,0.8765432098765432,62.5,100.0,5.0,0.625,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,1236.068716065679,193.13573688526233,2866805.051232987,358350.6314041234,1302.0,25.93625498007968,79412.85460787526,1581.9293746588698,50.2,3.5709176540995857,62.5,45.0,25,5.587430762913307,0.896414342629482,62.5,100.0,5.0,0.625,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,0,0,532.9837612200129,133.24594030500322,2457696.184119201,307212.0230149001,1533.8,29.38314176245211,78902.35067508793,1511.5392849633704,52.2,2.2620548742115063,66.20390889000006,48.2,27,4.482529766816595,0.9233716475095786,66.20390889000006,100.0,5.4,0.675,0.6879257558641707,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,29.63127112000052,0.4,5.503406046913366,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,actuated,0,0,648.5641759683206,170.67478314955804,3879998.53493351,484999.8168666887,1781.0,33.10408921933085,84703.5735779597,1574.4158657613327,53.8,1.2048965438262642,75.0,50.2,30,2.6652016954725695,0.9330855018587361,75.0,100.0,6.0,0.75,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,actuated,0,0,603.4611820298031,167.62810611938974,7218276.495224568,902284.561903071,2031.4,37.205128205128204,84977.55823750985,1556.3655354855284,54.6,1.6215482819950773,75.5988604259042,50.8,32,2.838289628970533,0.9304029304029304,75.5988604259042,100.0,6.4,0.8,1.1041138478904031,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,4.79088340723365,0.4,8.832910783123225
12,actuated,0,0,830.3110624864709,207.57776562161771,3801147.18445822,475143.3980572775,2289.0,41.169064748201436,86762.17976733072,1560.470859124653,55.6,2.523959783738822,75.0,52.2,30,4.54420087065569,0.9388489208633094,75.0,100.0,6.0,0.75,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,actuated,0,0,765.9637027960127,166.51384843391583,3201002.7822773773,400125.34778467217,2549.8,44.11418685121107,90327.34210333777,1562.756783794771,57.8,2.3995595729092,75.90924637682782,53.2,32,4.758312423311584,0.9204152249134948,75.90924637682782,100.0,6.4,0.8,1.0883631441625767,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,7.273971014622589,0.4,8.706905153300614,0.0,0.0,0.0
14,actuated,0,0,625.7538295469209,142.21677944248202,3729147.103244382,466143.38790554774,2819.2,48.60689655172414,90040.8397403619,1552.42827138555,58.0,2.3443957818040846,75.0,54.6,30,4.48485241835579,0.9413793103448276,75.0,100.0,6.0,0.75,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,actuated,0,0,58.5461281391567,22.517741591983345,6648866.204270653,831108.2755338317,3096.2,53.38275862068966,89160.07239384815,1537.2426274801405,58.0,2.5964559760206103,75.0,56.0,30,4.68992354076581,0.9655172413793104,75.0,100.0,6.0,0.75,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,actuated,0,0,357.96114298845913,137.67736268786888,5125908.670601853,640738.5838252316,3380.0,57.48299319727891,91127.51572643875,1549.787682422428,58.8,2.959340606753931,76.38899064556249,57.2,31,5.260539549475975,0.9727891156462585,76.38899064556249,100.0,6.2,0.775,1.1249175831326415,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.111925164499894,0.2,8.999340665061132
17,actuated,0,0,521.0367189196878,153.24609379990818,4202963.8302042745,525370.4787755343,3665.0,62.11864406779661,90167.75584602609,1528.2670482377303,59.0,3.5249323326809083,75.0,57.2,30,5.985383522365912,0.9694915254237289,75.0,100.0,6.0,0.75,0.0,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
