step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed
0,actuated,0,0,207.17150327755925,34.52858387959321,207.17150327755925,34.52858387959321,2.2,0.10679611650485436,36336.115336619245,1763.8890940106428,20.6,2.8925702362238095,24.65962006381389,1.8,16,0.8319643379381524,0.08737864077669903,24.65962006381389,44.842886509370885,3.2,0.5333333333333333,2.883780131702316,0.0,6,38.497017602928736,0.8,3.8282536907121654,40.26517012577784,0.8,4.047352144282382,0.0,0.0,0.0,24.352646144805874,0.6,3.664827656131109,0.0,0.2,0.0,44.842886509370885,0.8,5.76224729908824
1,actuated,0,0,228.39155371238903,38.06525895206484,228.39155371238903,38.06525895206484,25.6,1.1851851851851851,39137.35265702544,1811.914474862289,21.6,2.679253778366524,35.67470344661004,8.4,14,0.8003165420954164,0.3888888888888889,35.67470344661004,100.0,2.8000000000000003,0.46666666666666673,3.598901729006401,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,12.29160609960644,0.2,8.13563330858787,1.7037056095159642,0.2,7.685545639394358,0.05290897053782828,0.4,5.772231426056176,0.0,0.0,0.0
2,actuated,0,0,637.3556435283715,113.81350777292349,11422.273573682201,1903.712262280367,80.8,3.4237288135593222,37816.52950134613,1602.3953178536497,23.6,1.7433370663646153,50.606842106901176,13.8,17,1.3145616945954433,0.5847457627118644,50.606842106901176,100.0,3.4,0.5666666666666667,0.8648409759530177,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,3.641052641407043,0.4,5.189045855718106
3,actuated,0,0,629.3577687251378,108.50996012502377,200629.35776872514,33438.22629478752,156.2,6.149606299212598,40784.85500168886,1605.7029528223964,25.4,1.4640882442929488,60.37727425484258,16.6,19,0.8288998350240746,0.6535433070866141,60.37727425484258,100.0,3.8,0.6333333333333333,0.9446143739081919,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,62.26364552905551,0.8,5.667686243449151,0.0,0.0,0.0
4,actuated,0,0,567.6790514656778,97.87569852856515,838.0809536397271,139.6801589399545,244.4,8.605633802816902,46218.28038517573,1627.4042389146382,28.4,1.2420829649934642,78.91325835516767,19.4,26,0.796927407933402,0.6830985915492958,78.91325835516767,100.0,5.2,0.8666666666666667,1.2783894511974914,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,64.69094229349224,0.8,1.8389092112048346,100.0,1.0,0.0,100.0,1.0,0.0,8.78860783751378,0.4,5.831427495980113
5,actuated,4,0,579.6224276323217,96.60373793872027,579.6224276323217,96.60373793872027,124.0,4.305555555555555,49873.3031578574,1731.711915203382,28.8,1.2986129807552595,66.66666666666667,11.0,24,0.6036731509235869,0.3819444444444444,66.66666666666667,100.0,4.8,0.7999999999999999,0.0,0.0,6,80.0,1.0,0.0,80.0,1.0,0.0,80.0,1.0,0.0,60.0,0.8,0.0,100.0,1.0,0.0,0.0,0.0,0.0
6,actuated,4,4,262.97133502565555,43.82855583760926,262.97133502565555,43.82855583760926,85.2,3.227272727272727,50827.552228465545,1925.2860692600586,26.4,2.748868707781152,41.88038397255184,6.8,18,1.2887101849861509,0.25757575757575757,41.88038397255184,100.0,3.5999999999999996,0.6,1.7227253179790614,0.0,6,23.399158305876426,0.6,1.8142047346774794,20.6763511254195,0.6,1.689881375353457,0.0,0.0,0.0,32.72792726918112,0.6,1.994546969472543,100.0,1.0,0.0,74.47886713483399,0.8,4.837718828370889
7,actuated,4,4,227.6717653261951,37.94529422103252,227.6717653261951,37.94529422103252,119.2,5.6761904761904765,38805.80344725525,1847.89540225025,21.0,4.079505799929767,45.334840237587365,7.4,23,2.3114411560270134,0.3523809523809524,45.334840237587365,100.0,4.6,0.7666666666666666,3.51545825330938,0.0,6,26.55425417623121,1.0,4.651657718697513,26.791624832047773,1.0,3.9334105667870816,1.5396563504248206,0.2,8.561620793770999,17.12350606682037,0.4,3.9460604406006854,100.0,1.0,0.0,100.0,1.0,0.0
8,actuated,4,4,664.5022877623503,114.56935995902592,1543.646508446574,257.274418074429,164.0,7.387387387387387,34450.48056186906,1551.8234487328407,22.2,2.378911950977832,46.091452550636994,11.4,18,2.253418774436274,0.5135135135135135,46.091452550636994,100.0,3.6,0.6,2.442175957713793,0.0,6,20.0,0.2,0.13092880119987915,50.794753642620094,0.8,5.327951010384442,0.0,0.2,0.0,5.753961661201856,0.4,9.194175934698436,100.0,1.0,0.0,100.0,1.0,0.0
9,actuated,4,4,609.5832357944794,105.10055789559989,1682.2241575093526,280.3706929182254,232.8,9.238095238095237,41809.424921530044,1659.1041635527795,25.2,1.2423594782270735,47.47479183647215,16.2,17,0.8208975175025234,0.6428571428571429,47.47479183647215,100.0,3.4,0.5666666666666667,1.0763236510063054,0.0,6,0.0,0.2,0.0,84.8487510188329,1.2,6.457941906037832,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
