step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed
0,actuated,0,0,748.0371517484429,79.57842039877052,1209015.3168936798,109910.48335397089,75.6,3.3451327433628317,43754.19587433333,1936.0263661209437,22.6,3.9426845348196107,19.07954157620886,10.4,14,4.092573617581186,0.46017699115044247,19.07954157620886,100.0,2.8,0.2545454545454545,3.364633146888589,0.0,11,12.354678222179416,0.4,8.094099919209356,20.0,0.2,6.084834540962115,0.0,0.0,0.0,0.0,0.0,0.0,8.827341489193827,0.2,11.328439046163227,0.0,0.0,0.0,0.0,0.0,0.0,8.69293762692422,0.2,11.50359110943978,100.0,1.0,0.0,60.0,0.8,0.0,0.0,0.0,0.0
1,actuated,0,0,514.0971358364553,55.88012346048428,1226501.4959788052,111500.13599807321,130.8,5.5423728813559325,44577.29746132009,1888.868536496614,23.6,3.7221555179710575,10.16121254236437,12.4,8,3.6712777105936363,0.5254237288135594,10.16121254236437,100.0,1.6,0.14545454545454548,0.7721607174750553,0.0,11,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.773337966008057,0.2,8.493767892225609,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,437.215767063897,54.65197088298712,2635668.3970234776,239606.21791122525,197.0,7.462121212121212,50954.60040476567,1930.0985001805177,26.4,2.7002047280301125,12.472609637943425,14.6,11,2.505780230152784,0.553030303030303,12.472609637943425,100.0,2.2,0.2,2.6631482913515767,0.0,11,0.0,0.0,0.0,0.0,0.4,0.0,20.0,0.4,6.015133244750586,0.0,0.0,0.0,8.863314700107026,0.2,11.28246072530771,0.0,0.0,0.0,8.335391317270648,0.2,11.997037234809047,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,752.0937339491841,83.56597043879823,1878019.7216010592,170729.06560009628,246.8,9.007299270072993,50977.01820496769,1860.4751169696237,27.4,3.027017224955651,16.95286187268465,14.6,10,2.736791373080509,0.5328467153284672,16.95286187268465,100.0,2.0,0.18181818181818182,0.5539549442978627,0.0,11,86.48148059953115,1.0,6.09350438727649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,461.7855674173414,51.30950749081571,2000461.785567417,181860.16232431063,243.4,8.883211678832117,50901.490949391344,1857.7186477880055,27.4,3.9851822443886418,16.438057983213785,12.0,12,3.688860717027277,0.43795620437956206,16.438057983213785,100.0,2.4,0.21818181818181817,2.1385109507691316,0.0,11,100.0,1.0,0.0,23.877229732530623,0.4,6.669553328996045,28.079080580944265,0.4,5.570349620850165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.862327501876734,0.2,11.28371750861424,0.0,0.0,0.0,20.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,619.2822387044749,70.37298167096306,2200619.282238704,200056.29838533673,310.4,10.210526315789474,58786.14656410483,1933.7548211876588,30.4,3.5287751033696977,36.806176035227956,16.0,23,3.467412139433948,0.5263157894736842,36.806176035227956,100.0,4.6,0.41818181818181815,2.2060435952658617,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,3.5948040747766186,0.4,10.656990878283981,8.495326486046224,0.2,11.771177972294812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7778058266847,1.0,1.8383106973456877,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,423.239026929198,48.095343969227045,2200423.2390269293,200038.47627517537,394.2,13.6875,53759.0624914622,1866.634114286882,28.8,4.747704877276609,37.95197987619676,17.6,22,4.736659118927158,0.6111111111111112,37.95197987619676,100.0,4.4,0.4,2.082049817755598,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.904037545641472,0.2,11.23086009997229,0.0,0.0,0.0,8.567741092522851,0.2,11.671687895339291,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,actuated,0,0,539.7952728452648,61.34037191423463,2200539.795272845,200049.07229753135,483.8,16.019867549668874,54544.964043176034,1806.1246371912594,30.2,4.461215955378599,36.9369881043939,19.8,22,4.949144721827819,0.6556291390728477,36.9369881043939,100.0,4.4,0.4,1.042215318156576,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,6.306869148332908,0.4,11.464368499722337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,1,0,575.7799564853348,66.95115773085288,2138072.306298475,194370.20966349772,539.8,17.191082802547772,55517.3907755753,1768.0697699227803,31.4,3.429336974304826,31.691325667426067,18.0,19,4.205799520125718,0.5732484076433121,31.691325667426067,100.0,3.8000000000000003,0.34545454545454546,1.056519506689619,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.60458234168675,0.2,11.621714573585807,0.0,0.0,0.0,40.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,2,1,885.9005386479791,108.03665105463162,2006711.3352274082,182428.30320249166,632.2,18.485380116959064,59273.48167461442,1733.1427390238134,34.2,2.9369702243355773,30.625206066709026,21.8,20,3.954114400271376,0.6374269005847953,30.625206066709026,100.0,4.0,0.36363636363636365,1.3046866235276935,0.0,11,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.443580222908622,0.2,11.8433173322243,28.433686510890652,0.8,2.508235526580326,0.0,0.0,0.0,0.0,0.0,0.0
