step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed
0,random,0,0,353.56961124425095,88.39240281106274,353.56961124425095,88.39240281106274,36.6,1.9891304347826086,30454.266246606265,1655.1231655764275,18.4,2.0511232093348966,36.56920782477293,7.6,11,1.10551056651059,0.41304347826086957,36.56920782477293,80.77942117228531,2.2,0.55,3.069975584005885,0.0,4,60.0,0.8,0.0,5.497410126806415,0.4,4.3853487473904735,0.0,0.0,0.0,80.77942117228531,1.0,7.894553588633067
1,random,0,0,238.09422862973184,59.52355715743296,238.09422862973184,59.52355715743296,49.0,2.8160919540229883,28287.460186058142,1625.7161026470196,17.4,2.340390979535707,40.652978192838845,7.6,9,1.3430472177517816,0.4367816091954023,40.652978192838845,100.0,1.8,0.45,0.38990749099064653,0.0,4,62.61191277135538,0.8,1.5596299639625861,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
2,random,0,0,308.80682995830205,77.20170748957551,308.80682995830205,77.20170748957551,78.2,3.989795918367347,32012.008224353216,1633.265725732307,19.6,2.557655223059629,50.1766406341622,9.6,12,2.2003667482688223,0.4897959183673469,50.1766406341622,100.0,2.4,0.6,2.0861029907129702,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.7065625366487893,0.4,8.344411962851881,100.0,1.0,0.0
3,random,0,0,536.2879167912139,134.07197919780347,536.2879167912139,134.07197919780347,136.8,6.333333333333333,35975.46402703163,1665.5307419922049,21.6,1.6660870836761739,52.787503214233745,14.2,11,1.6147027922558779,0.6574074074074074,52.78750321423374,100.0,2.2,0.55,2.242149880970837,0.0,4,100.0,1.0,0.0,11.15001285693495,0.2,8.968599523883348,0.0,0.0,0.0,100.0,1.0,0.0
4,random,4,0,530.399892581974,132.5999731454935,530.399892581974,132.5999731454935,189.4,8.307017543859649,37950.46034982852,1664.493874992479,22.8,1.932775077438454,50.0,15.6,10,1.563913000623746,0.6842105263157895,50.0,100.0,2.0,0.5,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
5,random,4,4,275.4082922850576,86.0650913390805,173355.46075617295,43338.86518904324,269.0,11.594827586206897,37933.53294389881,1635.0660751680523,23.2,2.805046274697623,55.62304488182419,17.0,12,2.4784906712715316,0.7327586206896551,55.6230448818242,100.0,2.4,0.6,4.447478055232116,0.0,4,100.0,1.0,0.0,11.040364197735357,0.2,9.057672211620735,11.451815329561441,0.2,8.732240009307729,100.0,1.0,0.0
6,random,4,4,446.2853862678181,131.26040772582886,1306856.8086985843,326714.2021746461,357.6,14.9,39181.226446388384,1632.5511019328492,24.0,2.9586552490378524,50.0,18.6,10,2.856257576514749,0.775,50.0,100.0,2.0,0.5,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
7,random,4,4,259.012459699754,92.50444989276929,1716582.4534085908,429145.6133521477,457.2,18.585365853658537,37406.47078194224,1520.5882431683838,24.6,2.2898842438097917,53.6575640274873,21.4,13,2.855639660383285,0.8699186991869918,53.6575640274873,100.0,2.6,0.65,4.351886011404016,0.0,4,100.0,1.0,0.0,11.328352009415426,0.2,8.827409310452763,3.3019041005337613,0.4,8.580134735163302,100.0,1.0,0.0
8,random,4,4,649.0622609604441,270.4426087335184,1002153.2620006157,250538.31550015393,570.2,21.43609022556391,41572.47403438624,1562.874963698731,26.6,0.4121681503666165,50.0,23.8,10,0.5359665659386162,0.8947368421052632,50.0,100.0,2.0,0.5,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
9,random,4,4,357.7411185076196,137.592737887546,1000938.7463594035,250234.68658985087,690.0,24.642857142857142,44593.788807894234,1592.6353145676512,28.0,0.859572708758324,50.0,24.4,10,0.885761401270565,0.8714285714285714,50.0,100.0,2.0,0.5,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
10,random,5,4,572.8388523004028,159.12190341677854,1204.535458879572,301.133864719893,514.6,17.993006993006993,48015.88558879834,1678.8771184894522,28.6,1.4363437512854949,32.573892988723685,19.4,10,1.3074282107255852,0.6783216783216783,32.573892988723685,60.0,2.0,0.5,2.2870336310705173,0.0,4,60.0,0.8,0.0,0.0,0.0,0.0,10.29557195489474,0.4,9.148134524282069,60.0,0.8,0.0
11,random,5,5,452.574245703631,113.14356142590775,452.574245703631,113.14356142590775,237.4,8.478571428571428,45388.15047957505,1621.0053742705375,28.0,1.2960541304161477,32.87792715202329,12.6,9,0.7555001486566932,0.45,32.87792715202329,57.346064752644,1.7999999999999998,0.44999999999999996,2.280737105802094,0.0,4,26.336496000736247,0.6,1.8649247798502269,47.829147854712915,0.6,6.011340918286705,0.0,0.0,0.0,57.346064752644,0.6,1.2466827250714452
12,random,5,5,297.49633193280454,74.37408298320113,297.49633193280454,74.37408298320113,106.4,4.0,43923.727416563735,1651.2679479911178,26.6,1.486357901007573,63.24839487486471,7.2,16,0.59479421034119,0.2706766917293233,63.248394874864715,100.0,3.2,0.8,2.416440259415766,0.0,4,67.52607966149583,1.0,3.240490441427979,100.0,1.0,0.0,25.467499837963032,0.4,6.425270596235085,60.0,0.8,0.0
13,random,5,5,470.2992067240093,138.32329609529685,8820.866516451042,2205.2166291127605,121.6,4.222222222222222,40913.481164423756,1420.6069848758248,28.8,0.8133965867716091,72.33567536241665,11.2,15,0.5319548352452429,0.3888888888888889,72.33567536241665,100.0,3.0,0.75,0.5572345503664868,0.0,4,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,89.3427014496666,1.0,2.2289382014659473
