step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed
0,random,0,0,276.6220510668144,49.39679483335971,5769.284726816602,961.5474544694338,1.4,0.14583333333333334,15075.677940081354,1570.3831187584744,9.6,3.355987258584681,6.252063735937175,1.4,6,2.0859121056358094,0.14583333333333334,6.252063735937175,26.751012624844748,1.2000000000000002,0.20000000000000004,3.0418964086699583,0.0,6,26.751012624844748,0.6,3.3424118833747927,0.0,0.0,0.0,10.713124241660807,0.2,9.334345214734245,0.0,0.0,0.0,0.0,0.0,0.0,0.04824554911749601,0.4,5.574621353910714
1,random,0,0,216.32646373807498,45.06801327876562,915672.8568231603,152612.14280386004,17.2,1.72,17374.38532934963,1737.438532934963,10.0,2.390042576557242,7.535290479888109,4.4,3,1.8124110356579337,0.44,7.535290479888109,45.21174287932865,0.6,0.09999999999999999,1.1134605674747082,0.0,6,45.21174287932865,0.6,6.68076340484825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,random,0,0,304.0042416710085,54.28647172696581,400304.00424167095,66717.3340402785,41.0,3.203125,24122.391600860647,1884.561843817238,12.8,2.836572562962461,19.683274652160822,5.8,8,1.7517738598932773,0.453125,19.683274652160822,100.0,1.6,0.26666666666666666,2.290543013967264,0.0,6,100.0,1.0,0.0,11.431932746066877,0.2,8.74742724797823,0.0,0.0,0.0,0.0,0.0,0.0,6.667715166898063,0.4,4.995830835825354,0.0,0.0,0.0
3,random,0,0,606.5821510665377,104.58312949423063,93771.34322597005,15628.557204328341,69.4,4.7534246575342465,25760.03192079948,1764.3857479999642,14.6,2.6967519897579555,20.189749067418507,6.8,7,2.1675143449030077,0.4657534246575342,20.189749067418507,100.0,1.4,0.2333333333333333,2.4333331301346997,0.0,6,100.0,1.0,0.0,10.563113551704362,0.2,5.144074555302867,10.575380852806688,0.2,9.455924225505331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,random,6,0,250.0395822732575,41.67326371220958,250.0395822732575,41.67326371220958,102.2,6.723684210526316,28519.181772116706,1876.2619586918886,15.2,2.635233934673981,34.89896052743945,7.8,12,1.0077824299271505,0.5131578947368421,34.89896052743944,100.0,2.4,0.39999999999999997,1.0105965988626082,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.393763164636653,0.4,6.06357959317565
5,random,6,6,583.0502063241483,104.11610827216936,1703.1896691388254,283.8649448564709,142.8,8.925,24810.9039220022,1550.6814951251374,16.0,2.582454767980154,35.64700257823176,9.2,13,1.7933928825876613,0.575,35.64700257823176,100.0,2.6,0.43333333333333335,2.9716326685262664,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,11.290329314025485,0.2,8.857137574877852,2.591686155365096,0.4,8.972658436279744,0.0,0.0,0.0,0.0,0.0,0.0
6,random,6,6,466.0939814115515,93.21879628231031,489508.74620759394,81584.791034599,196.0,11.395348837209303,27744.951514059794,1613.0785763988251,17.2,2.108508757751554,33.333333333333336,12.0,10,2.158645919222177,0.6976744186046512,33.333333333333336,100.0,2.0,0.3333333333333333,0.0,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,random,6,6,468.30484008939663,78.0508066815661,468.30484008939663,78.0508066815661,256.0,13.617021276595745,32856.60005269514,1747.691492164635,18.8,2.416887330077377,39.32554524373443,12.6,14,1.7756200349179543,0.6702127659574468,39.32554524373444,100.0,2.8,0.4666666666666666,1.7369243958972642,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.700469944169186,0.4,4.977167506563812,16.252801518237447,0.4,5.444378868819773
8,random,6,6,645.8651891960286,107.6441981993381,645.8651891960286,107.6441981993381,318.8,15.326923076923077,32551.00315624742,1564.9520748195876,20.8,1.8647333344909915,44.64289374383128,13.8,14,1.7611758162616078,0.6634615384615384,44.64289374383128,100.0,2.8,0.4666666666666666,0.9593742793943099,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,67.85736246298768,0.8,5.756245676365859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,random,0,6,463.3395935508432,79.88613681911089,200463.33959355083,33410.55659892514,390.0,18.39622641509434,36989.48586331272,1744.787069024185,21.2,1.8355664981838986,51.15758617925072,15.2,16,1.59323846277519,0.7169811320754716,51.15758617925072,100.0,3.2,0.5333333333333333,0.9824693483198713,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,6.945517075504313,0.2,5.894816089919228,0.0,0.0,0.0,0.0,0.0,0.0
10,random,0,0,645.205167840703,134.41774330014647,652601.6651835002,108766.94419725002,468.2,20.901785714285715,34784.74831794894,1552.890549908435,22.4,1.928011896586477,69.41125943945924,17.2,21,1.8979841537207607,0.7678571428571429,69.41125943945924,100.0,4.2,0.7000000000000001,1.0120910487392383,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,16.46755663675549,0.2,6.07254629243543
11,random,0,0,861.0720562608145,179.39001172100302,711585.8796670253,118597.64661117089,557.6,23.041322314049587,38460.84634280739,1589.2911711903878,24.2,1.6857775338851324,66.66666666666667,18.8,20,1.9716512031339877,0.7768595041322314,66.66666666666667,100.0,4.0,0.6666666666666666,0.0,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,random,0,0,898.3588791455562,149.7264798575927,898.3588791455562,149.7264798575927,652.0,26.08,41334.201755937305,1653.3680702374922,25.0,2.1826489138670317,69.10492470126428,19.0,22,2.063702833869731,0.76,69.10492470126428,100.0,4.4,0.7333333333333334,0.8414549659420549,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,14.629548207585685,0.4,5.04872979565233,0.0,0.0,0.0
13,random,0,0,574.7893391462688,130.6339407150611,42328.641773477095,7054.773628912849,749.4,28.386363636363637,40139.76953973243,1520.4458158989555,26.4,1.2552526388520882,67.68566672521388,21.0,21,1.546767265669063,0.7954545454545454,67.68566672521388,100.0,4.2,0.7000000000000001,0.9070072056522965,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,6.114000351283266,0.2,5.442043233913779
14,random,0,0,1022.6539919557724,232.4213618081301,1681780.240451681,280296.7067419468,860.0,29.45205479452055,46297.3207202473,1585.52468220025,29.2,0.847974567021488,66.66666666666667,23.2,21,1.209371908488961,0.7945205479452054,66.66666666666667,100.0,4.2,0.7000000000000001,0.0,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
15,random,3,0,806.7732498299813,155.148701890381,800806.7732498301,133467.79554163836,980.2,31.21656050955414,50907.01484011498,1621.2425108316872,31.4,1.001272201217265,66.66666666666667,25.4,20,0.9300943532850109,0.8089171974522293,66.66666666666667,100.0,4.0,0.6666666666666666,0.0,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,random,3,3,396.61512959770414,94.43217371373908,1055518.5963977566,175919.76606629277,1110.2,34.47826086956522,51112.17272154665,1587.3345565697718,32.2,1.2136941311103142,67.89563489906347,26.8,22,1.1454339305831132,0.8322981366459627,67.89563489906347,100.0,4.4,0.7333333333333334,0.9169975086044024,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,7.373809394380828,0.4,5.501985051626415
17,random,3,3,583.9850810849164,162.21807807914342,1357349.1108567931,226224.85180946553,1248.0,36.705882352941174,51614.99443768398,1518.0880716965876,34.0,0.8171354200543066,69.3540716323732,28.8,22,1.0093016488055564,0.8470588235294118,69.35407163237319,100.0,4.4,0.7333333333333334,0.9398540747288862,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,16.124429794239177,0.4,5.639124448373317,0.0,0.0,0.0
18,random,3,3,1008.509472929408,280.1415202581689,1316563.1305539028,219427.18842565047,1399.6,39.31460674157304,55396.07045589971,1556.0693948286435,35.6,0.44865886741410016,66.66666666666667,31.6,20,0.570268393846902,0.8876404494382022,66.66666666666667,100.0,4.0,0.6666666666666666,0.0,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
