step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed,d11_occ,d11_veh,d11_speed
0,actuated,0,0,791.1079486786354,89.8986305316631,1541661.1984968125,128471.76654140104,69.2,3.295238095238095,33146.36335159228,1578.3982548377273,21.0,3.115990787037858,10.4684646019633,12.4,10,4.3784595854869055,0.5904761904761905,10.4684646019633,100.0,1.9999999999999998,0.16666666666666666,1.1932761430780545,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,9.922899719180691,0.4,8.78927507819608,15.698675504378912,0.4,5.530038638740575,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,942.6493483248923,96.18870901274411,2038347.6518656753,169862.30432213962,137.0,5.956521739130435,41406.60919186341,1800.2873561679744,23.0,3.046514485272157,8.333333333333334,14.8,5,4.4176509420845145,0.6434782608695652,8.333333333333334,100.0,1.0,0.08333333333333333,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,526.6925727540818,47.8811429776438,1000526.6925727539,83377.22438106283,207.0,7.840909090909091,48968.36580108856,1854.8623409503243,26.4,3.5089112376991007,10.901702262757382,14.6,9,3.6761812043481785,0.553030303030303,10.901702262757382,100.0,1.7999999999999998,0.15,1.9546554850814222,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,8.128948461633456,0.2,6.142036354835153,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.608853263950323,0.2,8.614115255512452,11.082625427504809,0.4,8.699714210629462
3,actuated,0,0,764.2518444616147,73.48575427515526,1201719.9358932257,100143.32799110214,283.6,9.779310344827586,49022.66726071092,1690.43680209348,29.0,2.3339573656087476,21.65968249203497,17.0,16,2.303524660866059,0.5862068965517241,21.65968249203497,100.0,3.1999999999999997,0.26666666666666666,1.9602175820187437,0.0,12,44.21518537666714,0.6,6.802112680063751,0.0,0.0,0.0,100.0,1.0,0.0,12.613293973822692,0.2,7.928143132756395,0.0,0.0,0.0,100.0,1.0,0.0,3.08771055392981,0.4,8.792355171404777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,7,0,643.2452244000691,71.47169160000767,1376502.46658864,114708.53888238665,291.6,9.986301369863014,49222.927295144436,1685.716688189878,29.2,2.016335554976062,28.26769518006687,17.8,23,2.504654029405674,0.6095890410958904,28.267695180066877,100.0,4.6,0.38333333333333336,2.5529951866207328,0.0,12,100.0,1.0,0.0,10.67820832079633,0.4,8.541039206087591,100.0,1.0,0.0,0.0,0.0,0.0,8.99272329353522,0.4,8.848240432329476,60.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.663890770819364,0.6,4.909341232799365,0.0,0.0,0.0,3.8775197756515922,0.4,8.337321368232368,0.0,0.0,0.0
5,actuated,7,7,836.8925770367839,99.63006869485523,2857813.798061514,238151.14983845947,349.0,11.405228758169935,53187.79946385352,1738.1633811716836,30.6,1.560925097711649,30.93692401752679,18.8,21,2.0397110682094675,0.6143790849673203,30.93692401752679,100.0,4.2,0.35000000000000003,1.3854343693812965,0.0,12,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.23044312164296,0.6,2.1736901237993513,0.0,0.0,0.0,6.088593356880665,0.2,8.606540478672834,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.924051731797817,0.4,5.844981830103372
6,actuated,7,7,967.3366752781246,109.92462219069597,2456806.271820843,204733.85598507026,446.2,13.771604938271604,56803.574060953804,1753.196730276352,32.4,1.7487065155041437,35.59461674300626,21.4,25,1.8221093666768695,0.6604938271604939,35.59461674300626,100.0,5.0,0.4166666666666667,0.35362107617731464,0.0,12,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.135400916075127,0.8,4.243452914127776,0.0,0.0,0.0,0.0,0.2,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
7,actuated,7,7,697.9337499300868,68.42487744412617,1601087.0541341142,133423.92117784286,550.4,16.67878787878788,57688.6613905458,1748.1412542589637,33.0,2.034492770299899,36.206425901812004,21.6,28,1.8936504546187063,0.6545454545454545,36.206425901812004,100.0,5.6,0.46666666666666673,2.652460811408199,0.0,12,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,23.36814160605286,0.4,6.76823711251795,9.403611969673875,0.4,9.02232750384137,0.0,0.0,0.0,1.1688215467302143,0.4,7.914773443806915,0.0,0.0,0.0,100.0,1.0,0.0,0.5365356992871284,0.4,8.124191676732153,0.0,0.0,0.0,100.0,1.0,0.0
8,actuated,7,7,513.7903183429866,62.65735589548617,2096841.7360990918,174736.81134159098,660.8,19.903614457831324,56834.37421984711,1711.87874156166,33.2,2.072178254291388,48.92063937986142,24.6,31,2.8160520904486552,0.7409638554216867,48.92063937986142,100.0,6.2,0.5166666666666667,1.222484078198377,0.0,12,100.0,1.0,0.0,86.05848403685627,1.0,6.389874483019308,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891885214807417,0.2,8.279934455361216,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
9,actuated,7,7,1633.8368171070747,177.5909583812038,1445519.686209646,120459.97385080384,762.0,20.81967213114754,57197.27031848128,1562.7669485923848,36.6,2.451381968145036,51.76969656034293,27.4,35,3.978174174177579,0.7486338797814208,51.76969656034293,100.0,7.000000000000001,0.5833333333333334,2.0643765448771982,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,8.95167750188648,0.4,8.67353673269972,0.26051456030472764,0.2,7.782397146644994,0.0,0.2,0.0,100.0,1.0,0.0,12.024166661923914,0.2,8.316584659181663,0.0,0.0,0.0,100.0,1.0,0.0
