step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed,d11_occ,d11_veh,d11_speed
0,actuated,0,0,675.22598996031,66.19862646669706,368859.4549901362,30738.287915844685,127.4,3.6820809248554913,64514.136537958926,1864.5704201722233,34.6,2.5596359296086804,25.19564043768663,16.0,23,1.9310371470261805,0.4624277456647399,25.19564043768663,100.0,4.6000000000000005,0.38333333333333336,1.9917580416472995,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.928636609864668,0.8,3.7791404969782745,35.55199890961944,0.6,3.7711935422807605,100.0,1.0,0.0,0.0,0.0,0.0,27.13336804249593,0.6,3.121934678523974,100.0,1.0,0.0,0.0,0.0,0.0,16.606094158659346,0.2,4.521626858795061,7.12758753160017,0.4,8.707200923189523
1,actuated,0,0,1082.1752048841727,98.37956408037934,216309.4274165377,18025.78561804481,219.0,6.11731843575419,58510.43367325495,1634.3696556775126,35.8,2.329145051832436,38.42571704983525,21.8,29,2.9875460216932224,0.6089385474860335,38.42571704983525,100.0,5.800000000000001,0.4833333333333334,2.789361204040689,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,40.205732575422246,0.6,8.175233795164104,2.8365311046934494,0.4,8.112895520135645,100.0,1.0,0.0,100.0,1.0,0.0,9.228995178336561,0.4,8.703339014947417,0.0,0.0,0.0,100.0,1.0,0.0,8.837345739570708,0.4,8.480866118241101,100.0,1.0,0.0,0.0,0.0,0.0
2,actuated,0,0,970.8477419565248,89.89330944041896,1003999.35031518,83666.612526265,338.0,8.802083333333334,68928.13044418926,1795.0033969840952,38.4,1.614018800451419,43.36967348913976,25.6,28,1.238786629361327,0.6666666666666666,43.36967348913976,100.0,5.6,0.4666666666666666,1.4408435357305123,0.0,12,0.0,0.0,0.0,11.339702999382268,0.2,8.818573114785062,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,9.096378870294757,0.4,8.471549313981086,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
3,actuated,0,0,1183.7606739585103,118.37606739585104,1033417.5389687193,86118.12824739328,467.4,11.743718592964823,63124.98190119878,1586.0548216381603,39.8,1.6519341244801735,55.18451850677467,28.2,35,1.6368454305156184,0.7085427135678392,55.18451850677468,100.0,7.0,0.5833333333333334,1.480509667995209,0.0,12,21.321247975307074,0.4,7.764066573430505,0.0,0.0,0.0,100.0,1.0,0.0,98.78142860748454,1.0,2.4209054917666335,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,42.11154549850448,0.6,7.581143950745369
4,actuated,0,0,1186.9402258566217,138.01630533216533,2106194.6642636117,175516.22202196764,623.0,13.90625,74211.06302656511,1656.496942557257,44.8,1.4374356103012091,72.51960099836823,34.0,45,2.2055002881509504,0.7589285714285714,72.51960099836823,100.0,9.0,0.75,1.6275877604516913,0.0,12,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.049046139718541,0.2,9.050555019453231,9.010111174219162,0.2,8.206600300408901,100.0,1.0,0.0,50.17605466648121,0.6,2.2738978055581627,100.0,1.0,0.0,100.0,1.0,0.0
5,actuated,0,0,1381.3460412306472,140.95367767659664,1617948.6600879706,134829.05500733087,795.2,17.064377682403432,77895.64152045545,1671.5802901385289,46.6,1.3820024203838306,75.0,36.2,46,2.281130460839439,0.776824034334764,75.0,100.0,9.2,0.7666666666666666,0.0,0.0,12,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
6,actuated,0,0,1469.8318408343766,131.23498578878363,602254.1654249534,50187.84711874612,977.4,19.08984375,84404.60692663887,1648.5274790359153,51.2,1.3152826007158034,78.56404527144478,38.0,48,1.3544641979157432,0.7421875,78.56404527144477,100.0,9.600000000000001,0.7999999999999999,1.1375060864222153,0.0,12,100.0,1.0,0.0,31.140959218178637,0.4,5.04983418579475,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.627584039158592,0.2,8.600238851271834,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
7,actuated,0,0,1542.70359771019,151.245450755901,500818.73096270347,41734.894246891956,1176.8,21.474452554744527,90505.695303897,1651.5637829178286,54.8,1.4059025196732677,83.33333333333333,42.6,50,1.7438750351013292,0.7773722627737226,83.33333333333333,100.0,10.0,0.8333333333333334,0.0,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
8,actuated,0,0,987.9933434249909,102.91597327343656,1531132.4182563045,127594.36818802537,1396.6,25.02867383512545,91255.56913696894,1635.4044648202319,55.8,1.9963772893403124,84.24009675952068,45.6,52,2.9470277397705265,0.8172043010752689,84.24009675952068,100.0,10.4,0.8666666666666667,0.73049198553587,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,10.881161114248243,0.4,8.76590382643044,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
9,actuated,0,0,1597.535044360254,185.75988887909932,962001.072463129,80166.75603859407,1630.8,28.51048951048951,87869.05538358908,1536.172296915893,57.2,2.534779136878399,84.25244797302976,49.0,52,4.729496440440058,0.8566433566433567,84.25244797302976,100.0,10.4,0.8666666666666667,0.7203597139799968,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.029375676357063,0.4,8.644316567759962,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
