step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed
0,actuated,0,0,439.59282129248584,47.78182840135716,1075043.9047918855,97731.26407198959,34.2,2.375,24239.618571312836,1683.3068452300581,14.4,4.783906259090592,3.417033622737232,6.0,7,4.805718870031839,0.4166666666666667,3.417033622737232,20.0,1.4,0.12727272727272726,3.096827985225465,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.296250554586777,0.2,12.053637886419986,4.505069908811379,0.4,10.973319739054793,0.0,0.0,0.0,0.0,0.0,0.0,4.786049386711397,0.4,11.038150212005334,20.0,0.4,0.0,0.0,0.0,0.0
1,actuated,0,0,1255.6656859313039,139.51840954792266,1323876.453492643,120352.40486296755,49.6,3.1,30577.250454765355,1911.0781534228347,16.0,2.959080659383288,0.0,6.6,0,4.014647337190716,0.4125,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,315.7485832639112,39.4685729079889,2426186.136048253,220562.37600438666,79.2,4.888888888888889,34780.60009789513,2146.95062332686,16.2,4.147994750547668,0.792965839394371,6.6,1,4.221331971100027,0.4074074074074074,0.792965839394371,8.722624233338081,0.2,0.018181818181818184,1.0422217956109374,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.722624233338081,0.2,11.464439751720311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,453.4294394780271,52.72435342767758,2200902.49774406,200082.04524946,113.2,7.1645569620253164,30034.951946170586,1900.9463257069992,15.8,4.69194111228849,2.075491488944475,7.4,5,4.446176099742458,0.46835443037974683,2.075491488944475,8.815653108437687,1.0,0.09090909090909091,2.9244713087524845,0.0,11,6.606698515242613,0.4,10.395607874623058,7.408054754708928,0.4,10.430117475575488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.815653108437687,0.2,11.343459046078781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,371.5879080798512,46.4484885099814,2409162.0116244745,219014.72832949768,147.4,9.2125,34101.56634248693,2131.347896405433,16.0,5.48419647387932,0.7597636584193104,8.4,1,5.161730771098138,0.525,0.7597636584193104,8.357400242612414,0.2,0.018181818181818184,1.0877675864507108,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.357400242612414,0.2,11.96544345095782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,316.79183648972366,37.71331386782425,2600316.7918364895,236392.43562149905,186.6,11.810126582278482,27875.584229713462,1764.2774828932572,15.8,6.004900765705516,7.726728845759809,9.0,7,5.629840874870471,0.569620253164557,7.726728845759809,60.0,1.4,0.12727272727272726,2.7700631503558246,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,12.7244552561001,0.2,7.8588825994778855,8.994363338772757,0.2,11.11807431315584,0.0,0.0,0.0,3.27519870848505,0.4,11.49373774128035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.6,0.0,0.0,0.0,0.0
6,actuated,0,0,437.4119219860471,48.601324665116344,2000437.411921986,181857.94653836236,231.2,15.012987012987013,27784.426981578406,1804.183570232364,15.4,6.518129609207466,2.361690645482213,9.2,3,5.8473667773218,0.5974025974025974,2.361690645482213,17.299153929870386,0.6000000000000001,0.05454545454545456,1.4568850840246341,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,17.299153929870386,0.2,4.504259484325555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.679443170433956,0.2,11.52147643994542,0.0,0.2,0.0,0.0,0.0,0.0
7,actuated,0,0,575.3075774107131,84.60405550157546,3858511.10205024,350773.73655002186,283.0,15.54945054945055,34311.995170546536,1885.2744599201392,18.2,3.6778603315499585,9.89601348754971,11.8,6,4.794831756940868,0.6483516483516484,9.89601348754971,100.0,1.2,0.10909090909090909,1.0265082198534328,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.856148363046827,0.2,11.29159041838776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,791.8159402707614,96.56291954521481,2410603.2981231357,219145.75437483052,338.6,17.275510204081634,36411.26523240059,1857.7176138979894,19.6,3.486398097634335,15.274475855673018,11.8,9,3.924324937482221,0.6020408163265306,15.274475855673018,100.0,1.8,0.16363636363636364,1.4407749036735817,0.0,11,59.55346622035279,0.6,4.036246810744686,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.465768192050405,0.2,11.812277129664714,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,1,0,325.2561943711472,41.69951209886503,3127601.7976878476,284327.4361534407,398.0,20.515463917525775,36682.590538308155,1890.8551823870184,19.4,4.649117671515324,18.97052971635875,12.2,11,4.763564425596319,0.6288659793814433,18.97052971635875,100.0,2.2,0.2,1.0478435331532792,0.0,11,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.675826879946271,0.2,11.52627886468607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
