step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,actuated,0,0,841.1469718441089,210.28674296102722,2002115.1938007767,400423.0387601553,617.6,14.429906542056075,74428.11308671147,1738.974604829707,42.8,1.3169253034808852,63.680196049209485,24.2,21,1.123961676560009,0.5654205607476636,63.680196049209485,100.0,4.2,0.8400000000000001,2.7746252491905423,0.0,5,19.396488743086593,0.8,3.9100165333274233,32.406977494197804,0.6,4.12676592422081,66.59751400876303,0.8,5.836343788404479,100.0,1.0,0.0,100.0,1.0,0.0
1,actuated,0,0,478.02040937764843,95.60408187552969,478.02040937764843,95.60408187552969,294.8,7.482233502538071,70881.65864582574,1799.0268691833944,39.4,1.880726881356922,49.397754891890266,17.2,20,1.4509097274851104,0.4365482233502538,49.39775489189026,100.0,4.0,0.8,2.8322821407398555,0.0,5,18.791413812818973,0.8,5.847605233746857,62.296580660191125,1.0,4.450401270801431,100.0,1.0,0.0,32.311338304512276,0.6,1.9433892549764713,33.58944168192892,0.6,1.920014944174516
2,actuated,0,0,391.365206649121,78.2730413298242,391.365206649121,78.2730413298242,136.8,3.6,68527.95331015516,1803.3671923725042,38.0,2.2448782137194017,54.81422180665048,11.8,19,2.02946530024289,0.3105263157894737,54.814221806650494,100.0,3.8,0.76,2.839456459245175,0.0,5,26.97130657951618,0.4,7.417078278631129,100.0,1.0,0.0,100.0,1.0,0.0,11.608404782225819,0.6,3.5241311406534432,35.49139767151047,0.8,3.2560728769413023
3,actuated,0,0,405.77185456572505,84.53580303452605,720.6986486925631,144.1397297385126,131.6,3.5376344086021505,69362.5704908671,1864.5852282491155,37.2,2.7761108714081315,54.058336900859615,13.0,20,2.2454478972465415,0.34946236559139787,54.058336900859615,100.0,4.0,0.8,3.1934749784567615,0.0,5,13.811946233028038,0.6,8.553221866808054,100.0,1.0,0.0,100.0,1.0,0.0,27.93397303225163,0.8,4.893499412083946,28.545765239018408,0.6,2.5206536133918083
4,actuated,0,0,175.39525175939767,43.84881293984942,8710.897103432293,1742.1794206864586,198.8,5.522222222222222,58868.95565546362,1635.2487682073229,36.0,2.538874282692005,65.31575517270409,17.0,21,2.263927664346351,0.4722222222222222,65.31575517270409,100.0,4.2,0.8400000000000001,3.8770777089049537,0.0,5,20.19368278906967,0.4,9.92853899847445,100.0,1.0,0.0,100.0,1.0,0.0,8.08892974737148,0.8,6.098180938094102,98.29616332707928,1.0,3.3586686079562176
5,actuated,0,0,482.0815716266843,96.41631432533686,482.0815716266843,96.41631432533686,172.6,4.690217391304348,59583.10834339055,1619.1062049834388,36.8,1.6214989256803138,51.709837085290246,15.4,16,1.13119201362117,0.41847826086956524,51.709837085290246,100.0,3.2,0.64,1.5958003633007083,0.0,5,0.0,0.0,0.0,49.06913599949689,0.8,2.8255376702434685,100.0,1.0,0.0,9.480049426954338,0.4,5.153464146260073,100.0,1.0,0.0
6,actuated,0,0,605.3221784188395,121.0644356837679,605.3221784188395,121.0644356837679,172.6,4.639784946236559,65884.37361772954,1771.0853123045574,37.2,1.7490529634149152,39.458370090251606,13.4,18,1.2763797181139165,0.3602150537634409,39.458370090251606,100.0,3.6000000000000005,0.7200000000000001,1.9377441406181208,0.0,5,9.000209688606446,0.8,4.613552055228499,21.019419180811383,0.8,4.576262942422182,100.0,1.0,0.0,7.272221581840199,0.2,0.4989057054399222,60.0,0.8,0.0
7,actuated,0,0,319.89465840240484,63.97893168048097,319.89465840240484,63.97893168048097,186.2,4.925925925925926,64141.93339926493,1696.8765449540988,37.8,2.0709225151691193,66.06143393788159,9.6,22,1.3192710139067678,0.25396825396825395,66.06143393788159,100.0,4.4,0.8800000000000001,2.6402098857074536,0.0,5,20.964169890403923,0.6,5.851421356350228,81.34999950007057,1.0,2.63175214854078,100.0,1.0,0.0,43.12241189777694,0.8,2.9045873765168224,84.87058840115651,1.0,1.8132885471294393
8,actuated,0,0,477.3523950562021,95.47047901124043,477.3523950562021,95.47047901124043,231.6,6.03125,57729.99998826563,1503.385416361084,38.4,2.0012577714617263,55.82758707457742,11.4,19,1.5056905872504527,0.296875,55.82758707457742,100.0,3.8000000000000003,0.76,2.675423171284999,0.0,5,10.535838639481199,0.4,9.046306122653187,100.0,1.0,0.0,100.0,1.0,0.0,43.86835006123192,0.8,2.518254982308792,24.733746672173993,0.6,1.8125547514630163
9,actuated,0,0,396.68138944963323,82.64195613534027,601.1218351472878,120.22436702945757,261.0,6.46039603960396,64107.65162061281,1586.8230599161586,40.4,1.7926626894135378,53.77943734329267,12.0,19,1.3501470303198546,0.297029702970297,53.77943734329267,100.0,3.8,0.76,2.894612959118567,0.0,5,6.513592835290751,0.4,8.482844765949993,80.0,1.0,0.0,100.0,1.0,0.0,33.708501408387974,0.6,2.411831074817362,48.67509247278463,0.8,3.5783889548254817
10,actuated,0,0,666.869442300894,133.3738884601788,666.869442300894,133.3738884601788,291.6,7.363636363636363,69071.02944749946,1744.2179153408956,39.6,2.137775366809883,46.22876931938152,11.6,18,1.6017733859424206,0.29292929292929293,46.22876931938151,100.0,3.5999999999999996,0.72,2.786475492190541,0.0,5,28.61948696816853,0.6,3.6590365349791516,20.80420694963948,0.4,4.116737226739224,100.0,1.0,0.0,36.16823560534044,0.8,3.6683768167665907,45.551917073759114,0.8,2.488226882467739
11,actuated,0,0,407.9021089000838,84.9796060208508,1214.5054656774028,242.90109313548055,340.0,8.854166666666666,62800.80185441304,1635.437548292006,38.4,2.3131937201892607,60.60820305525385,12.4,22,1.5897751555487345,0.3229166666666667,60.60820305525385,100.0,4.3999999999999995,0.8799999999999999,2.7820782217465228,0.0,5,28.925114829600602,0.8,5.5811157023347615,100.0,1.0,0.0,100.0,1.0,0.0,19.05136649994347,0.8,4.661543676889733,55.06453394672519,0.8,3.667731729508118
12,actuated,0,0,474.85877656000764,113.06161346666848,82978.54056487032,16595.70811297406,421.0,10.794871794871796,60917.28808834388,1561.9817458549712,39.0,2.0719319947877004,66.87648917962724,19.8,21,2.121443031329273,0.5076923076923077,66.87648917962724,100.0,4.2,0.8400000000000001,2.15628884702115,0.0,5,4.384191231197292,0.6,6.581820413763049,100.0,1.0,0.0,100.0,1.0,0.0,29.99825466693892,0.6,4.199623821342701,100.0,1.0,0.0
13,actuated,1,0,807.406784518416,175.52321402574262,1392.112317598652,278.4224635197304,471.6,11.446601941747574,66219.88257421923,1607.2787032577485,41.2,1.785175392746196,81.88767344905182,26.0,23,2.140909844298785,0.6310679611650486,81.88767344905182,100.0,4.6,0.9199999999999999,2.2938011077232665,0.0,5,11.2889994199287,0.6,8.633327629975973,100.0,1.0,0.0,100.0,1.0,0.0,98.14936782533039,1.0,2.83567790864036,100.0,1.0,0.0
14,actuated,2,1,1041.9028758359036,217.06309913247992,1309.0233768693588,261.80467537387176,266.2,6.02262443438914,67312.51358203668,1522.9075471049025,44.2,0.8834952843453132,83.79147311813415,26.2,23,0.8979198537627652,0.5927601809954751,83.79147311813415,100.0,4.6,0.9199999999999999,0.7180368479634976,0.0,5,58.95736559067075,0.8,3.5901842398174884,100.0,1.0,0.0,60.0,0.8,0.0,100.0,1.0,0.0,100.0,1.0,0.0
15,actuated,2,2,621.144313702355,124.228862740471,621.144313702355,124.228862740471,222.0,4.868421052631579,74476.44248332805,1633.2553176168433,45.6,0.9208404956310688,84.98551998759173,24.4,23,0.48796695446982563,0.5350877192982456,84.98551998759172,100.0,4.6,0.9199999999999999,0.3052635526283517,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,24.927599937958576,0.6,1.5263177631417584,100.0,1.0,0.0,100.0,1.0,0.0
16,actuated,2,2,1101.7434753523994,220.3486950704799,1101.7434753523994,220.3486950704799,318.4,6.605809128630705,76304.32080138053,1583.0771950493886,48.2,0.9686427440595037,85.49762419822252,28.2,25,0.814532792896262,0.5850622406639004,85.49762419822252,100.0,5.0,1.0,0.7545741876586212,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,27.488120991112623,1.0,3.7728709382931056,100.0,1.0,0.0,100.0,1.0,0.0
17,actuated,2,2,869.5820093860536,207.043335568108,6568.500540466409,1313.7001080932819,475.0,9.424603174603174,80490.28635085563,1597.0294910884056,50.4,1.063027986556029,84.53908576271067,34.8,23,1.278200861294824,0.6904761904761905,84.53908576271067,100.0,4.6,0.9199999999999999,1.0973744519218367,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,22.69542881355335,0.6,5.486872259609184,100.0,1.0,0.0,100.0,1.0,0.0
18,actuated,2,2,786.9243935014894,327.8851639589539,635532.0089374955,127106.40178749911,673.8,12.617977528089888,78815.04187505288,1475.937113765035,53.4,0.4307457435502448,100.0,44.4,25,0.8043766554414699,0.8314606741573034,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
19,actuated,2,2,212.94999223887845,212.94999223887845,9164172.823476546,1832834.5646953091,916.0,16.962962962962962,81942.4135023974,1517.452101896248,54.0,0.0903145206200419,100.0,50.8,25,0.17226227042032496,0.9407407407407408,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
20,actuated,2,2,230.2871891065346,230.2871891065346,11515820.282059586,2303164.0564119173,1179.2,21.44,83870.84957834885,1524.924537788161,55.0,0.09154399913881076,100.0,53.4,25,0.19758314874930227,0.9709090909090909,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
21,actuated,2,2,332.03222404855495,332.03222404855495,5347361.624258944,1069472.3248517888,1448.0,26.327272727272728,84033.4999191334,1527.8818167115166,55.0,0.07801403745221927,100.0,54.0,25,0.17103392487349137,0.9818181818181818,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
22,actuated,2,2,187.61277309591253,187.61277309591253,4704249.391149987,940849.8782299974,1721.0,30.953237410071942,84593.46841244595,1521.4652592166537,55.6,0.005757530296885476,100.0,55.2,25,0.020512918402188083,0.9928057553956835,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
23,actuated,2,2,339.4810143775853,339.4810143775853,4000339.4810143774,800067.8962028755,1996.0,35.642857142857146,85851.64873969002,1533.0651560658932,56.0,0.05704521092846388,100.0,55.0,25,0.11885788434862342,0.9821428571428571,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
24,actuated,2,2,0.0,0.0,5393421.596142849,1078684.3192285697,2273.0,40.589285714285715,84829.86137306651,1514.8189530904733,56.0,0.0012075657700720962,100.0,55.8,25,0.0059112278459231005,0.9964285714285714,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
25,actuated,2,2,314.1784107039064,314.1784107039064,4200583.476221458,840116.6952442916,2553.0,44.78947368421053,87173.5252221933,1529.3600916174264,57.0,0.024297299203547566,100.0,56.2,25,0.060624726191031764,0.9859649122807017,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
26,actuated,2,2,134.09889900649608,134.09889900649608,4973028.354836333,994605.6709672665,2834.2,49.72280701754386,86180.40723411858,1511.9369690196243,57.0,0.006569846548592082,100.0,56.6,25,0.02640899493557244,0.9929824561403509,100.0,100.0,5.0,1.0,0.0,0.0,5,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
27,actuated,3,2,356.42899285945566,356.42899285945566,4051024.1226353445,810204.8245270689,2854.2,51.1505376344086,86019.2163835257,1541.5630176259085,55.8,0.04251092538154289,92.0,53.0,25,0.08137473764059865,0.9498207885304659,92.0,100.0,5.0,1.0,0.0,0.0,5,80.0,1.0,0.0,80.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
28,actuated,0,3,229.41554338011747,114.70777169005873,3000229.41554338,600045.8831086761,2534.4,47.10780669144982,86587.19765397972,1609.4274656873554,53.8,0.33401602631630906,71.33420156710815,43.8,21,0.4466562854003947,0.8141263940520446,71.33420156710815,100.0,4.2,0.8400000000000001,0.7346773177072595,0.0,5,28.112950831235253,0.6,1.83564588602623,28.55805700430551,0.6,1.8377407025100676,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
29,actuated,0,0,86.5256981190887,43.26284905954435,2201708.2065274687,440341.6413054938,2198.2,44.140562248995984,83827.97894864804,1683.2927499728523,49.8,0.8568538907033048,68.72096443753298,35.0,22,1.0903430287023819,0.7028112449799196,68.72096443753298,100.0,4.4,0.8800000000000001,1.5992686885689558,0.0,5,18.192280582538842,0.6,4.07115553918286,25.41254160512608,0.8,3.925187903661919,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
30,actuated,0,0,773.954431118884,193.488607779721,1000773.954431119,200154.7908862238,1535.0,33.369565217391305,81283.17226664464,1767.0254840574923,46.0,1.5143561880883787,37.98180102994081,25.6,18,1.592790111141831,0.5565217391304348,37.98180102994081,100.0,3.6,0.72,2.8757550806689256,0.0,5,12.206432571680352,0.6,5.7112099394015114,4.131603781700051,0.6,5.238274159234164,100.0,1.0,0.0,45.464597006060785,0.8,1.8516845742675336,28.10637179026287,0.6,1.577606730441419
31,actuated,0,0,203.90674129549978,50.976685323874946,1000203.9067412956,200040.78134825913,954.0,21.981566820276498,76099.24789884183,1753.438891678383,43.4,1.9618640833719994,60.441056093230145,18.4,20,1.6602092342649581,0.423963133640553,60.441056093230145,100.0,4.0,0.8,3.0250498391911345,0.0,5,34.33596803391538,0.6,6.936193675591203,70.83533335424022,0.8,1.376061582427706,100.0,1.0,0.0,50.19688989665838,0.8,3.5216046109299035,46.83708918133675,0.8,3.2913893270068586
32,actuated,0,0,161.96292015952622,40.490730039881555,1000161.9629201595,200032.39258403188,687.8,16.376190476190477,70148.22081131725,1670.1957336027917,42.0,2.215408743242028,47.3397721385968,16.0,20,1.6282050170423725,0.38095238095238093,47.3397721385968,100.0,4.0,0.8,2.83821792182097,0.0,5,1.3393012185065345,0.6,7.595606062661018,100.0,1.0,0.0,100.0,1.0,0.0,14.194400839044192,0.6,3.0713786307722066,21.165158635433272,0.8,3.524104915671625
33,actuated,0,0,221.86666031754325,55.46666507938581,1000221.8666603178,200044.37333206355,745.6,17.179723502304146,65692.11107060195,1513.6431122258516,43.4,1.8618076765817517,64.73407011549443,17.0,22,1.3658192798097477,0.391705069124424,64.73407011549443,100.0,4.4,0.8800000000000001,2.628982378137483,0.0,5,34.26635712446455,0.6,3.540476688627287,47.456325288944754,0.8,2.3892989697189044,100.0,1.0,0.0,51.188903333169264,1.0,3.765864138431014,90.7587648308936,1.0,3.449272093910209
34,actuated,0,0,346.4936024361783,86.62340060904458,1000346.4936024358,200069.29872048716,817.6,18.838709677419356,66167.92582635538,1524.6065858607228,43.4,1.7144748020170328,78.11941199894795,20.0,23,1.7422918532363154,0.4608294930875576,78.11941199894795,100.0,4.6,0.9199999999999999,1.170905428859567,0.0,5,39.01829533716068,0.8,3.6016270382095987,100.0,1.0,0.0,100.0,1.0,0.0,51.578764657579086,0.8,2.252900106088236,100.0,1.0,0.0
35,actuated,0,0,283.63203761183405,70.90800940295851,1000283.6320376119,200056.7264075224,887.8,20.456221198156683,71551.96406879442,1648.6627665620836,43.4,1.651702334298191,56.067378792331056,20.0,20,1.4327344804784605,0.4608294930875576,56.067378792331056,100.0,4.0,0.8,2.204121653096231,0.0,5,17.7381565633209,0.6,5.290047763637162,100.0,1.0,0.0,100.0,1.0,0.0,16.975220233158552,0.6,3.897075186484468,45.62351716517583,0.8,1.8334853153595239
36,actuated,0,0,387.45166439153616,96.86291609788404,1000387.4516643917,200077.49033287834,931.0,20.68888888888889,70795.35905481035,1573.230201218008,45.0,1.260418845216079,71.47425004650086,19.4,19,1.1170466636174787,0.4311111111111111,71.47425004650086,100.0,3.8,0.76,0.8519700177480424,0.0,5,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,57.37125023250428,0.8,4.259850088740212,100.0,1.0,0.0
37,actuated,0,0,401.4996420394303,100.37491050985757,1000401.4996420391,200080.29992840783,978.6,21.555066079295155,72906.56366583702,1605.8714463840752,45.4,1.5665785608476157,56.0576522134113,19.8,21,1.5391149646987015,0.43612334801762115,56.0576522134113,100.0,4.2,0.8400000000000001,1.7572536322278964,0.0,5,30.298002629112943,0.8,4.814183137684509,22.36543889887116,0.8,2.194992236699908,100.0,1.0,0.0,27.624819539072405,0.6,1.7770927867550645,100.0,1.0,0.0
38,actuated,0,0,595.9122194276827,156.81900511254807,1000806.2680274865,200161.2536054973,1052.6,23.60089686098655,72559.095425619,1626.8855476596189,44.6,1.8505851044494264,63.991939330188416,22.0,22,1.7521384890936957,0.49327354260089684,63.991939330188416,100.0,4.4,0.8800000000000001,2.379321606133647,0.0,5,10.561949820528298,0.8,4.6770274446311415,65.64235175811973,0.8,2.9814385880764043,100.0,1.0,0.0,43.75539507229405,0.8,4.238141997960689,100.0,1.0,0.0
39,actuated,0,0,317.16472802890337,79.29118200722584,1000317.1647280287,200063.43294560575,1107.6,26.0,72098.07801520989,1692.4431458969457,42.6,2.1140063201246364,52.858689437698786,21.0,20,2.0740078343980834,0.49295774647887325,52.858689437698786,100.0,4.0,0.8,2.736375370349026,0.0,5,29.292779291212128,0.6,6.420006194946138,100.0,1.0,0.0,100.0,1.0,0.0,14.080786770414306,0.8,5.6463768795644835,20.919881126867494,0.6,1.6154937772345068
40,actuated,1,0,429.4331987903753,119.28699966399313,1000868.5215211153,200173.70430422307,1164.8,26.838709677419356,68984.41840201111,1589.502728156938,43.4,1.795235477889258,63.09313380928643,22.2,21,1.8625365896686155,0.511520737327189,63.09313380928643,100.0,4.2,0.8400000000000001,3.097837073949738,0.0,5,12.751119188783377,0.6,6.099329323455613,100.0,1.0,0.0,100.0,1.0,0.0,64.38522632323497,1.0,5.610576577438215,38.32932353441379,0.6,3.779279468854861
41,actuated,2,1,506.80881393938716,110.17582911725809,1092.4127399503425,218.4825479900685,865.4,19.23111111111111,71964.58765291728,1599.2130589537173,45.0,1.3802960698287265,69.1351820464049,20.2,22,1.0130175736021614,0.4488888888888889,69.1351820464049,100.0,4.4,0.8800000000000001,0.9386300513922163,0.0,5,43.70552691817579,0.8,2.3599370543844986,41.97038331384874,0.8,2.3332132025765833,60.0,0.8,0.0,100.0,1.0,0.0,100.0,1.0,0.0
