step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed
0,mixed_20,0,0,164.82015775804,43.37372572580001,200164.82015775802,50041.205039439505,0.0,0.0,7272.071434921677,2272.522323413024,3.2,6.264453922067769,0.8556985742428225,0.2,2,5.274526533937736,0.0625,0.8556985742428225,3.42279429697129,0.4,0.1,2.232464520609938,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,3.42279429697129,0.4,8.929858082439752,0.0,0.0,0.0
1,mixed_20,0,0,98.78212140603837,27.439478168343992,400098.78212140605,100024.69553035151,0.0,0.0,6720.745551638982,2100.232984887182,3.2,5.568357075954588,0.0,0.4,0,4.601545533254556,0.125,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mixed_20,0,0,113.60876076773681,28.402190191934203,113.60876076773681,28.402190191934203,0.0,0.0,10472.639268709972,2618.159817177493,4.0,5.296953092552721,2.62286540511802,0.0,1,2.6935557439307893,0.0,2.62286540511802,10.49146162047208,0.2,0.05,2.3828900971450233,0.0,4,10.49146162047208,0.2,9.531560388580093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mixed_20,0,0,152.70189754898553,38.17547438724638,152.70189754898553,38.17547438724638,0.0,0.0,6853.465313507644,2141.707910471139,3.2,7.580758674323802,2.724017452512797,0.0,1,3.8650927312986894,0.0,2.724017452512797,10.896069810051188,0.2,0.05,2.294405270507583,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.896069810051188,0.2,9.177621082030331
4,mixed_20,0,0,223.96392400377272,69.98872625117897,476109.8439904265,119027.46099760663,3.0,0.7142857142857143,9220.477212817641,2195.3517173375335,4.2,5.5233418605847495,4.8300184728266515,1.6,2,5.1209091021260535,0.38095238095238093,4.8300184728266515,10.950651968655905,0.4,0.1,4.555893191462395,0.0,4,0.0,0.0,0.0,10.950651968655905,0.2,9.131876374688046,8.369421922650702,0.2,9.091696391161532,0.0,0.0,0.0
5,mixed_20,2,0,147.2508869551197,36.81272173877993,147.2508869551197,36.81272173877993,8.0,1.8181818181818181,9086.705923864274,2065.1604372418806,4.4,4.592115734195337,0.0,1.0,1,4.343867412056643,0.22727272727272727,0.0,0.0,0.2,0.05,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
6,mixed_20,2,2,69.25215760197712,17.31303940049428,69.25215760197712,17.31303940049428,13.0,3.25,9077.00089264871,2269.2502231621775,4.0,7.038944320611191,0.0,1.0,0,4.085961543449172,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mixed_20,2,2,102.39532019023135,26.946136892166145,8843.240595035257,2210.810148758814,18.2,4.55,8647.688460209338,2161.9221150523344,4.0,8.219806834033966,7.863200062386397,1.2,4,4.266686969898323,0.3,7.863200062386397,11.449940317270944,0.8,0.2,6.715775451948968,0.0,4,11.247532579900508,0.2,8.890838883072128,8.755327352374138,0.4,9.238592946622521,0.0,0.0,0.0,11.449940317270944,0.2,8.73366997810122
8,mixed_20,2,2,64.83616675498382,32.41808337749191,988747.3426011696,247186.8356502924,29.0,7.631578947368421,5489.496504701115,1444.6043433423986,3.8,4.588835761758291,0.0,3.0,0,6.17353476601111,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,mixed_20,2,2,34.114417381340736,17.057208690670368,1847456.342018243,461864.08550456073,44.0,11.0,6895.9063700283905,1723.9765925070976,4.0,4.384101929913828,0.0,3.0,0,5.705982457448323,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
