step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed
0,actuated,0,0,371.813486543768,92.953371635942,371.813486543768,92.953371635942,9.0,1.4516129032258065,11133.577548368352,1795.73831425296,6.2,1.7869974672262405,0.0,2.0,0,1.133531826833948,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,118.01080913272574,29.502702283181435,118.01080913272574,29.502702283181435,19.0,3.1666666666666665,12843.35961316754,2140.5599355279232,6.0,3.825201632378156,0.0,2.0,0,1.6436901941693371,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,78.70747181323792,19.67686795330948,78.70747181323792,19.67686795330948,29.0,4.393939393939394,14899.341793264011,2257.476029282426,6.6,5.921704521822445,4.496259006395178,2.2,3,2.9100065425071713,0.3333333333333333,4.496259006395178,11.02888538590122,0.6000000000000001,0.15000000000000002,4.445907970541198,0.0,4,6.9561506396794925,0.4,8.716532488074154,0.0,0.0,0.0,11.02888538590122,0.2,9.067099394090635,0.0,0.0,0.0
3,actuated,0,0,193.07433232623083,64.35811077541028,449933.55473373085,112483.38868343271,40.8,6.375,9708.693960278219,1516.9834312934718,6.4,3.702252464242259,5.913591158837619,3.4,2,4.991798564364628,0.53125,5.913591158837619,12.137038539304683,0.4,0.1,4.230453263767423,0.0,4,0.0,0.0,0.0,11.517326096045792,0.2,8.682570864632607,0.0,0.0,0.0,12.137038539304683,0.2,8.239242190437082
4,actuated,0,0,135.1384116287865,45.04613720959551,1166753.7411186122,291688.43527965306,60.0,8.571428571428571,13187.863899034575,1883.9805570049393,7.0,1.7981647201011064,0.0,4.0,0,1.2902439016231504,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,149.7763673311345,49.92545577704484,1000149.7763673313,250037.44409183282,80.0,10.526315789473685,13713.106407533895,1804.3561062544597,7.6,3.228274782679857,12.590750904527113,4.2,3,2.656227390504525,0.5526315789473685,12.590750904527113,50.36300361810845,0.6,0.15,1.3212634762131164,0.0,4,50.36300361810845,0.6,5.285053904852465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,289.62447819198144,85.18367005646513,600289.6244781918,150072.40611954796,103.0,11.976744186046512,16244.234409031002,1888.8644661663955,8.6,4.49753989046511,28.66559045906527,5.2,8,4.120593064075016,0.6046511627906976,28.66559045906527,100.0,1.5999999999999999,0.39999999999999997,4.474261121847668,0.0,4,100.0,1.0,0.0,3.819980970269512,0.4,8.67397796390578,10.842380865991572,0.2,9.223066523484892,0.0,0.0,0.0
7,actuated,0,0,215.81572666511224,56.7936122802927,200215.81572666514,50053.953931666285,128.0,17.2972972972973,12980.61817039006,1754.1375905932514,7.4,6.176460446251091,25.0,5.2,5,6.308464357453011,0.7027027027027027,25.0,100.0,1.0,0.25,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,450.8305579630413,112.70763949076033,450.8305579630413,112.70763949076033,153.6,17.86046511627907,14856.392952532618,1727.487552620072,8.6,4.784331475470902,25.0,5.6,5,5.318487801883443,0.6511627906976745,25.0,100.0,1.0,0.25,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,1,0,237.76647923400498,59.441619808501244,237.76647923400498,59.441619808501244,92.8,11.317073170731707,14548.674261272881,1774.2285684479125,8.2,5.505845138857337,35.10655707811708,3.8,8,5.137735420202736,0.4634146341463415,35.10655707811708,100.0,1.6,0.4,2.0595090973033354,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.42622831246831,0.6,8.238036389213342
10,actuated,2,1,205.13720992759764,51.28430248189941,205.13720992759764,51.28430248189941,0.4,0.05714285714285714,13000.482353616037,1857.211764802291,7.0,6.231431724213605,13.471306534159453,0.4,7,5.200355640406734,0.05714285714285714,13.471306534159453,29.22019432943557,1.4,0.35,2.6086109614386537,0.0,4,29.22019432943557,0.6,1.740129724485927,4.66503180720224,0.4,8.694314121268688,0.0,0.0,0.0,20.0,0.4,0.0
11,actuated,2,2,419.55181068954516,110.40837123409084,200419.55181068956,50104.88795267239,9.8,1.0425531914893618,14204.355407155273,1511.1016390590717,9.4,1.707981031870019,25.0,4.2,5,2.8721598904668135,0.44680851063829785,25.0,100.0,1.0,0.25,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,actuated,2,2,249.44341879796056,62.36085469949014,249.44341879796056,62.36085469949014,33.0,3.5869565217391304,17269.775218463383,1877.1494802677591,9.2,2.369750196851422,25.0,5.0,5,1.3023173220501494,0.5434782608695652,25.0,100.0,1.0,0.25,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,actuated,2,2,122.35097042355271,30.587742605888177,122.35097042355271,30.587742605888177,30.4,3.4545454545454546,18359.572695262083,2086.315079007055,8.8,4.436888037131201,25.0,3.0,5,2.1369025383078144,0.3409090909090909,25.0,100.0,1.0,0.25,0.0,0.0,4,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
