step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed
0,random,2,0,560.4638975950897,140.11597439877244,560.4638975950897,140.11597439877244,22.2,0.8740157480314961,41621.99179895494,1638.661094447045,25.4,2.310740686661842,53.650495948894275,5.8,16,1.3018577457326639,0.2283464566929134,53.650495948894275,100.0,3.2,0.8,3.6225189458344627,0.0,4,100.0,1.0,0.0,33.76302499173363,0.8,3.8716943961692563,38.843954462989814,0.6,3.540855645590544,41.995004340853654,0.8,7.07752574157805
1,random,3,2,356.83680217248127,89.20920054312032,356.83680217248127,89.20920054312032,26.6,1.0555555555555556,41305.033520274075,1639.0886317569077,25.2,1.7682189810349356,71.23277725684346,9.6,16,0.9573055499084965,0.38095238095238093,71.23277725684346,100.0,3.2,0.8,1.297696965743894,0.0,4,25.751467393474172,0.6,1.5502752105783308,100.0,1.0,0.0,100.0,1.0,0.0,59.17964163389968,0.6,3.640512652397245
2,random,0,3,324.34522420046255,81.08630605011564,324.34522420046255,81.08630605011564,30.6,1.204724409448819,40404.46106742085,1590.7268136779865,25.4,1.605761110499578,62.43170926720084,9.0,16,0.7356337225915703,0.3543307086614173,62.43170926720083,100.0,3.2,0.8,0.7901131420351664,0.0,4,100.0,1.0,0.0,22.705765880102717,0.6,1.4377206716159001,27.021071188700603,0.6,1.722731896524765,100.0,1.0,0.0
3,random,1,0,386.2972403508526,96.57431008771314,386.2972403508526,96.57431008771314,61.4,2.3615384615384616,40217.523054056444,1546.8278097714017,26.0,1.4730886008213464,86.53823360978109,12.0,19,0.8291234086195917,0.46153846153846156,86.53823360978109,100.0,3.8,0.95,0.8516232114139659,0.0,4,100.0,1.0,0.0,100.0,1.0,0.0,46.15293443912435,0.8,3.4064928456558636,100.0,1.0,0.0
4,random,0,1,487.14654614754875,121.78663653688719,487.14654614754875,121.78663653688719,26.0,0.9848484848484849,41856.5570566905,1585.4756460867613,26.4,1.361778601237253,56.218122051002055,8.2,15,0.8291144875885694,0.3106060606060606,56.218122051002055,100.0,3.0,0.75,0.4692535444427177,0.0,4,20.0,0.4,0.0,100.0,1.0,0.0,80.0,1.0,0.0,24.87248820400822,0.6,1.8770141777708709
5,random,2,0,362.44017465925094,90.61004366481274,362.44017465925094,90.61004366481274,33.0,1.2890625,40157.26026813437,1568.642979223999,25.6,1.3607867630616242,53.8582937598715,7.2,14,0.6809200103048453,0.28125,53.8582937598715,100.0,2.8,0.7,0.7337704483950507,0.0,4,49.55803667428228,0.8,1.6570726497701052,100.0,1.0,0.0,5.875138365203725,0.2,1.2780091438100973,60.0,0.8,0.0
6,random,0,2,278.0914094900196,69.5228523725049,278.0914094900196,69.5228523725049,48.6,1.8692307692307693,40803.073537401884,1569.3489822077647,26.0,1.5553222702657925,62.59024069135692,8.2,14,0.5909431697291916,0.3153846153846154,62.59024069135691,100.0,2.8,0.7,0.4948807333477552,0.0,4,0.0,0.0,0.0,100.0,1.0,0.0,80.0,1.0,0.0,70.36096276542764,0.8,1.9795229333910207
7,random,0,0,427.28869095180806,106.82217273795202,427.28869095180806,106.82217273795202,65.4,2.3191489361702127,43209.20343419602,1532.2412565317736,28.2,1.0617952808583209,65.1288161413973,10.6,15,0.5315895025198655,0.375886524822695,65.1288161413973,100.0,3.0,0.75,0.5841663162152674,0.0,4,76.70900208280614,0.8,1.2256874247327765,80.0,1.0,0.0,3.8062624827830405,0.2,1.110977840128293,100.0,1.0,0.0
8,random,2,0,366.3421974233854,91.58554935584635,366.3421974233854,91.58554935584635,20.0,0.7352941176470589,44360.39580037206,1630.8969044254434,27.2,1.513421426974015,59.58805098635622,6.2,15,0.8864540119674709,0.22794117647058823,59.58805098635622,80.0,3.0,0.75,0.4832103439022111,0.0,4,80.0,1.0,0.0,38.35220394542489,0.4,1.9328413756088445,40.0,0.6,0.0,80.0,1.0,0.0
9,random,2,2,351.9018097120746,87.97545242801866,351.9018097120746,87.97545242801866,18.4,0.6388888888888888,47622.247968986914,1653.5502767009345,28.8,1.3918942634522153,42.3178091325768,6.4,11,0.7023793293075387,0.2222222222222222,42.3178091325768,100.0,2.2,0.55,2.173191132505702,0.0,4,10.495969882417171,0.2,1.5752440738175855,100.0,1.0,0.0,30.807659251070163,0.4,5.500132376616993,27.967607396819858,0.6,1.617388079588229
