step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed
0,actuated,0,0,287.0674492816433,51.26204451457916,1557520.8841027752,194690.1105128469,39.6,4.212765957446808,16244.005904843987,1728.0857345578709,9.4,4.457505318946543,0.5485390467302764,5.2,2,5.289413359088102,0.5531914893617021,0.5485390467302764,4.388312373842211,0.4,0.05,1.1336135680787265,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.388312373842211,0.4,9.068908544629812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,433.7662119557241,63.78914881701825,1200433.7662119556,150054.22077649445,64.0,5.714285714285714,22017.14505907489,1965.8165231316866,11.2,3.5929828335528646,1.3334457133882438,5.2,1,4.217813091538834,0.4642857142857143,1.3334457133882438,10.66756570710595,0.2,0.025,1.171776236791625,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,10.66756570710595,0.2,9.374209894333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,170.57471739606078,24.367816770865826,1000170.5747173962,125021.32183967452,89.0,8.090909090909092,23800.364607750198,2163.6695097954725,11.0,5.3026918529843305,1.3537261997283423,5.0,2,4.249488452293977,0.45454545454545453,1.3537261997283423,10.829809597826738,0.4,0.05,1.1212448298116215,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.829809597826738,0.4,8.969958638492972,0.0,0.0,0.0
3,actuated,0,0,360.0458867905491,56.257169811023296,1003364.9164868665,125420.61456085832,114.8,10.62962962962963,18477.75949098961,1710.9036565731121,10.8,5.700284946585804,12.997577979302372,6.0,9,5.168906238573364,0.5555555555555556,12.99757797930237,63.88117639801578,1.7999999999999998,0.22499999999999998,4.176953946435489,0.0,8,63.88117639801578,0.8,7.139010753483707,11.129484499406033,0.2,8.985142124537473,0.0,0.0,0.0,23.261479862153465,0.4,7.786103595584454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.708483074843684,0.4,9.505375097878275
4,actuated,0,0,395.96075993929304,82.49182498735271,1127554.4867092448,140944.3108386556,150.0,12.5,19565.201078643102,1630.4334232202586,12.0,2.9357775269940505,25.751890404911535,8.0,12,4.652287541807376,0.6666666666666666,25.751890404911535,100.0,2.4,0.3,1.1016821045544931,0.0,8,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,6.015123239292279,0.4,8.813456836435945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,130.72435284567024,34.4011454857027,3538848.122624418,442356.0153280523,193.0,15.078125,22486.668917536757,1756.771009182559,12.8,1.9230502485589036,25.0,9.2,10,2.7856199736017166,0.71875,25.0,100.0,2.0,0.25,0.0,0.0,8,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,286.6179006126724,65.14043195742553,3600286.6179006123,450035.82723757654,238.0,16.760563380281692,26303.194337454537,1852.337629398207,14.2,2.6575964667719267,27.303660417444462,9.6,14,3.006637813528527,0.676056338028169,27.303660417444462,100.0,2.8,0.35,2.2020858718547975,0.0,8,100.0,1.0,0.0,0.0,0.0,0.0,7.044564344577111,0.4,8.846862254850569,100.0,1.0,0.0,0.0,0.0,0.0,11.384718994978584,0.4,8.769824719987811,0.0,0.0,0.0,0.0,0.0,0.0
7,actuated,0,0,597.1431952582393,99.52386587637322,1236941.1270611691,154617.64088264614,285.2,17.604938271604937,27270.392075011623,1683.3575354945447,16.2,3.2409225656229443,26.41602583947261,10.4,11,4.606207899337933,0.6419753086419753,26.41602583947261,100.0,2.2,0.275,1.1034403161611397,0.0,8,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.32820671578088,0.2,8.827522529289118,0.0,0.0,0.0
8,actuated,3,0,322.17466694506953,47.37862749192199,1140710.7526058163,142588.84407572704,248.0,15.5,29382.38385554799,1836.3989909717493,16.0,3.646895535020839,17.572187714048297,8.8,10,4.364713380798855,0.55,17.572187714048297,100.0,2.0,0.25,1.0830441334983336,0.0,8,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577501712386379,0.4,8.664353067986669
9,actuated,3,3,313.68647544016466,54.08387507589046,1706662.8110328815,213332.8513791102,276.0,17.25,27847.93671859441,1740.4960449121506,16.0,2.4032507855623315,15.434877527138298,9.4,9,2.4938445970170067,0.5875,15.434877527138298,100.0,1.8,0.225,2.887522775139666,0.0,8,100.0,1.0,0.0,5.234195275463662,0.2,8.542072387225927,0.0,0.0,0.0,6.313805921843141,0.4,6.176596061038473,0.0,0.0,0.0,0.0,0.0,0.0,11.931019019799578,0.2,8.381513752852927,0.0,0.0,0.0
