step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed
0,random,0,0,81.71203823720971,27.237346079069905,81.71203823720971,27.237346079069905,11.2,1.1428571428571428,19304.497254121914,1969.846658583869,9.8,3.908716839322628,5.621865030282909,2.4,2,1.464266137841371,0.24489795918367346,5.621865030282909,16.86559509084873,0.4,0.13333333333333333,1.0725985584817452,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,16.86559509084873,0.4,3.2177956754452355
1,random,0,0,121.17969082469267,40.393230274897554,121.17969082469267,40.393230274897554,27.4,2.6346153846153846,18666.337227953594,1794.840118072461,10.4,2.6787717867154694,52.57705028643784,4.4,11,1.2012127561337786,0.4230769230769231,52.57705028643784,93.2437215752995,2.2,0.7333333333333334,6.950646996882294,4.461073781134154,3,3.6453265188740147,0.4,8.864757663104685,60.84210276514,0.8,7.526109546408042,93.2437215752995,1.0,4.461073781134154
2,random,0,0,114.75067475691012,44.13487490650389,2884.2801807746146,961.4267269248716,56.8,5.071428571428571,18680.189466402015,1667.8740595001798,11.2,2.6867578261619727,66.66666666666667,7.0,10,2.109611486820965,0.625,66.66666666666667,100.0,2.0,0.6666666666666666,0.0,0.0,3,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
3,random,0,0,461.4284897481235,153.80949658270785,461.4284897481235,153.80949658270785,95.2,7.80327868852459,21080.181626816473,1727.8837399029894,12.2,3.2912945998219794,69.53923887640248,8.4,12,3.5574344682275,0.6885245901639344,69.53923887640248,100.0,2.4,0.7999999999999999,2.9189753225694104,0.0,3,8.61771662920745,0.4,8.75692596770823,100.0,1.0,0.0,100.0,1.0,0.0
4,random,2,0,206.2572727839061,85.94053032662755,3463.3770164980124,1154.4590054993375,79.0,6.370967741935484,20528.62727219642,1655.5344574351952,12.4,1.1170510801580273,60.0,7.0,10,1.1266633145324456,0.5645161290322581,60.0,100.0,2.0,0.6666666666666666,0.0,0.0,3,0.0,0.0,0.0,80.0,1.0,0.0,100.0,1.0,0.0
5,random,2,2,261.07901877589086,108.78292448995452,448700.6659180949,149566.88863936497,85.4,6.279411764705882,25039.56787310479,1841.1446965518228,13.6,1.2078065119983568,40.532974625193766,5.8,8,1.0198170562416515,0.4264705882352941,40.532974625193766,100.0,1.6,0.5333333333333333,0.5644578383050814,0.0,3,0.0,0.0,0.0,21.598923875581306,0.6,1.6933735149152445,100.0,1.0,0.0
6,random,2,2,210.47939706060765,70.15979902020256,210.47939706060765,70.15979902020256,114.0,9.193548387096774,23267.839716433773,1876.4386868091751,12.4,2.1080173877188964,45.22719135731867,6.2,9,1.3861827377062055,0.5,45.22719135731867,100.0,1.8,0.6,1.3330126189420481,0.0,3,0.0,0.0,0.0,35.68157407195599,0.8,3.9990378568261447,100.0,1.0,0.0
7,random,2,2,110.57892357485791,42.53035522109919,26003.422307916077,8667.807435972025,144.6,12.254237288135593,22462.27686005699,1903.5827847505923,11.8,2.951256468130391,39.30402816352512,6.6,7,1.901249191322293,0.559322033898305,39.30402816352512,100.0,1.4,0.4666666666666666,1.8609410507678235,0.0,3,0.0,0.0,0.0,17.912084490575353,0.4,5.582823152303471,100.0,1.0,0.0
8,random,2,2,297.51775718371516,114.42990660912122,863.2413491224215,287.7471163741405,179.2,14.933333333333334,19895.238441745605,1657.9365368121337,12.0,2.227264738847157,35.853078597763215,7.4,9,1.7814613053467492,0.6166666666666667,35.853078597763215,100.0,1.8,0.6,6.041753993431727,0.0,3,0.5049054927576435,0.4,9.070267956051977,7.054330300532001,0.4,9.054994024243205,100.0,1.0,0.0
9,random,2,2,156.92931589788643,78.46465794894321,1081142.962277616,360380.98742587195,221.0,17.265625,22925.984141217683,1791.0925110326316,12.8,1.4404139469563353,33.333333333333336,9.4,5,1.5632668106801408,0.734375,33.333333333333336,100.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
