step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,actuated,0,0,197.10341496995753,41.06321145207448,315236.21014917275,63047.24202983455,14.0,1.25,22282.83257484319,1989.5386227538563,11.2,7.217082605577236,8.097793664881522,2.6,5,5.095006202760729,0.23214285714285715,8.097793664881522,26.951292269348244,1.0,0.2,1.4227470337320696,0.0,5,13.537676055059364,0.2,4.0840312030672505,26.951292269348244,0.6,3.029703965593098,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,128.30637340147837,26.730494458641328,200128.30637340152,40025.6612746803,12.0,0.9375,22878.335413564208,1787.3699541847036,12.8,6.549441719906343,11.98839699488559,1.6,6,5.203561465137519,0.125,11.98839699488559,37.50500871395616,1.2000000000000002,0.24000000000000005,1.7033734337057869,0.0,5,37.50500871395616,0.8,3.0269150695161353,22.436976260471795,0.4,5.489952099012799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,130.11420183066406,26.02284036613281,130.11420183066406,26.02284036613281,17.0,1.5740740740740742,20867.736578370586,1932.19783133061,10.8,5.340365570978503,13.287412758338917,1.0,6,4.36306388491442,0.09259259259259259,13.287412758338917,33.275006313277515,1.2,0.24,1.4761924860958644,0.0,5,33.16205747841707,0.6,4.756081057996629,33.275006313277515,0.6,2.6248813724826925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,332.2650329064473,69.22188185550985,1816.6040049990127,363.32080099980254,22.2,3.1714285714285713,15202.269595542728,2171.7527993632466,7.0,6.33776105291025,6.0154619894116195,1.2,4,4.267550435332232,0.17142857142857143,6.0154619894116195,18.875492956864832,0.8,0.16,2.6046167780595213,0.0,5,0.0,0.0,0.0,18.875492956864832,0.6,4.095960720231006,0.0,0.0,0.0,0.0,0.0,0.0,11.201816990193265,0.2,8.9271231700666
4,actuated,0,0,94.10680901214732,24.76494974003877,849385.0127214945,169877.0025442989,31.0,5.0,14455.612943460885,2331.5504747517557,6.2,6.131368890649474,4.819634922675334,2.4,5,4.709504365496207,0.3870967741935484,4.819634922675334,11.967003219385504,1.0,0.2,5.242219487298304,0.0,5,11.967003219385504,0.2,8.35631094658759,8.231493013720126,0.4,8.94897196982056,3.899678380271041,0.4,8.90581452008337,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,64.86414563457087,17.0695120090976,1341210.0252528738,268242.0050505748,41.0,7.884615384615385,8933.172467721331,1717.9177822541021,5.2,6.406003003932669,1.6815359371404384,2.4,1,5.60402122793673,0.46153846153846156,1.6815359371404384,8.407679685702192,0.2,0.04,2.37877758759189,0.0,5,8.407679685702192,0.2,11.89388793795945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,328.6431301120222,71.44415872000484,400328.64313011186,80065.72862602238,51.0,7.5,13580.055898441322,1997.0670438884297,6.8,4.854678374227758,0.0,2.2,0,4.820174519638474,0.3235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,actuated,0,0,171.45071956020755,35.71889990837657,200171.4507195602,40034.29014391204,61.0,8.714285714285714,15673.290617360763,2239.0415167658234,7.0,5.51644944838484,4.0004905167910465,2.2,3,3.996738177398458,0.3142857142857143,4.0004905167910465,11.545941077674229,0.6000000000000001,0.12000000000000002,3.5383468468673214,0.0,5,11.545941077674229,0.2,8.661052341013992,0.0,0.0,0.0,8.456511506281004,0.4,9.030681893322617,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,116.70166135490206,23.34033227098041,116.70166135490206,23.34033227098041,71.0,9.342105263157896,17249.974350509558,2269.73346717231,7.6,6.6061630537336065,2.234563148305142,2.2,1,4.2943700950522805,0.2894736842105263,2.234563148305142,11.17281574152571,0.2,0.04,1.7900590560772005,0.0,5,0.0,0.0,0.0,11.17281574152571,0.2,8.950295280386003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,1,0,248.06577203657633,56.37858455376735,266743.22119665204,53348.64423933041,37.8,4.395348837209302,12387.81966126048,1440.4441466581955,8.6,2.955228092174135,16.96988583855807,1.8,6,2.4917785005542332,0.20930232558139536,16.96988583855807,62.755896513270955,1.2000000000000002,0.24000000000000005,5.039254145701336,0.0,5,0.0,0.0,0.0,11.368230606058773,0.2,8.796443656474064,10.725302073460625,0.2,9.323746717348541,0.0,0.0,0.0,62.755896513270955,0.8,7.076080354684073
