step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed
0,actuated,0,0,291.5405004937589,36.44256256171986,291.5405004937589,36.44256256171986,18.2,0.40444444444444444,92254.13446525409,2050.0918770056464,45.0,2.7481285135964777,23.667393715714343,3.8,25,0.7988989130783977,0.08444444444444445,23.66739371571434,40.21689094433498,5.0,0.625,2.954764018212844,0.0,8,37.412684310800444,0.8,4.334900165054734,24.637398110585593,0.8,3.946755324834993,26.670649521135488,1.0,3.4451052486195595,40.21689094433498,0.8,4.284476159325077,34.499062361473705,0.8,4.4191107043471956,25.902464477384513,0.8,3.2077645435211957,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,206.79587183899972,25.849483979874964,206.79587183899972,25.849483979874964,33.2,0.8829787234042553,79729.5461923663,2120.466654052295,37.6,3.8109569370707126,21.816663891337456,4.4,23,0.8903545462357905,0.11702127659574468,21.816663891337456,46.205573851537736,4.6,0.575,4.990817983882197,0.0,8,15.114615740689885,0.6,5.3544761186752075,30.40520285351647,0.6,5.882046695010864,20.200755957773424,0.6,5.763851075088472,14.022592466622825,0.8,5.824175933511378,11.196098927447622,0.8,5.937815034542734,37.38847133311168,0.6,4.9227037510117295,0.0,0.0,0.0,46.205573851537736,0.6,6.241475263217191
2,actuated,0,0,212.88582095542125,28.011292230976483,1723.5980918623013,215.44976148278766,52.4,1.7583892617449663,64603.6406944789,2167.907405854997,29.8,4.075205983455965,24.217145040142007,5.2,26,1.6772707235370463,0.174496644295302,24.217145040142007,100.0,5.200000000000001,0.6499999999999999,5.833301296296187,0.0,8,32.52132246969154,0.8,6.591571219465642,8.041603480679953,0.8,6.495084070008139,10.287453590318876,0.6,6.881272434260784,6.873559142742636,0.6,6.819592830115379,14.792160100283809,0.2,6.7603378628981545,21.14995733438178,0.8,5.66776250072102,0.07110420303746423,0.4,7.450789452900379,100.0,1.0,0.0
3,actuated,0,0,198.79070392944067,28.398671989920096,622957.3052357913,77869.6631544739,80.0,3.252032520325203,53630.34368885631,2180.095271904728,24.6,4.056077831740293,18.2494885797416,7.0,17,2.1509693167152713,0.2845528455284553,18.2494885797416,100.0,3.4,0.42500000000000004,5.318570851144934,0.0,8,1.7361771276586069,0.6,8.471995918611825,18.21516887433887,0.8,8.101227234287135,7.292776001407901,0.4,8.528544940426945,10.049151024231264,0.4,8.975814981665462,0.0,0.0,0.0,8.70263561029617,0.2,8.47098373416811,0.0,0.0,0.0,100.0,1.0,0.0
4,actuated,0,0,326.33066305753266,45.32370320243509,825550.7607343788,103193.84509179735,110.6,4.850877192982456,48345.9022026545,2120.434307133969,22.8,3.7269519774455886,19.163556561157016,7.8,13,2.0305110563113944,0.34210526315789475,19.163556561157016,100.0,2.6,0.325,5.596516363304789,0.0,8,10.941806280544881,0.2,9.139258860559922,0.0,0.0,0.0,10.636943870504467,0.4,9.081715687457471,11.451432881041796,0.2,8.732531643752033,9.064227389310133,0.4,8.901233519334344,11.214042067854848,0.4,8.917391195334543,0.0,0.0,0.0,100.0,1.0,0.0
5,actuated,0,0,427.92796769913673,53.49099596239209,427.92796769913673,53.49099596239209,145.6,5.967213114754099,51475.69177844854,2109.6594991167435,24.4,3.7535909088901818,16.852829760777155,8.2,10,1.9075172184816354,0.3360655737704918,16.852829760777155,100.0,2.0,0.25,4.611969235027235,0.0,8,10.435461709959384,0.2,9.58270968543367,2.8689685768554796,0.4,8.723650270793586,10.704134857557506,0.2,9.342184242885953,10.81407294184487,0.2,9.247209681104675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
6,actuated,0,0,283.23979301,35.40497412625,283.23979301,35.40497412625,185.0,7.341269841269841,54386.8249371956,2158.207338777603,25.2,4.172916178437591,17.694732401746762,8.8,9,2.187982769555549,0.3492063492063492,17.694732401746762,100.0,1.8,0.22499999999999998,4.547654940033103,0.0,8,10.917899660418584,0.2,9.1592708405754,11.187602530546883,0.2,8.938465567306109,0.0,0.0,0.0,0.0,0.0,0.0,8.893944398907934,0.2,8.81238244678825,10.558412624100697,0.2,9.471120665595071,0.0,0.0,0.0,100.0,1.0,0.0
7,actuated,0,0,370.74497627201583,47.531407214361,200370.74497627205,25046.343122034006,226.4,9.129032258064516,49737.57135385533,2005.5472320102956,24.8,4.50029930835364,21.770167724985043,9.6,15,3.120401179028627,0.3870967741935484,21.770167724985043,100.0,3.0,0.375,5.55527876285312,0.0,8,0.0,0.0,0.0,2.511410968571113,0.4,8.807676840201022,10.754241222896326,0.2,9.298656960297201,10.790470936578913,0.2,9.267436109855712,0.0,0.2,0.0,8.53439150380268,0.4,9.272752683050932,41.570827168031315,0.6,7.7957075094200885,100.0,1.0,0.0
8,actuated,0,0,493.5450060191336,66.6952710836667,29955.96110448098,3744.4951380601224,277.0,10.653846153846153,52329.110297941035,2012.6580883823476,26.0,3.390622992578374,28.86308588327729,12.0,15,2.125263400482592,0.46153846153846156,28.863085883277293,100.0,3.0,0.375,3.2771437550695595,0.0,8,18.593675325024037,0.4,8.745832329456249,0.0,0.0,0.0,0.0,0.0,0.0,11.421939921373792,0.2,8.755080195516591,0.0,0.0,0.0,0.889071819820515,0.4,8.716237515583634,100.0,1.0,0.0,100.0,1.0,0.0
9,actuated,0,0,459.4356269886166,57.429453373577076,459.4356269886166,57.429453373577076,332.0,12.388059701492537,54305.02435563809,2026.3068789417196,26.8,3.687612541947922,29.381205613803946,12.0,16,2.057992256352457,0.44776119402985076,29.381205613803942,100.0,3.2,0.4,4.464448616857172,0.0,8,0.0,0.2,0.0,2.467008829006545,0.4,8.64090292537585,11.640551428056938,0.2,8.59065832216268,10.568750744230897,0.2,9.461856223128965,10.373333909137159,0.2,9.022171464189887,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
10,actuated,0,0,575.2574370655612,79.89686625910572,52863.919525597026,6607.989940699628,389.4,14.316176470588236,52806.316729900005,1941.4087033051474,27.2,3.9408479444573943,28.983098257018014,12.6,15,2.557109025525699,0.4632352941176471,28.983098257018014,100.0,3.0,0.375,3.3330295229912887,0.0,8,11.111440038916385,0.2,8.9997335763648,0.0,0.0,0.0,0.0,0.0,0.0,9.472873159537016,0.4,8.799625996313988,11.280472857690711,0.4,8.864876611251521,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
11,actuated,0,0,584.9416064390119,86.02082447632529,880549.8380618778,110068.72975773472,456.0,15.099337748344372,60754.076290105295,2011.7243804670627,30.2,3.5739349585630413,31.06072210569074,15.4,17,2.33669713667996,0.5099337748344371,31.060722105690743,100.0,3.4,0.425,5.721575541188831,0.0,8,10.532827194234073,0.2,9.494127090088636,11.026792471112685,0.2,9.068820353876603,8.295059050481655,0.4,8.87230585217476,10.585196466253706,0.2,9.447155782021287,0.0,0.0,0.0,8.045901663443829,0.4,8.89019525134936,100.0,1.0,0.0,100.0,1.0,0.0
12,actuated,0,0,438.2211636785438,60.86405051090886,36131.415801171155,4516.426975146394,527.2,17.691275167785236,58195.91201512314,1952.8829535276222,29.8,3.486700855760161,28.717368852330697,15.4,13,2.0992913697061204,0.5167785234899329,28.717368852330694,100.0,2.6,0.325,3.4242898358148675,0.0,8,9.092045319093245,0.2,9.08043602956459,10.503001462677162,0.2,9.521087886672587,10.143904036875142,0.2,8.792794770281763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
13,actuated,1,0,192.46062216915112,27.49437459559302,1351348.3336787815,168918.5417098477,518.8,16.2125,59385.44281082307,1855.795087838221,32.0,3.711332471576834,27.786500829876605,15.4,16,2.0408108665314284,0.48125,27.7865008298766,100.0,3.2,0.4,3.4214073565206014,0.0,8,0.5236745307217916,0.6,8.99470024080947,0.0,0.0,0.0,0.0,0.2,0.0,10.794695440326336,0.2,9.263809299002963,10.973636667964684,0.2,9.112749312352378,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
14,actuated,2,1,554.6502490365535,69.33128112956919,554.6502490365535,69.33128112956919,190.0,5.491329479768786,60799.106119485994,1757.1995988290748,34.6,2.6783976074185603,13.994958553236216,13.0,15,1.6328552332914075,0.37572254335260113,13.994958553236216,31.130818235222364,3.0000000000000004,0.375,6.056677820039948,0.0,8,0.0,0.0,0.0,12.506256026243818,0.6,9.273221794376086,10.933732202242368,0.2,9.146007799559174,8.409117919921982,0.4,9.11610541669652,11.60224399810204,0.2,8.61902232157491,10.412847492845572,0.4,9.030037874355912,26.964652551311588,0.6,1.5497270802500558,31.130818235222364,0.6,1.7193002735069218
15,actuated,2,2,456.0209952869366,57.00262441086708,456.0209952869366,57.00262441086708,99.8,2.626315789473684,68514.54860854588,1803.014437066997,38.0,1.9747253410146066,33.00026409031382,15.6,17,0.8961924690123352,0.4105263157894737,33.00026409031382,100.0,3.3999999999999995,0.425,3.31473421967286,0.0,8,0.0,0.0,0.0,51.21800489663883,0.6,5.209106547062608,12.739520647714926,0.2,5.040448356817746,58.96683519553278,0.6,4.018040970893954,0.0,0.0,0.0,11.128964969219624,0.2,8.985561575274877,100.0,1.0,0.0,29.9487870134044,0.8,3.264716307333693
16,actuated,2,2,453.58514887938,56.6981436099225,453.58514887938,56.6981436099225,153.6,3.801980198019802,73887.37800725557,1828.895495229098,40.4,1.9349051655344371,67.0035444297241,20.2,30,0.7732300465411337,0.5,67.00354442972412,100.0,6.0,0.75,1.7861226372817103,0.0,8,50.13462441008414,0.6,5.167927109841791,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,55.256198480409466,0.6,4.626502953507788,100.0,1.0,0.0,30.637532547299315,0.8,4.494551034904103
17,actuated,2,2,750.3472290184789,93.79340362730986,750.3472290184789,93.79340362730986,237.2,5.390909090909091,75966.0814781828,1726.5018517768817,44.0,1.7488804870727648,83.0010472049814,22.8,36,1.0076997660432734,0.5181818181818182,83.0010472049814,100.0,7.199999999999999,0.9,1.193680155144154,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,58.93419423339367,0.6,4.141412525712035,100.0,1.0,0.0,80.0,1.0,0.0,25.074183406457564,0.6,5.408028715441198
18,actuated,2,2,614.1387327923145,76.76734159903931,614.1387327923145,76.76734159903931,335.8,7.02510460251046,78823.99696248918,1649.0375933575142,47.8,1.378415339438463,91.11484440117529,27.4,38,0.5216896739358708,0.5732217573221757,91.11484440117529,100.0,7.6,0.95,0.19607593196857662,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,28.91875520940232,0.6,1.568607455748613,100.0,1.0,0.0
19,actuated,2,2,737.6905970250639,92.21132462813299,737.6905970250639,92.21132462813299,474.8,9.496,81566.36758205631,1631.3273516411261,50.0,1.3330476155413868,88.3645029933701,32.6,38,0.807417662145246,0.652,88.3645029933701,100.0,7.6,0.95,0.3978327043675253,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,26.916023946960763,0.6,3.1826616349402026,80.0,1.0,0.0
20,actuated,2,2,833.9965406431462,106.92263341578797,1175.4031528226517,146.92539410283146,616.0,11.492537313432836,88547.13593822178,1651.9988048175703,53.6,1.2097221855385336,78.57081119262219,33.6,33,0.8252778650587228,0.6268656716417911,78.57081119262219,100.0,6.6,0.825,0.22600092781107867,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,28.5664895409775,0.6,1.8080074224886293
21,actuated,2,2,1049.8943406799306,138.1439921947277,1950.6355764515488,243.8294470564436,789.2,13.99290780141844,94420.01729305842,1674.1137817918159,56.4,1.5593851218297954,75.71565044906734,38.4,32,1.8058962099265714,0.6808510638297872,75.71565044906734,100.0,6.4,0.8,0.4285925331364132,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,5.725203592538719,0.4,3.4287402650913057
22,actuated,2,2,1021.2367860203667,141.8384425028287,18448.822171503605,2306.1027714379507,990.8,16.85034013605442,97742.6384800556,1662.2897700689728,58.8,2.002394646897709,79.64156038321036,42.8,35,2.65411746358459,0.7278911564625851,79.64156038321036,100.0,7.0,0.875,1.6980426938148794,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.495137345787043,0.2,8.699330594483929,25.637345719895848,0.8,4.8850109560351065
23,actuated,2,2,1453.7735497309868,196.455885098782,235317.07994277324,29414.634992846655,1213.4,19.826797385620914,99659.30756136528,1628.420058192243,61.2,1.504883153938373,79.68352452818714,47.4,34,2.267335634662055,0.7745098039215687,79.68352452818714,100.0,6.8,0.85,0.8345588020198905,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,37.46819622549708,0.8,6.676470416159124
24,actuated,2,2,2050.234877009104,269.76774697488213,2480.4807653524754,310.0600956690594,1458.4,22.71651090342679,100490.47627039433,1565.272216049756,64.2,1.237835845385399,75.7953514638794,51.8,33,1.6984877335638076,0.8068535825545171,75.7953514638794,100.0,6.6,0.825,0.8855246133605416,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,6.362811711035192,0.6,7.0841969068843325
25,actuated,2,2,1706.0137470451348,250.884374565461,231476.7674475988,28934.59593094985,1729.2,25.579881656804734,107419.4737661824,1589.045469913941,67.6,1.5944899622744897,75.53359203725606,56.6,32,2.403491159934361,0.8372781065088757,75.53359203725606,100.0,6.4,0.8,0.9897392858464308,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,4.268736298048452,0.4,7.917914286771446
26,actuated,3,2,1787.4874562178502,331.0161955958982,1805443.0502914884,225680.38128643605,2023.0,28.25418994413408,107951.06988409851,1507.6965067611522,71.6,1.255940485802503,76.64951293092244,62.4,31,2.247564878219702,0.8715083798882681,76.64951293092244,100.0,6.2,0.775,0.947249318698107,0.0,8,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,13.196103447379528,0.2,7.577994549584856,0.0,0.0,0.0
27,actuated,4,3,1883.2286970741086,348.7460550137238,58630.033029806684,7328.7541287258355,1601.6,22.182825484764543,113155.2996173342,1567.2479171375928,72.2,0.5086064457129356,63.94072754196799,57.2,32,0.8797989350357062,0.7922437673130194,63.94072754196799,100.0,6.4,0.8,0.7635074598334618,0.0,8,80.0,1.0,0.0,80.0,1.0,0.0,100.0,1.0,0.0,80.0,1.0,0.0,80.0,1.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,11.525820335743902,0.4,6.108059678667694
28,actuated,0,4,976.484955547784,122.060619443473,976.484955547784,122.060619443473,585.6,8.688427299703264,117352.5856967293,1741.1362863016216,67.4,0.9571129798183888,30.45626473825891,34.0,21,0.5059191398917924,0.5044510385756676,30.45626473825891,69.10948611993376,4.2,0.525,2.2181178374706105,0.0,8,34.56707791617873,0.6,2.0318110857813783,31.463930397404738,0.6,2.051443237760497,22.38997185486369,0.8,1.9272585892948815,39.711657514703234,0.4,2.283503680342036,19.433918302300413,0.4,2.2483626270031567,26.974075800686705,0.6,1.8046875767112818,0.0,0.0,0.0,69.10948611993376,0.8,5.397875902871655
29,actuated,0,0,399.0799972249054,49.88499965311318,399.0799972249054,49.88499965311318,114.6,1.9556313993174061,112925.74545309937,1927.0605026126173,58.6,1.9992273827700444,25.26756719903311,11.0,24,0.5993352560718058,0.18771331058020477,25.26756719903311,100.0,4.800000000000001,0.6000000000000001,2.8608288706668024,0.0,8,14.574143012700915,0.6,3.868744982819124,15.527276122791136,0.6,3.869970738559512,10.138500928723602,0.4,3.1627604820912225,20.398338271106127,0.8,4.076966494855981,26.14619795887961,0.8,3.8367452419393526,15.356081298063486,0.6,4.071443025069225,0.0,0.0,0.0,100.0,1.0,0.0
30,actuated,0,0,309.2828062007104,38.6603507750888,309.2828062007104,38.6603507750888,63.0,1.2115384615384615,109541.21907718941,2106.5619053305654,52.0,2.911129114844992,22.614206248897446,6.6,26,0.990865318411544,0.12692307692307692,22.614206248897446,100.0,5.2,0.65,4.933963029721866,0.0,8,8.218162320492866,0.6,5.332222010224364,1.5042887644955272,0.6,5.1186027857521195,26.24963036054453,0.8,4.8956431958272555,17.919836743805604,0.4,5.580407981929147,5.642522734244153,0.6,5.071199158186489,20.27059799406743,0.8,5.944750656906992,1.1086110735294596,0.4,7.528878448948562,100.0,1.0,0.0
31,actuated,0,0,388.47881398622434,48.55985174827804,388.47881398622434,48.55985174827804,93.2,2.052863436123348,98536.91067135458,2170.416534611334,45.4,3.7423577190682815,26.073785841805876,7.6,29,1.654465786682128,0.16740088105726872,26.073785841805872,100.0,5.8,0.7250000000000001,4.924010555435784,0.0,8,32.1248274059036,0.8,6.13088114395313,22.667623529314938,0.8,6.615395270761205,17.669174897296216,0.6,6.795518507252712,16.775492014269275,1.0,6.76557976521094,5.030045139937442,0.8,6.023997281937321,14.323123747725504,0.8,7.060712474370957,0.0,0.0,0.0,100.0,1.0,0.0
32,actuated,0,0,253.62811240955776,31.70351405119472,253.62811240955776,31.70351405119472,128.0,3.386243386243386,82109.05453654364,2172.1972099614723,37.8,4.465408879099815,26.699912260299925,8.2,26,1.8467149363770385,0.21693121693121692,26.699912260299925,100.0,5.2,0.65,5.521251019116496,0.0,8,28.528225781309402,0.6,7.031382406653249,17.81584526077836,0.8,7.635932566575999,10.303288814864118,0.8,7.251787303915003,21.618503337024322,0.8,6.212271847775412,11.976588693282793,0.8,7.474167827822663,23.356846195140406,0.4,8.564466200189646,0.0,0.0,0.0,100.0,1.0,0.0
33,actuated,0,0,222.08474301148618,30.845103196039748,406030.01422633673,50753.75177829209,165.6,5.411764705882353,66390.02088447222,2169.608525636347,30.6,4.464994485886867,36.04532558560436,9.4,24,2.6357153510493303,0.30718954248366015,36.04532558560436,100.0,4.8,0.6,7.196811648389013,0.0,8,11.065513785588337,0.2,9.0370860257966,21.424023681092876,0.6,8.767772698572053,19.38729469850273,0.6,8.387476301602131,7.310302461340825,0.6,9.065168613823955,21.949070992799307,0.4,9.11998608516469,9.275724280112172,0.4,8.769773090071977,97.95067478539863,1.0,4.427230372080699,100.0,1.0,0.0
34,actuated,0,0,580.5568632098157,74.4303670781815,200580.55686320984,25072.56960790123,210.6,7.415492957746479,59032.671964412846,2078.615210014537,28.4,4.80405662410578,29.069172142041708,10.8,18,3.9386019744658287,0.38028169014084506,29.069172142041708,100.0,3.6,0.45,5.6517230072877505,0.0,8,10.70325909652638,0.2,9.342948638181976,1.2333805813875642,0.4,8.976733390893788,10.598440785751109,0.2,9.43535016343567,4.441264343645344,0.4,8.876093076949354,0.0,0.0,0.0,5.577032329023268,0.4,8.582658788841217,100.0,1.0,0.0,100.0,1.0,0.0
35,actuated,0,0,401.0911058638852,50.13638823298565,401.0911058638852,50.13638823298565,260.2,8.6158940397351,63125.82678666788,2090.259165121453,30.2,3.6193254320112027,28.598006940578244,11.2,18,1.7744520133462083,0.3708609271523179,28.598006940578244,100.0,3.6,0.45,5.549140564212487,0.0,8,3.67219335446066,0.4,8.825491325370967,7.0568202762819965,0.4,8.745412273798138,1.7707718945769102,0.2,8.558113910164684,11.036398139939365,0.2,9.060927191282845,0.0,0.0,0.0,5.247871859367024,0.4,9.203179813083262,100.0,1.0,0.0,100.0,1.0,0.0
36,actuated,0,0,409.18228868195894,52.459267779738326,3518.5968463721924,439.82460579652405,314.2,10.267973856209151,62474.7545764339,2041.6586462886896,30.6,3.8248182966377775,29.26213438862959,12.0,20,1.9156919232283713,0.39215686274509803,29.26213438862959,100.0,4.0,0.5,5.573734679472885,0.0,8,7.2953688852271625,0.4,9.007488744985313,10.989275222059405,0.4,8.693343874346468,0.6427490686826332,0.4,8.554955400558338,5.6074147095614535,0.4,9.412651351559909,9.562267223506069,0.4,8.921438064333053,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
37,actuated,0,0,387.2875226528933,60.51367541451457,476318.4481113403,59539.806013917536,375.0,12.66891891891892,60808.66935350232,2054.3469376183216,29.6,4.065970072066749,29.26539840861892,13.8,17,2.4519751499860125,0.46621621621621623,29.26539840861892,100.0,3.4,0.425,4.57759667034261,0.0,8,10.781621547866962,0.2,9.275042678509154,5.041118959668438,0.4,8.919782325904816,0.0,0.2,0.0,10.670531944751929,0.2,9.371604013535881,0.0,0.0,0.0,7.629914816664041,0.4,9.054344344791026,100.0,1.0,0.0,100.0,1.0,0.0
38,actuated,0,0,653.4184906107513,93.34549865867875,800911.5663879949,100113.94579849936,440.0,14.193548387096774,62495.46915756828,2015.9828760505898,31.0,3.736304500409819,31.310743630057516,14.4,17,2.260547858884671,0.4645161290322581,31.310743630057516,100.0,3.4,0.42500000000000004,5.605793592234914,0.0,8,11.350790849829764,0.2,8.809958823397734,3.1272311524833185,0.4,8.70612205271848,14.405989361815728,0.4,8.813079704995776,10.755321562578501,0.2,9.297722938190406,10.846616113752816,0.2,9.219465218576916,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
39,actuated,0,0,710.0637400867688,93.42943948510116,56013.85613165584,7001.73201645698,507.6,16.92,59148.03259638392,1971.6010865461305,30.0,3.439235291277339,29.508420703115092,15.0,16,2.1223503882359323,0.5,29.508420703115092,100.0,3.2,0.4,4.561382415519731,0.0,8,10.595686027722877,0.2,9.437803247317534,9.090418474730768,0.2,8.907827213034034,0.0,0.2,0.0,5.243242690055467,0.4,9.167171141678603,0.0,0.0,0.0,11.138018432411627,0.2,8.978257722127669,100.0,1.0,0.0,100.0,1.0,0.0
40,actuated,1,0,209.8515178555681,29.978788265081157,926138.8366513659,115767.35458142073,555.0,17.024539877300615,62303.8172778568,1911.1600391980614,32.6,3.6808262840321015,28.736697428797697,15.8,15,2.1160877689855826,0.48466257668711654,28.736697428797697,100.0,3.0,0.375,3.440889952285282,0.0,8,7.933252178050907,0.4,9.29239056557417,0.0,0.2,0.0,0.0,0.0,0.0,11.344389295826431,0.2,8.814930217247545,0.0,0.0,0.0,10.61593795650424,0.2,9.419798835460542,100.0,1.0,0.0,100.0,1.0,0.0
