step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed
0,actuated,0,0,278.3137088402867,39.759101262898106,738314.4452371785,92289.30565464731,17.0,1.4406779661016949,25299.151774476995,2143.9959130912707,11.8,3.3411500929934848,2.0699177688577564,2.4,3,2.394544127119762,0.2033898305084746,2.0699177688577564,16.55934215086205,0.6,0.075,1.1401254363823652,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.55934215086205,0.6,9.121003491058921,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,271.64640516133164,35.74294804754364,400271.6464051612,50033.95580064515,27.0,2.7,22567.033040965365,2256.7033040965366,10.0,5.505685587756803,0.7783370953373492,2.4,2,3.6995582103695375,0.24,0.7783370953373492,6.2266967626987935,0.4,0.05,1.1035537160118112,0.0,8,0.0,0.0,0.0,6.2266967626987935,0.4,8.82842972809449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,340.2768619062586,44.77327130345508,400340.2768619063,50042.534607738286,37.0,3.3636363636363638,23757.080545501856,2159.7345950456233,11.0,4.730906710487419,3.344601521563746,2.6,6,3.5855475824802445,0.23636363636363636,3.344601521563746,13.213821751662351,1.2,0.15000000000000002,4.284574062310542,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9236037380415496,0.4,8.986919924803079,11.339719956317253,0.2,8.818559927865849,1.2796667264888129,0.4,8.903279366437346,0.0,0.0,0.0,13.213821751662351,0.2,7.567833279378058
3,actuated,0,0,229.85893991929282,34.82711210898376,817719.8602389491,102214.98252986863,49.0,4.622641509433962,22775.703344129517,2148.6512588801434,10.6,3.482071718891639,2.8329168924994974,3.4,2,2.9802594680614583,0.32075471698113206,2.8329168924994974,11.682773609994683,0.4,0.05,2.208326699363522,0.0,8,10.980561530001296,0.2,9.107002381142179,11.682773609994683,0.2,8.559611213766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,168.21327226143654,25.486859433550993,1124287.6884051529,140535.9610506441,64.6,5.295081967213115,25443.06575157595,2085.497192752127,12.2,3.5058560618898023,2.13685074726893,3.8,3,2.088510603617253,0.3114754098360656,2.13685074726893,11.835847321975166,0.6000000000000001,0.07500000000000001,2.111701692110246,0.0,8,0.0,0.0,0.0,5.258958656176276,0.4,8.444704280141742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835847321975166,0.2,8.448909256740226,0.0,0.0,0.0
5,actuated,0,0,262.9766261579643,41.090097837181915,1280672.6428995416,160084.0803624427,84.0,7.11864406779661,25412.86361990743,2153.6325101616467,11.8,4.380180346659988,2.906782090485329,4.4,5,3.1970626172066523,0.3728813559322034,2.906782090485329,10.88306806862903,1.0,0.125,3.363030220661309,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,10.205823888892667,0.4,8.874229330848902,10.88306806862903,0.2,9.188585366681188,2.1653647663609377,0.4,8.84142706776038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,193.9269489885368,28.51866896890247,1200193.9269489886,150024.24086862357,104.0,9.454545454545455,23942.63598686183,2176.603271532894,11.0,5.708571374534706,2.139509396731185,4.2,4,4.308492346748954,0.38181818181818183,2.139509396731185,11.16011602101139,0.8,0.1,3.2534707740298483,0.0,8,2.3873316958878377,0.4,8.336086108256131,3.568627456950253,0.2,8.731199761759491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16011602101139,0.2,8.96048032222316,0.0,0.0,0.0,0.0,0.0,0.0
7,actuated,0,0,402.5164446830974,54.39411414636451,600402.5164446831,75050.31455558538,124.0,10.508474576271187,24916.410468380614,2111.560209184798,11.8,4.918294125834558,1.642361941496091,4.8,4,4.428087323647854,0.4067796610169492,1.642361941496091,11.096585042307083,0.8,0.1,2.1874879625160077,0.0,8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.042310489661645,0.4,8.48812218187377,11.096585042307083,0.2,9.011781518254292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,310.7709760634891,41.99607784641745,203457.11124248925,25432.138905311156,144.2,11.629032258064516,23978.795287004945,1933.7738134681408,12.4,3.101367405240581,9.197140656103358,4.6,6,2.1814375709976823,0.3709677419354839,9.197140656103358,65.36426126033916,1.2000000000000002,0.15000000000000002,1.8846129085653023,0.0,8,0.0,0.0,0.0,8.212863988487697,0.4,8.750022984016686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.36426126033916,0.8,6.326880284505733,0.0,0.0,0.0
9,actuated,1,0,361.1808825642787,47.52380033740509,28050.162077336754,3506.2702596670943,78.0,6.290322580645161,25044.706682837517,2019.7344099062514,12.4,4.426346535909898,13.408374222477377,3.4,8,2.922533179202673,0.27419354838709675,13.408374222477377,100.0,1.5999999999999999,0.2,2.1275905803884694,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,6.075982767813457,0.4,9.142575534805655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,1.1910110120055606,0.2,7.878149108302102
