step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed
0,actuated,0,0,98.80655450400778,24.701638626001944,1000098.8065545041,200019.76131090082,3.0,0.26785714285714285,22970.834667605093,2050.967381036169,11.2,3.6696535444739697,3.97340947339012,1.4,6,2.456775697174707,0.125,3.97340947339012,7.846075641656114,1.2000000000000002,0.24000000000000005,4.5653738121136005,0.0,5,7.846075641656114,0.4,5.268948865591969,6.496592250169897,0.4,8.613188266567887,5.52437947512459,0.4,8.944731928408146,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,100.12993258693402,25.032483146733504,1000100.1299325868,200020.02598651737,11.0,1.0185185185185186,21083.448674244155,1952.1711735411254,10.8,3.435273400660951,5.487875675866178,2.4,7,2.199843647380981,0.2222222222222222,5.487875675866178,19.888817506112844,1.4,0.27999999999999997,4.85768100647617,0.0,5,2.3422752800419744,0.4,8.635268827341497,19.888817506112844,0.6,6.953370711784249,0.0,0.0,0.0,0.0,0.0,0.0,5.208285593176072,0.4,8.699765493255107
2,actuated,0,0,230.60652142666763,48.04302529722242,200230.60652142667,40046.121304285334,23.0,2.2115384615384617,20971.0017124006,2016.4424723462116,10.4,3.021672839235352,2.2838687026820708,3.4,1,1.6358187670635784,0.3269230769230769,2.2838687026820708,11.419343513410354,0.2,0.04,1.7514141663671747,0.0,5,11.419343513410354,0.2,8.757070831835874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,153.39677921339413,30.679355842678824,153.39677921339413,30.679355842678824,38.2,3.537037037037037,21227.5888498629,1965.5174860984168,10.8,4.085817170400207,3.301960523787102,3.6,5,2.209339950220342,0.3333333333333333,3.301960523787102,9.670164996523738,1.0,0.2,5.028674099296332,0.0,5,0.0,0.0,0.0,0.7640718922695555,0.2,8.125744951888919,6.075565730142216,0.4,8.628167972341181,0.0,0.0,0.0,9.670164996523738,0.4,8.389457572251557
4,actuated,0,0,143.99912848164632,28.799825696329265,143.99912848164632,28.799825696329265,60.0,5.555555555555555,22509.306778583497,2084.1950720910645,10.8,4.8003474954258,2.5319034080137612,5.0,3,3.855814229270323,0.46296296296296297,2.5319034080137612,11.060648283709895,0.6000000000000001,0.12000000000000002,3.643542297966769,0.0,5,11.060648283709895,0.2,9.041061376780224,0.0,0.2,0.0,0.0,0.0,0.0,1.598868756358911,0.2,9.176650113053622,0.0,0.0,0.0
5,actuated,0,0,352.850501203863,73.51052108413813,2852.2252885136977,570.4450577027395,86.8,7.75,17205.17443517337,1536.176288854765,11.2,4.7257070289761645,24.602078271802498,6.4,11,4.85613033857735,0.5714285714285714,24.602078271802498,80.57370636116161,2.2,0.44000000000000006,3.612579862122254,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,2.4366849978508753,0.6,7.406540643503481,40.0,0.6,3.0869574981607193,80.57370636116161,1.0,7.569401168947068
6,actuated,0,0,268.3776398392934,70.6256946945509,967752.9293472834,193550.5858694567,124.2,8.746478873239436,24633.014191108825,1734.7193092330158,14.2,1.6183253532559905,42.282733676138484,8.8,11,1.7327719892486726,0.6197183098591549,42.28273367613849,100.0,2.2,0.44000000000000006,1.7522850088962039,0.0,5,11.413668380692457,0.2,8.761425044481019,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
7,actuated,0,0,442.09572177245053,88.4191443544901,442.09572177245053,88.4191443544901,168.0,11.052631578947368,27369.327330611915,1800.6136401718366,15.2,2.2019524677788813,40.0,9.6,10,1.4883895455011804,0.631578947368421,40.0,100.0,2.0,0.4,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
8,actuated,0,0,295.65829279244076,59.131658558488155,295.65829279244076,59.131658558488155,213.8,12.576470588235294,30056.322516383378,1768.0189715519632,17.0,2.916037156699836,50.12838175578043,9.6,14,2.254088272201943,0.5647058823529412,50.128381755780424,100.0,2.8,0.5599999999999999,2.8504339738815214,0.0,5,5.961995994157974,0.2,7.650563392601904,0.0,0.0,0.0,44.67991278474415,0.6,6.601606476805704,100.0,1.0,0.0,100.0,1.0,0.0
9,actuated,4,0,234.54101466092806,48.862711387693345,200234.54101466094,40046.90820293219,120.8,7.947368421052632,28943.862121797814,1904.2014553814352,15.2,3.5293533197484948,42.354204294349074,6.6,14,3.1755125458479574,0.4342105263157895,42.354204294349074,100.0,2.8000000000000003,0.56,1.6990878869779569,0.0,5,0.0,0.2,0.0,11.771021471745371,0.2,8.495439434889784,60.0,0.8,0.0,40.0,0.6,0.0,100.0,1.0,0.0
