step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed
0,actuated,0,0,372.30437713710415,60.0490930866297,1003928.7738020901,125491.09672526126,27.8,2.673076923076923,20405.80481627656,1962.0966169496692,10.4,3.3463562590048106,0.2962032207595655,4.0,2,3.6960738481299193,0.38461538461538464,0.2962032207595655,2.369625766076524,0.4,0.05,1.0708853886462748,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,2.369625766076524,0.4,8.567083109170198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,340.6961259882879,42.58701574853599,340.6961259882879,42.58701574853599,42.0,4.375,19443.30511201526,2025.3442825015898,9.6,5.989342997562412,3.5333680836909664,3.0,4,5.089627679886314,0.3125,3.5333680836909664,11.287151427740127,0.8,0.1,3.4386834565084694,0.0,8,6.487456225457322,0.4,9.119071206729858,10.492337016330282,0.2,9.5307651521639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.287151427740127,0.2,8.859631293173997,0.0,0.0,0.0
2,actuated,0,0,271.8560344299552,39.97882859264047,640476.8751254096,80059.6093906762,48.8,5.545454545454546,18418.069990461005,2092.9624989160234,8.8,7.215520194363661,0.0,3.6,0,5.773364770063147,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,360.9678761361891,51.56683944802701,1000360.9678761361,125045.12098451701,58.0,5.918367346938775,19299.807015530438,1969.3680628092281,9.8,5.846998792243836,3.4377799803436915,3.4,6,5.116527286470432,0.3469387755102041,3.4377799803436915,13.927065287361131,1.2000000000000002,0.15000000000000002,3.3842697724344197,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.927065287361131,0.6,9.1825670562685,0.0,0.0,0.0,10.894080708931142,0.2,9.179296782519556,0.0,0.0,0.0,2.6810938464572587,0.4,8.712294340687304
4,actuated,0,0,189.50562613750694,30.565423570565635,1443023.6133500442,180377.95166875553,76.0,9.047619047619047,16200.757414889737,1928.661597010683,8.4,5.5875278591063315,0.0,4.2,0,5.189984484685658,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,239.32821541669804,35.19532579657324,1200239.3282154163,150029.91602692704,96.0,9.795918367346939,19952.02631803173,2035.9210528603805,9.8,5.725621338135982,1.14921421347578,4.2,3,4.599790947330311,0.42857142857142855,1.14921421347578,4.8031186603125775,0.6000000000000001,0.07500000000000001,2.2036138105206193,0.0,8,4.390595047493662,0.2,9.154150810744614,0.0,0.0,0.0,4.8031186603125775,0.4,8.47475967342034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,actuated,0,0,312.6999223601745,42.25674626488845,600312.6999223602,75039.08749029503,116.0,12.083333333333334,19059.153156365333,1985.3284537880554,9.6,6.954160923332628,1.9713981010520598,4.6,4,5.376388205736994,0.4791666666666667,1.9713981010520598,11.939263070856327,0.8,0.1,2.14798409942306,0.0,8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.939263070856327,0.2,8.37572632469247,0.0,0.0,0.0,3.831921737560151,0.4,8.808146470692009,0.0,0.0,0.0,0.0,0.0,0.0
7,actuated,0,0,272.4184146268725,34.92543777267596,556.8124848372535,69.60156060465668,136.0,15.11111111111111,16168.758823216176,1796.5287581351308,9.0,6.846496949510845,5.469949406321604,4.0,3,5.659847817651685,0.4444444444444444,5.469949406321604,43.75959525057283,0.6,0.075,0.828136312095737,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75959525057283,0.6,6.625090496765896,0.0,0.0,0.0
8,actuated,1,0,156.15930895546506,22.964604258156626,656676.6879524973,82084.58599406216,158.0,16.122448979591837,17795.71774812236,1815.8895661349347,9.8,6.6323423708174705,14.294375366403287,5.2,7,5.287416141077155,0.5306122448979592,14.294375366403287,100.0,1.4,0.175,1.979628248251391,0.0,8,11.397225351230986,0.2,8.774065346457263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,2.9577775799953088,0.2,7.062960639553865
9,actuated,2,1,253.87894779925244,45.33552639272365,1398915.1375448632,174864.3921931079,187.2,15.864406779661017,20918.772546218308,1772.7773344252805,11.8,5.472310197222723,25.5244008050731,7.0,12,5.4870091671507435,0.5932203389830508,25.5244008050731,100.0,2.4,0.3,1.1214408858795648,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.195206440584798,0.4,8.971527087036518,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
10,actuated,3,2,759.0036666200765,102.56806305676709,600759.00366662,75094.8754583275,114.6,8.552238805970148,23718.04139907897,1770.0030894835052,13.4,4.376120428050798,26.311828916423895,6.0,11,4.9520142007327825,0.44776119402985076,26.31182891642389,100.0,2.2,0.275,1.1910851944470393,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,10.494631331391133,0.2,9.528681555576314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
11,actuated,4,3,256.5723881566237,32.07154851957796,256.5723881566237,32.07154851957796,23.0,1.7424242424242424,28079.69086168198,2127.24930770318,13.2,4.852253718624635,2.7818724482277446,3.0,4,3.9258652846986783,0.22727272727272727,2.7818724482277446,11.22513829963907,0.8,0.1,2.2468612254713203,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.029841286182887,0.2,9.066313594672508,0.0,0.0,0.0,11.22513829963907,0.2,8.908576209098054,0.0,0.2,0.0,0.0,0.2,0.0
12,actuated,4,4,483.5234159233125,80.58723598721875,1061321.513105323,132665.18913816538,40.8,3.238095238095238,22539.321456522193,1788.8350362319202,12.6,3.060709039727095,0.5421755503294889,5.0,4,3.108327755802688,0.3968253968253968,0.5421755503294889,4.122270678719815,0.8,0.1,2.1760774679314085,0.0,8,0.0,0.0,0.0,0.21513372391609664,0.4,9.054272979497911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.122270678719815,0.4,8.354346763953359,0.0,0.0,0.0
13,actuated,4,4,1041.9065150534275,137.09296250702994,142255.20983683347,17781.901229604184,68.6,4.698630136986301,24101.50345165983,1650.7879076479337,14.6,2.5433075331069186,3.454640781223546,6.8,4,2.361500729236643,0.4657534246575342,3.454640781223546,13.909722841377175,0.8,0.1,3.019949096784273,0.0,8,0.0,0.0,0.0,12.384894614719997,0.2,8.074352112867038,1.342508793691195,0.4,8.896024805679918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.909722841377175,0.2,7.18921585572723
14,actuated,4,4,200.45551803065212,35.79562821975931,495067.7420884132,61883.46776105165,103.6,7.848484848484849,23369.538614180467,1770.4195919833687,13.2,2.7900299643076325,0.0,8.4,0,2.8595631669258923,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,actuated,5,4,211.4313551647518,42.28627103295036,3087065.9794067205,385883.24742584006,148.2,10.897058823529411,24019.24530701083,1766.1209784566788,13.6,3.076979141053344,3.230341566600785,9.4,4,3.2270395699892687,0.6911764705882353,3.230341566600785,10.786426959289201,0.8,0.1,3.3928145954850972,0.0,8,5.396751684164656,0.2,8.94127044500783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.786426959289201,0.2,9.270910596940597,9.659553889352424,0.4,8.930335721932352,0.0,0.0,0.0,0.0,0.0,0.0
16,actuated,6,5,753.9862264099464,150.7972452819893,2436957.0864030565,304619.63580038206,128.4,9.727272727272727,19611.35367151961,1485.7086114787583,13.2,1.4519944487287668,0.05863818050649172,8.4,3,2.512383856837687,0.6363636363636364,0.05863818050649172,0.4691054440519338,0.6000000000000001,0.07500000000000001,1.0384374062647113,0.0,8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4691054440519338,0.4,8.30749925011769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,actuated,0,6,547.0578061566217,70.13561617392587,200547.0578061567,25068.382225769587,15.4,1.4259259259259258,20828.41845354906,1928.5572642175057,10.8,2.7604089058066688,0.0,1.8,0,3.3459688755794335,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,actuated,0,0,236.9076533014748,31.172059644930897,200671.09015704968,25083.88626963121,28.2,3.2790697674418605,16640.396966853536,1934.92987986669,8.6,6.299232252814226,1.6688396612478584,3.4,1,5.240636785383211,0.3953488372093023,1.6688396612478584,13.350717289982867,0.2,0.025,0.9362792821160878,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,13.350717289982867,0.2,7.490234256928702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,actuated,0,0,386.6647764575208,50.876944270726426,400386.66477645736,50048.33309705717,34.4,3.3076923076923075,21745.139918484507,2090.878838315818,10.4,5.352768618569398,3.0154883118728293,2.8,2,4.394933634406581,0.2692307692307692,3.0154883118728293,13.421175343430605,0.4,0.05,2.099290221803651,0.0,8,0.0,0.0,0.0,10.70273115155203,0.2,9.343409507721658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.421175343430605,0.2,7.450912266707549
20,actuated,0,0,299.0926106399349,40.417920356747956,6930.69540347855,866.3369254348188,42.0,3.9622641509433962,19400.887740620612,1830.2724283604352,10.6,4.18203971130774,1.9836971261626957,2.8,3,3.820032963738261,0.2641509433962264,1.9836971261626957,12.364778385652926,0.6000000000000001,0.07500000000000001,2.0858412497372125,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5047986236486395,0.4,8.599241740442814,12.364778385652926,0.2,8.087488257454885,0.0,0.0,0.0
21,actuated,1,0,177.79163720856803,25.39880531550972,698063.1882619485,87257.89853274357,45.0,4.591836734693878,20676.660916454486,2109.8633588218863,9.8,5.325700224790306,0.34827842131178954,3.2,2,4.130718027192686,0.32653061224489793,0.34827842131178954,2.7862273704943163,0.4,0.05,1.1002462983364238,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7862273704943163,0.4,8.80197038669139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,actuated,2,1,287.2619360858612,41.03741944083731,1000287.2619360856,125035.9077420107,62.0,6.458333333333333,19000.912496946934,1979.2617184319724,9.6,6.679900070848457,3.917224630205567,4.4,6,5.227056268170938,0.4583333333333333,3.917224630205567,10.646203089439723,1.2,0.15000000000000002,4.435130321952531,0.0,8,10.646203089439723,0.2,9.39302013684042,0.0,0.0,0.0,9.939505456662232,0.4,9.147188338357957,0.0,0.0,0.0,9.952606675932998,0.4,8.885150354634971,0.0,0.0,0.0,0.0,0.0,0.0,0.7994818196095821,0.2,8.055683745786906
23,actuated,3,2,587.8893657488063,91.85771339825098,223378.41076786895,27922.30134598362,72.0,6.315789473684211,18786.982832606504,1647.9809502286407,11.4,2.87490855315029,0.0,5.4,1,3.915893875235624,0.47368421052631576,0.0,0.0,0.2,0.025,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
24,actuated,4,3,503.38717846315694,64.53681775168678,200503.38717846316,25062.923397307895,24.0,2.0,24471.09936995777,2039.258280829814,12.0,2.933587991455501,0.7999279150733685,3.2,2,2.0538209795902422,0.26666666666666666,0.7999279150733685,6.399423320586948,0.4,0.05,1.1945926679647527,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.399423320586948,0.4,9.556741343718022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
