step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed
0,mixed_20,0,0,265.0226000164017,37.86037143091453,265.0226000164017,37.86037143091453,47.8,2.366336633663366,38114.01079041462,1886.8322173472584,20.2,3.1377234829002836,7.49794420016067,5.6,7,1.5378201252617003,0.27722772277227725,7.49794420016067,20.184198650574103,1.4,0.19999999999999998,3.358788273016583,0.0,7,11.774331350092382,0.2,8.493051284752182,20.184198650574103,0.4,8.06147868695809,13.88589987464826,0.4,3.5433374338242016,6.641179525809946,0.4,3.4136505055816033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mixed_20,0,0,353.29365726250603,50.47052246607229,353.29365726250603,50.47052246607229,78.8,4.191489361702128,32412.64272453473,1724.076740666741,18.8,2.972105806067633,22.999914423100694,8.2,12,2.2713881263482403,0.43617021276595747,22.999914423100694,100.0,2.4,0.34285714285714286,4.192943398821579,0.0,7,0.0,0.0,0.0,100.0,1.0,0.0,11.183829585370404,0.2,8.941481022816214,12.463358299688139,0.2,8.02351963214459,3.7398298586211354,0.4,8.533153495192527,33.61238321802517,0.6,3.85244964159772,0.0,0.0,0.0
2,mixed_20,0,0,556.7663576053984,79.53805108648548,556.7663576053984,79.53805108648548,126.2,6.247524752475248,34904.15166998467,1727.9283004942904,20.2,1.9120184868016585,24.86036381605134,10.8,10,1.0737944203511425,0.5346534653465347,24.86036381605134,100.0,2.0,0.2857142857142857,1.3940297991261352,0.0,7,9.369825926737576,0.2,5.74605079817432,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6527207856218,0.8,4.012157795708626
3,mixed_20,0,0,824.0757198382965,121.18760585857302,3048.082471456565,435.4403530652236,184.6,8.168141592920353,39719.59074493933,1757.504015262802,22.6,1.7403766688774664,44.25725727899492,13.4,17,1.5618481438391418,0.5929203539823009,44.25725727899492,100.0,3.4,0.4857142857142857,1.259197446251554,0.0,7,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.800800952964437,0.4,8.814382123760879,100.0,1.0,0.0
4,mixed_20,10,0,523.7788589569509,74.82555127956441,523.7788589569509,74.82555127956441,257.2,10.540983606557377,42018.22284671698,1722.0583133900402,24.4,2.0540778985428783,48.23019003019328,15.8,21,1.6510571356793446,0.6475409836065574,48.23019003019328,100.0,4.2,0.6,1.7011558664180966,0.0,7,100.0,1.0,0.0,100.0,1.0,0.0,30.55752289887323,0.6,5.6266699667438544,7.053807312479705,0.6,6.281421098182823,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
5,mixed_20,10,10,579.6318148084416,82.80454497263452,579.6318148084416,82.80454497263452,336.0,13.023255813953488,43161.0204071095,1672.9077677174223,25.8,1.7972741274580686,55.31834415454926,16.6,23,1.4325600817472133,0.6434108527131783,55.31834415454926,100.0,4.6,0.6571428571428571,1.5307060212001617,0.0,7,100.0,1.0,0.0,100.0,1.0,0.0,13.76991526644872,0.2,7.262208812835356,0.0,0.0,0.0,60.0,0.8,0.10590816223210939,13.458493815396082,0.6,3.3468251733336665,100.0,1.0,0.0
6,mixed_20,10,10,883.9147891667432,147.31913152779052,67817.36930949232,9688.19561564176,397.0,13.689655172413794,45835.52944285709,1580.535498029555,29.0,1.0028876787531606,52.893107203826325,18.6,19,0.6964728860054095,0.6413793103448275,52.893107203826325,100.0,3.8,0.5428571428571428,0.3744114005394797,0.0,7,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.25175042678427,0.8,2.620879803776358,0.0,0.0,0.0,100.0,1.0,0.0
7,mixed_20,10,10,965.6375792175583,150.88087175274347,226966.12132171547,32423.731617387926,493.2,15.222222222222221,52994.1166743143,1635.6208850097007,32.4,1.0168491956911065,71.29797829181021,23.8,26,0.775860187062334,0.7345679012345679,71.29797829181021,100.0,5.2,0.7428571428571429,1.591648850011229,0.0,7,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,68.5894308688728,0.8,5.694050792255348,100.0,1.0,0.0,30.496417173798704,0.4,5.447491157823254,100.0,1.0,0.0
8,mixed_20,10,10,725.5468713754059,103.64955305362942,725.5468713754059,103.64955305362942,617.0,17.832369942196532,57208.51232563022,1653.4252117234169,34.6,1.1100679773796167,89.68497573451364,26.2,32,0.5150067064155383,0.7572254335260116,89.68497573451364,100.0,6.4,0.9142857142857144,0.8703111971035353,0.0,7,100.0,1.0,0.0,100.0,1.0,0.0,27.794830141595526,0.4,6.092178379724747,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
9,mixed_20,10,10,973.534050204903,139.0762928864147,973.534050204903,139.0762928864147,752.2,19.588541666666668,61305.36508817028,1596.4938825044344,38.4,1.0141375070067342,100.0,28.8,35,0.5014660195706135,0.75,100.0,100.0,7.0,1.0,0.0,0.0,7,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
