step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed
0,actuated,0,0,234.33363986034664,106.5152908456121,401750.3671930303,133916.78906434344,13.8,2.090909090909091,11834.88430621299,1793.16428882015,6.6,1.4752585394982782,7.395745187753373,2.8,3,1.6035482983552505,0.42424242424242425,7.395745187753373,22.187235563260117,0.6,0.19999999999999998,1.0962090713373847,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,22.187235563260117,0.6,3.2886272140121537
1,actuated,0,0,148.7223575004835,49.574119166827835,148.7223575004835,49.574119166827835,25.0,3.3783783783783785,13635.509327365227,1842.6363955898958,7.4,2.3717545447186916,11.050089255863233,3.2,2,1.1717719634746608,0.43243243243243246,11.050089255863233,33.150267767589696,0.4,0.13333333333333333,1.6771808250859703,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,33.150267767589696,0.4,5.031542475257911
2,actuated,0,0,134.10988957027752,44.70329652342584,134.10988957027752,44.70329652342584,43.0,6.142857142857143,13891.6045827861,1984.5149403980142,7.0,3.664235042722585,33.333333333333336,4.0,5,2.3666504876798675,0.5714285714285714,33.333333333333336,100.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
3,actuated,0,0,98.011965007265,35.004273216880364,597.2847385933196,199.09491286443986,63.2,8.777777777777779,12537.485707940312,1741.3174594361544,7.2,5.03598428236377,39.229220434612834,4.4,8,4.510771680113103,0.6111111111111112,39.22922043461284,100.0,1.6,0.5333333333333333,6.008092444886759,0.0,3,11.376153975749048,0.2,8.790317027457043,6.311507328089476,0.4,9.233960307203233,100.0,1.0,0.0
4,actuated,0,0,191.26542142910645,106.2585674606147,630463.9648685532,210154.65495618441,89.0,11.41025641025641,12240.016223172981,1569.232849124741,7.8,2.2063698551382553,33.333333333333336,6.2,5,4.59948182027848,0.7948717948717948,33.333333333333336,100.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
5,actuated,0,0,369.0704943657324,123.02349812191079,369.0704943657324,123.02349812191079,119.0,12.659574468085106,16810.936297977096,1788.3974785082016,9.4,1.5726734304817758,33.333333333333336,6.2,5,1.1616534932644829,0.6595744680851063,33.333333333333336,100.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
6,actuated,1,0,159.81932677229668,53.27310892409889,159.81932677229668,53.27310892409889,75.8,8.23913043478261,16643.954995192787,1809.125542955738,9.2,2.9197242145562243,20.0,3.4,4,2.2371754307582137,0.3695652173913043,20.0,60.0,0.8,0.26666666666666666,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.8,0.0
7,actuated,1,1,81.2092458492504,27.0697486164168,81.2092458492504,27.0697486164168,65.0,8.125,16884.758536609956,2110.5948170762445,8.0,4.991800041748155,13.615087271517913,2.2,6,3.5308021717536464,0.275,13.615087271517913,29.835690263122387,1.2000000000000002,0.4000000000000001,6.040938434508354,2.1644155253391166,3,9.109329295694124,0.4,8.81777534671128,1.9002422557372256,0.2,7.140624431474666,29.835690263122387,0.6,2.1644155253391166
8,actuated,1,1,45.83571979215942,20.834418087345192,10932.396219955106,3644.132073318369,76.2,12.290322580645162,10303.940183315484,1661.9258360186266,6.2,6.19764755372091,46.80532495420778,2.6,9,5.71744521410111,0.41935483870967744,46.80532495420778,100.0,1.8,0.6,1.4782911446202303,0.0,3,0.0,0.0,0.0,100.0,1.0,0.0,40.41597486262333,0.8,4.434873433860691
9,actuated,1,1,32.36367672391066,16.18183836195533,508803.6867193101,169601.2289064367,91.6,18.32,8168.72162352798,1633.744324705596,5.0,5.926888388151842,33.333333333333336,3.4,5,5.883421477239513,0.68,33.333333333333336,100.0,1.0,0.3333333333333333,0.0,0.0,3,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
