step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed
0,random,1,0,429.43670048810156,126.30491190826517,217847.6192440206,54461.90481100515,69.2,2.5255474452554743,43195.82558162594,1576.4899847308739,27.4,0.950448662584979,67.74481535001208,11.8,14,0.7227451367061685,0.4306569343065693,67.74481535001208,100.0,2.8,0.7,0.8738717441983811,0.0,4,100.0,1.0,0.0,100.0,1.0,0.0,70.9792614000483,0.8,3.4954869767935244,0.0,0.0,0.0
1,random,3,1,471.3342469643765,117.83356174109413,471.3342469643765,117.83356174109413,33.4,1.218978102189781,43216.09751098183,1577.2298361672201,27.4,1.3753815765682882,60.0,10.0,13,0.9495845732145396,0.36496350364963503,60.0,100.0,2.6,0.65,0.0,0.0,4,40.0,0.6,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
2,random,1,3,386.3399659520176,96.5849914880044,386.3399659520176,96.5849914880044,12.4,0.4492753623188406,43381.0373535143,1571.77671570704,27.6,2.254087420353094,27.52464390515585,5.0,9,2.3140754497948,0.18115942028985507,27.52464390515584,83.76779243260188,1.7999999999999998,0.44999999999999996,0.7272648365574005,0.0,4,83.76779243260188,1.0,1.5519357285013173,20.0,0.4,0.0,6.330783188021485,0.4,1.3571236177282846,0.0,0.0,0.0
3,random,1,1,390.1491522863306,97.53728807158265,390.1491522863306,97.53728807158265,11.4,0.3904109589041096,44019.684367291346,1507.5234372360048,29.2,2.2907612653617755,75.6357674995931,5.6,17,2.8770454519535886,0.1917808219178082,75.6357674995931,100.0,3.4,0.85,2.686951519072654,0.0,4,100.0,1.0,0.0,93.89209560162328,1.0,1.3879037134857546,100.0,1.0,0.0,8.65097439674912,0.4,9.359902362804862
4,random,0,1,400.96091474459723,100.24022868614931,400.96091474459723,100.24022868614931,11.2,0.3835616438356164,47849.67503395984,1638.6875011630082,29.2,0.9988893998120416,36.52565695865327,5.8,11,0.29204600872845055,0.19863013698630136,36.52565695865327,80.0,2.2,0.55,0.3606064136617254,0.0,4,6.102627834613088,0.4,1.4424256546469016,60.0,0.8,0.0,80.0,1.0,0.0,0.0,0.0,0.0
5,random,0,0,306.97766085060454,76.74441521265113,306.97766085060454,76.74441521265113,16.2,0.5547945205479452,49108.56514862795,1681.8001763228751,29.2,1.5991299044877452,39.972494502022826,4.8,12,0.7783773422101696,0.1643835616438356,39.972494502022826,100.0,2.4,0.6,1.1023624261027842,0.0,4,100.0,1.0,0.0,38.625713675513964,0.8,2.7293009695725026,21.26426433257734,0.6,1.6801487348386344,0.0,0.0,0.0
6,random,0,0,331.3113784346103,82.82784460865257,331.3113784346103,82.82784460865257,42.6,1.5214285714285714,47867.90012953403,1709.5678617690726,28.0,2.4046141353088215,43.10210127626647,7.6,13,1.386184063179774,0.2714285714285714,43.10210127626647,100.0,2.6,0.65,4.3114820656277875,0.0,4,100.0,1.0,0.0,45.09300238593255,0.8,4.183094308231832,18.073692104380825,0.4,3.809633200314831,9.241710614752492,0.4,9.253200753964485
7,random,3,0,573.3213683346871,191.10712277822904,25502.8051866408,6375.7012966602,88.8,3.0833333333333335,44404.19712046602,1541.8124000161813,28.8,1.204238970146365,64.98090854364321,13.2,15,1.3417945229148094,0.4583333333333333,64.98090854364321,100.0,3.0,0.75,1.2039184931379272,0.0,4,100.0,1.0,0.0,100.0,1.0,0.0,59.92363417457284,1.0,4.815673972551709,0.0,0.0,0.0
8,random,0,3,169.99436092877937,84.99718046438969,1078454.764997931,269613.69124948274,145.4,5.048611111111111,44081.59794140733,1530.611039632199,28.8,0.5981358629202502,50.88039593673784,15.4,13,0.6478968918262153,0.5347222222222222,50.88039593673784,100.0,2.6,0.65,0.6300033927856664,0.0,4,100.0,1.0,0.0,43.521583746951364,0.8,2.5200135711426657,60.0,0.8,0.0,0.0,0.0,0.0
9,random,0,0,449.46510974605496,160.52325348073393,1792840.6580724367,448210.1645181092,226.4,7.398692810457517,48312.27530896256,1578.832526436685,30.6,0.7868713560250943,61.31033573052107,18.2,14,0.8789107844144687,0.5947712418300654,61.310335730521075,100.0,2.8,0.7,0.3379297598831014,0.0,4,100.0,1.0,0.0,100.0,1.0,0.0,45.2413429220843,0.8,1.3517190395324057,0.0,0.0,0.0
10,random,1,0,307.56104909603863,102.52034969867954,2518268.7285415498,629567.1821353874,272.4,8.901960784313726,48077.29265141387,1571.1533546213682,30.6,1.0934899292320557,69.62722106717393,19.8,14,0.9633695161979237,0.6470588235294118,69.62722106717393,100.0,2.8,0.7,0.8622786983715001,0.0,4,100.0,1.0,0.0,100.0,1.0,0.0,78.50888426869574,0.8,3.4491147934860003,0.0,0.0,0.0
11,random,0,1,653.6207092074044,163.4051773018511,653.6207092074044,163.4051773018511,159.8,5.4353741496598635,47495.230427229384,1615.4840281370539,29.4,1.6428591565458313,42.00805281821573,12.4,12,1.5579482817993608,0.4217687074829932,42.00805281821573,80.0,2.4,0.6,0.46735232461137144,0.0,4,28.032211272862924,0.6,1.8694092984454858,60.0,0.8,0.0,80.0,1.0,0.0,0.0,0.0,0.0
12,random,1,0,490.310991766078,122.5777479415195,490.310991766078,122.5777479415195,81.8,2.8402777777777777,43147.493839959716,1498.1768694430457,28.8,1.3228079302507725,41.568760495075026,9.0,11,1.1488776712515651,0.3125,41.568760495075026,100.0,2.2,0.55,2.701553011227846,0.0,4,100.0,1.0,0.0,65.59342772223772,0.8,1.9933403746540836,0.0,0.0,0.0,0.6816142580623819,0.4,8.8128716702573
13,random,0,1,519.8276786607108,129.9569196651777,519.8276786607108,129.9569196651777,30.0,1.056338028169014,44068.08712598037,1551.6932086612806,28.4,1.2867020666205002,60.95515607476301,8.2,14,1.0514003956293798,0.2887323943661972,60.95515607476301,100.0,2.8,0.7,0.20647706256864545,0.0,4,100.0,1.0,0.0,100.0,1.0,0.0,43.82062429905204,0.8,0.8259082502745818,0.0,0.0,0.0
14,random,1,0,1096.2582490685124,274.0645622671281,1096.2582490685124,274.0645622671281,70.2,2.404109589041096,44660.23736981839,1529.46018389789,29.2,1.4214159142706453,61.51100308052421,14.8,14,1.503860900271382,0.5068493150684932,61.511003080524205,100.0,2.8,0.7,0.9363639986095178,0.0,4,100.0,1.0,0.0,100.0,1.0,0.0,46.04401232209682,0.8,3.745455994438071,0.0,0.0,0.0
15,random,2,1,928.0155581262603,232.00388953156508,928.0155581262603,232.00388953156508,76.4,2.6713286713286712,46539.46100220444,1627.2538811959596,28.6,2.318898164909762,58.90703137226126,16.4,13,3.0187071851313068,0.5734265734265734,58.90703137226126,100.0,2.6,0.65,0.47929860873533037,0.0,4,35.62812548904503,0.6,1.9171944349413215,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
16,random,3,2,823.0940697576758,216.60370256780942,2229.0438308652056,557.2609577163014,65.0,2.3550724637681157,45225.65998926001,1638.6108691760876,27.6,1.921306149949294,66.73828459828556,12.0,15,2.483227755487536,0.43478260869565216,66.73828459828556,100.0,3.0,0.75,3.3459230031195846,0.0,4,56.357003848302725,0.8,3.946288252000271,100.0,1.0,0.0,100.0,1.0,0.0,10.596134544839515,0.2,9.437403760478068
17,random,2,3,389.365489455214,102.46460248821421,200389.3654894552,50097.3413723638,8.0,0.3053435114503817,42498.57742093957,1622.0831076694492,26.2,2.4441682731431777,28.07728796032322,3.8,10,3.885220213279863,0.1450381679389313,28.07728796032322,60.0,2.0,0.5,0.9329155357328938,0.0,4,60.0,0.8,0.0,26.796701961185363,0.6,1.930544719932373,25.51244988010751,0.6,1.801117422999202,0.0,0.0,0.0
18,random,3,2,389.12941309050115,97.28235327262529,389.12941309050115,97.28235327262529,7.8,0.2805755395683453,42725.49597847197,1536.8883445493514,27.8,1.2625426074675816,50.0,4.6,10,0.7971558590096023,0.16546762589928057,50.0,100.0,2.0,0.5,0.0,0.0,4,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
19,random,0,3,348.1713885163597,87.04284712908992,348.1713885163597,87.04284712908992,5.0,0.18248175182481752,41376.87417941268,1510.104897058857,27.4,2.1656556075014204,47.45792055289314,3.2,12,1.8517554400967688,0.11678832116788321,47.45792055289314,98.12528715674034,2.4,0.6,0.853298796662393,0.0,4,98.12528715674034,1.0,1.552862133243294,60.0,0.8,0.0,31.706395054832228,0.6,1.8603330534062783,0.0,0.0,0.0
20,random,0,0,430.39810232792206,107.59952558198052,430.39810232792206,107.59952558198052,32.0,1.1594202898550725,42329.08744272815,1533.6625885046433,27.6,2.5443361991427205,61.48642756756969,8.8,14,3.0243384320045505,0.3188405797101449,61.486427567569706,100.0,2.8000000000000003,0.7000000000000001,2.6549621883534216,0.0,4,100.0,1.0,0.0,34.45895644163613,0.6,1.9141690207597226,100.0,1.0,0.0,11.48675382864269,0.2,8.705679732653964
21,random,1,0,819.320973052179,215.6107823821524,2571.1838660435815,642.7959665108954,62.2,2.174825174825175,42692.65763351011,1492.7502669059481,28.6,1.76556178375353,67.61552130763306,11.4,14,3.173812129475133,0.3986013986013986,67.61552130763306,100.0,2.8,0.7,0.3709643295870171,0.0,4,100.0,1.0,0.0,70.46208523053224,0.8,1.4838573183480683,100.0,1.0,0.0,0.0,0.0,0.0
22,random,3,1,566.8313812373801,149.1661529572053,200566.83138123737,50141.70784530934,40.0,1.408450704225352,43023.87153975408,1514.9250542166928,28.4,2.7011420085523548,56.23000902810958,9.0,13,4.714018510944932,0.31690140845070425,56.23000902810958,100.0,2.6,0.65,0.45692367683736684,0.0,4,24.92003611243831,0.6,1.8276947073494674,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
23,random,2,3,528.8144368121036,132.2036092030259,528.8144368121036,132.2036092030259,27.6,0.9452054794520548,43373.70876280776,1485.400985027663,29.2,1.231826840022586,60.0,6.4,13,0.9830552748349219,0.2191780821917808,60.0,100.0,2.6,0.65,0.0,0.0,4,100.0,1.0,0.0,100.0,1.0,0.0,40.0,0.6,0.0,0.0,0.0,0.0
24,random,1,2,737.2302835702446,184.30757089256116,737.2302835702446,184.30757089256116,32.6,1.0939597315436242,44798.43722579552,1503.3032626105878,29.8,1.9472941583319596,34.96935592678199,7.4,8,2.0598245020604504,0.2483221476510067,34.96935592678199,100.0,1.6,0.4,0.42987635527469786,0.0,4,0.0,0.2,0.0,100.0,1.0,0.0,39.877423707127946,0.4,1.7195054210987915,0.0,0.0,0.0
25,random,0,1,402.7383096719072,125.85572177247099,1697.078737536263,424.2696843840657,61.4,2.074324324324324,44830.36112165645,1514.5392270829884,29.6,2.573449335203864,52.23661003993855,10.4,13,3.312585439105197,0.35135135135135137,52.23661003993854,100.0,2.6,0.65,2.559737422314307,0.0,4,17.88037628559664,0.2,1.2554880206354757,100.0,1.0,0.0,80.0,1.0,0.0,11.066063874157521,0.4,8.983461668621752
26,random,3,0,753.0624239444714,235.33200748264733,6568.223955387517,1642.0559888468792,59.0,1.9798657718120805,43863.0303388424,1471.913769759812,29.8,0.7241463560203033,41.223996948270525,12.0,10,1.0223587713299984,0.40268456375838924,41.223996948270525,100.0,2.0,0.5,0.4781183348935817,0.0,4,100.0,1.0,0.0,0.0,0.2,0.0,64.8959877930821,0.8,1.9124733395743267,0.0,0.0,0.0
27,random,2,3,620.9740734036388,163.41422984306286,200620.97407340366,50155.243518350915,47.6,1.5657894736842106,47807.59806901832,1572.6183575334974,30.4,0.5991560510628431,65.0820530009922,11.6,15,0.27687018973949873,0.3815789473684211,65.0820530009922,100.0,3.0,0.75,0.26357860130802047,0.0,4,80.0,1.0,0.0,80.32821200396882,1.0,1.0543144052320819,100.0,1.0,0.0,0.0,0.0,0.0
28,random,1,2,533.0656830245581,133.26642075613952,533.0656830245581,133.26642075613952,37.4,1.206451612903226,45948.835120221964,1482.2204877490958,31.0,1.298300548186647,62.8790322261338,11.4,13,1.1685118826759946,0.36774193548387096,62.8790322261338,100.0,2.6,0.65,0.2857602171893118,0.0,4,51.51612890453521,0.6,1.1430408687572473,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
