step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed
0,actuated,0,0,204.33677293936165,42.57016102903368,1045194.0754098671,174199.01256831118,5.8,0.725,12869.110583790436,1608.6388229738045,8.0,2.857636271334582,1.8667691917444529,2.0,1,2.599026871282771,0.25,1.8667691917444529,11.200615150466717,0.2,0.03333333333333333,1.4880135102197656,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,11.200615150466717,0.2,8.928081061318593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,113.55680099194811,28.389200247987027,1409685.5459828572,234947.59099714286,22.0,2.75,15662.702213358429,1957.8377766698036,8.0,2.6342301239967654,0.0,4.0,0,2.2953102131379945,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,actuated,0,0,349.45493438858085,75.96846399751759,1202175.893771932,200362.64896198866,42.2,4.48936170212766,16693.04948969931,1775.8563286914164,9.4,3.0807786265668233,1.4593008419983278,4.6,4,2.9474432283684378,0.48936170212765956,1.4593008419983278,6.675084855043849,0.8,0.13333333333333333,2.868843619183948,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0807201969461175,0.4,8.678647436760368,6.675084855043849,0.4,8.53441427834332,0.0,0.0,0.0
3,actuated,0,0,570.6580098882073,129.69500224731982,1040378.914606501,173396.48576775016,68.6,6.017543859649122,18214.436878457414,1597.7576209173171,11.4,1.8678404757485734,3.465346791661356,6.8,3,2.4618014272027873,0.5964912280701754,3.465346791661356,11.459840525136826,0.6000000000000001,0.10000000000000002,2.9124525582727947,0.0,6,9.33224022483131,0.4,8.748590428382157,11.459840525136826,0.2,8.726124921254613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,actuated,0,0,618.9956552928928,106.72338884360221,955.5750478707296,159.26250797845492,105.0,7.5,25742.532343871262,1838.7523102765188,14.0,1.6000579818116423,0.0,8.0,0,1.235016882423655,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,actuated,0,0,436.6037711387918,77.9649591319271,6611.4012520997585,1101.9002086832932,145.2,9.68,26576.0921840591,1771.7394789372734,15.0,2.0676691437313526,2.7872085782093827,8.4,3,1.0830131321884986,0.56,2.7872085782093827,12.696464051159637,0.6000000000000001,0.10000000000000002,2.7970557837584633,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02678741809666,0.4,8.906126051303,12.696464051159637,0.2,7.876208651247782
6,actuated,0,0,708.9811218125257,147.70440037760952,684851.054791693,114141.84246528217,190.8,11.493975903614459,28851.181137637857,1738.022960098666,16.6,1.8970464311415143,10.96921851847109,10.4,7,1.7693809942988086,0.6265060240963856,10.96921851847109,62.782032844693845,1.4000000000000001,0.23333333333333336,4.017738366645924,0.0,6,0.0,0.0,0.0,2.413216005190293,0.4,8.439216346107424,0.6200622609424045,0.2,8.905507073551416,62.782032844693845,0.8,6.761706780216703,0.0,0.0,0.0,0.0,0.0,0.0
7,actuated,0,0,714.9884811657325,148.9559335761943,450634.2930608195,75105.71551013658,247.6,13.604395604395604,28659.045368281273,1574.672822433037,18.2,1.1269787767985011,29.295845817437492,12.8,10,1.0098362344738911,0.7032967032967034,29.295845817437492,80.0,2.2,0.3666666666666667,0.743057100282389,0.0,6,0.0,0.0,0.0,75.77507490462494,0.8,4.458242212241057,20.0,0.4,0.00010038945327732079,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,actuated,0,0,371.3036276362004,84.38718809913645,900603.6761558931,150100.61269264887,316.2,16.642105263157895,31856.867712398096,1676.6772480209524,19.0,1.1413438322308997,47.02707662542527,14.2,16,0.9045856808746034,0.7473684210526316,47.02707662542527,100.0,3.2,0.5333333333333333,1.2246924736446447,0.0,6,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,82.16245975255163,1.2,7.348154841867868,0.0,0.0,0.0,0.0,0.0,0.0
9,actuated,0,0,575.4176479744003,143.85441199360008,829168.7495577212,138194.79159295352,391.4,19.186274509803923,32482.676426605758,1592.2880601277332,20.4,0.9908401039525325,72.9411381096197,16.2,23,0.9712766331824503,0.7941176470588235,72.9411381096197,100.0,4.6,0.7666666666666666,2.0624895268445953,0.0,6,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,77.2473662968207,0.8,4.488839208187965,60.39946236089747,0.8,7.886097952879607
