combo,n_metrics,avg_monotonicity,mono_pass_pct,mono_ok,avg_iqr,iqr_pass_pct,iqr_ok,avg_eta2,eta2_within,avg_antistary_r,antistary_ok,avg_state_r,state_corr_ok,passed,is_current
reward_halt + triplet_TP+Std+Halt,2,0.5904761904761904,9.523809523809524,False,0.26461736633423505,95.23809523809523,True,0.015896819130723095,0.984103180869277,0.04815551023687599,False,0.243711781204958,True,False,False
TotalTravelTime + triplet_Speed+TP+Halt,2,0.7,9.523809523809524,False,0.22076801681538985,100.0,True,0.01631789241177402,0.9836821075882259,0.04953607454171052,False,0.24133514186038768,True,False,False
TotalTravelTime + reward_plain,2,0.6476190476190475,9.523809523809524,False,0.19552278033019813,95.23809523809523,True,0.01653291475047785,0.9834670852495222,-0.04235465163475632,False,0.2184994672494637,True,False,False
TotalWaitingTime + reward_halt,2,-0.6714285714285713,76.19047619047619,True,0.15249705071454805,100.0,True,0.01786414885470393,0.9821358511452961,-0.1258450372479316,False,0.15442618518925122,False,False,False
AvgOccupancy + reward_plain,2,-0.5523809523809524,66.66666666666666,True,0.11455323399595978,80.95238095238095,True,0.018587487015154818,0.9814125129848452,-0.2884861698388613,False,0.2599067448277848,True,False,False
AvgOccupancy + triplet_Speed+TP+Halt,2,-0.4666666666666666,66.66666666666666,False,0.11898857778102012,80.95238095238095,True,0.019739121195961426,0.9802608788040386,-0.19771700004704204,False,0.21274206820466254,True,False,False
triplet_TP+Std+Halt,1,0.6428571428571428,4.761904761904762,False,0.3035153632346936,95.23809523809523,True,0.019977398155063397,0.9800226018449366,-0.013967861997621778,False,0.18107216251421646,False,False,False
TotalWaitingTime,1,-0.9523809523809522,100.0,True,0.28110174399828575,100.0,True,0.021631547928251962,0.978368452071748,-0.2652701077204235,False,0.2732873878148274,True,False,False
QueueLength + triplet_TP+Std+Halt,2,-0.8523809523809521,95.23809523809523,True,0.15085665633213752,80.95238095238095,True,0.02163584253412322,0.9783641574658768,-0.22074644444861308,False,0.23778468780979412,True,False,False
AvgOccupancy + reward_halt,2,-0.5047619047619046,66.66666666666666,True,0.11142294415099711,71.42857142857143,True,0.021764081430003007,0.978235918569997,-0.15640320477600975,False,0.1930213251707178,False,False,False
AvgOccupancy + SpeedStd,2,0.638095238095238,4.761904761904762,False,0.1326602742694194,66.66666666666666,True,0.022490994644714463,0.9775090053552855,-0.2579202699616255,False,0.12896750960966955,False,False,False
TotalTravelTime + triplet_TP+CO2+Halt,2,0.876190476190476,4.761904761904762,False,0.3075129173374625,100.0,True,0.02291247403913819,0.9770875259608618,0.10886713051787228,False,0.1930980986755761,False,False,False
AvgSpeed + triplet_TP+Std+Halt,2,-0.7666666666666666,85.71428571428571,True,0.11246023653444355,47.61904761904761,True,0.0230391259812875,0.9769608740187125,-0.14263522275400053,False,0.27901036681049807,True,False,False
TotalTravelTime + triplet_TP+Std+Halt,2,0.8523809523809521,0.0,False,0.19585502039562214,100.0,True,0.023143757393472367,0.9768562426065276,0.0060457814976490505,False,0.19030892627956314,False,False,False
reward_plain + triplet_Speed+Std+Halt,2,0.8904761904761901,0.0,False,0.2683369142669105,100.0,True,0.02420117653316903,0.975798823466831,0.026763010179820704,False,0.29789807331346413,True,False,False
triplet_Speed+TP+Halt + triplet_Speed+Std+Halt,2,0.8857142857142855,0.0,False,0.27250305079978565,100.0,True,0.02589447008773689,0.9741055299122631,0.09682459245078101,False,0.3381324423665077,True,False,False
reward_halt + triplet_Speed+Std+Halt,2,0.8857142857142855,0.0,False,0.2616570875744036,100.0,True,0.02595107562251691,0.9740489243774831,0.13487060793610856,False,0.3684066066720065,True,False,False
reward_halt + triplet_TP+CO2+Halt,2,0.838095238095238,0.0,False,0.2134040542763574,100.0,True,0.02822477958524548,0.9717752204147545,0.14364000377967065,False,0.2648025035443309,True,False,False
QueueLength + Throughput,2,-0.9238095238095235,100.0,True,0.08601487829644541,14.285714285714285,False,0.02854112591046363,0.9714588740895364,-0.060488255591845924,False,0.20742869485473245,True,False,False
QueueLength + triplet_TP+CO2+Halt,2,-0.36190476190476184,47.61904761904761,False,0.08336498865609669,38.095238095238095,False,0.029123679404871504,0.9708763205951285,-0.17265433400579663,False,0.40129971220566385,True,False,False
SpeedStd + reward_plain,2,0.8904761904761903,0.0,False,0.2669345981392558,100.0,True,0.03103982721823051,0.9689601727817695,-0.019618799077169718,False,0.25318843707195426,True,False,False
triplet_Speed+TP+Halt + triplet_TP+CO2+Halt,2,0.8142857142857142,4.761904761904762,False,0.2096430215330012,100.0,True,0.03147701877185967,0.9685229812281403,0.11109027497403651,False,0.250183875266823,True,False,False
reward_plain + triplet_TP+CO2+Halt,2,0.8095238095238093,4.761904761904762,False,0.1908663696866288,100.0,True,0.032099030963078166,0.9679009690369218,0.046059244937323655,False,0.22116632854275772,True,False,False
TotalWaitingTime + triplet_Speed+CO2+Halt,2,0.9476190476190473,0.0,False,0.15803484395002448,76.19047619047619,True,0.03222004630172633,0.9677799536982736,-0.03444595540973395,False,0.23182910292418282,True,False,False
SpeedStd + HaltRatio,2,0.9380952380952379,0.0,False,0.19717136190160106,100.0,True,0.03417311310180047,0.9658268868981995,-0.14432797886328372,False,0.1304390136863184,False,False,False
HaltRatio + triplet_Speed+Std+Halt,2,0.9571428571428569,0.0,False,0.179223006303948,80.95238095238095,True,0.03438920378917713,0.9656107962108229,-0.08224083206545084,False,0.18203753884834772,False,False,False
SpeedStd + triplet_Speed+TP+Halt,2,0.8904761904761901,0.0,False,0.2649159247753194,100.0,True,0.035137994126679166,0.9648620058733208,0.055542795852953256,False,0.2910682454364051,True,False,False
Throughput + HaltRatio,2,0.9666666666666666,0.0,False,0.11119632737527727,66.66666666666666,True,0.035900188025869674,0.9640998119741303,0.015595241297395014,False,0.1833370294149762,False,False,False
AvgSpeed + HaltRatio,2,-0.9047619047619045,100.0,True,0.1755491544275909,85.71428571428571,True,0.036262081586894424,0.9637379184131056,-0.26844685665673307,False,0.44993676846201425,True,False,False
triplet_Speed+Std+Halt + triplet_TP+Std+Halt,2,0.9047619047619044,0.0,False,0.2875150591267687,100.0,True,0.03655873932943925,0.9634412606705608,0.06253507660707736,False,0.2835537106492324,True,False,False
Throughput + reward_halt,2,0.8809523809523808,0.0,False,0.15765160104635345,90.47619047619048,True,0.03704319159681457,0.9629568084031854,0.30105192795489655,False,0.47123831280506595,True,False,False
SpeedStd + reward_halt,2,0.9095238095238093,0.0,False,0.25438984554296185,100.0,True,0.037231189280318266,0.9627688107196817,0.09739551440279744,False,0.3224621574735285,True,False,False
TotalTravelTime + Throughput,2,0.9619047619047615,0.0,False,0.19027381588390396,95.23809523809523,True,0.03731037037166891,0.962689629628331,0.2642336606527238,False,0.3154686010286388,True,False,False
Throughput + reward_plain,2,0.857142857142857,0.0,False,0.1599067782012552,90.47619047619048,True,0.03945393716487748,0.9605460628351226,0.14816895701249078,False,0.37336356322184133,True,False,False
Throughput + triplet_Speed+TP+Halt,2,0.8476190476190473,0.0,False,0.16704276482863192,90.47619047619048,True,0.039674793665376004,0.960325206334624,0.25036428101153474,False,0.43522553389455576,True,False,False
TotalCO2 + triplet_Speed+CO2+Halt,2,-0.8238095238095237,90.47619047619048,True,0.09432514201486145,52.38095238095239,False,0.04078250383693539,0.9592174961630646,-0.09609601896827097,False,0.2115492735217592,True,False,False
triplet_TP+CO2+Halt,1,0.895238095238095,0.0,False,0.2671778636219074,100.0,True,0.04140267399250767,0.9585973260074924,0.14841657842776065,False,0.1919083239623886,False,False,False
reward_halt + triplet_Speed+CO2+Halt,2,0.9285714285714283,0.0,False,0.26971100129727477,100.0,True,0.043566622718757234,0.9564333772812428,0.17400239494002379,False,0.40534265164476335,True,False,False
QueueLength + reward_plain,2,-0.8666666666666665,95.23809523809523,True,0.13569921420203568,80.95238095238095,True,0.0440199868507959,0.9559800131492041,-0.2732533683708625,False,0.2684517131437789,True,False,False
SpeedStd + triplet_TP+Std+Halt,2,0.9285714285714283,0.0,False,0.29444945567448827,100.0,True,0.04418428391536958,0.9558157160846305,0.01765021580001648,False,0.23030820701087587,True,False,False
triplet_Speed+TP+Halt + triplet_Speed+CO2+Halt,2,0.9285714285714284,0.0,False,0.2771705701181284,100.0,True,0.04431424441557067,0.9556857555844294,0.1387888077839981,False,0.37920505350896233,True,False,False
TotalCO2 + SpeedStd,2,-0.9238095238095235,100.0,True,0.14167813083554331,90.47619047619048,True,0.044327762862381895,0.9556722371376181,-0.20983661325476022,False,0.1728491222040913,False,False,False
reward_plain + triplet_Speed+CO2+Halt,2,0.9380952380952379,0.0,False,0.26756418417543887,100.0,True,0.04435956792184243,0.9556404320781575,0.07074159349671999,False,0.33640882434376873,True,False,False
triplet_TP+Std+Halt + triplet_TP+CO2+Halt,2,0.9523809523809522,0.0,False,0.18854592844843793,100.0,True,0.046064326923330005,0.95393567307667,0.08349868482177854,False,0.20587302744573743,True,False,False
HaltRatio + triplet_TP+CO2+Halt,2,0.9761904761904758,0.0,False,0.07737566791976001,23.809523809523807,False,0.04889877631942263,0.9511012236805774,-0.08934460586272432,False,0.20194213954603132,True,False,False
TotalTravelTime + triplet_Speed+Std+Halt,2,0.952380952380952,0.0,False,0.21565125484097833,95.23809523809523,True,0.04954392551237297,0.950456074487627,0.12839154538182077,False,0.3227245017527845,True,False,False
QueueLength + TotalTravelTime,2,-0.8999999999999996,100.0,True,0.14401481532910193,85.71428571428571,True,0.051099931377536004,0.948900068622464,-0.23955286658876027,False,0.34257107541277493,True,False,False
QueueLength + triplet_Speed+TP+Halt,2,-0.8523809523809524,95.23809523809523,True,0.11758453166960042,76.19047619047619,True,0.05514867778425552,0.9448513222157445,-0.2056010493282925,False,0.23718484715936994,True,False,False
triplet_Speed+Std+Halt,1,0.9380952380952378,0.0,False,0.29354193760588304,100.0,True,0.05546092719459676,0.9445390728054033,0.13803988481747376,False,0.39545143085198525,True,False,False
TotalCO2 + triplet_Speed+Std+Halt,2,-0.9476190476190474,100.0,True,0.1282431403317948,80.95238095238095,True,0.05565420848754891,0.9443457915124511,-0.1433605067518491,False,0.16650212051984342,False,False,False
AvgSpeed + reward_halt,2,-0.8333333333333334,90.47619047619048,True,0.11107479580859903,42.857142857142854,True,0.05656802459243406,0.943431975407566,-0.006263586304940999,False,0.2121024558358508,True,False,False
AvgSpeed + triplet_Speed+TP+Halt,2,-0.819047619047619,90.47619047619048,True,0.10671011624726047,33.33333333333333,True,0.0602615656491719,0.9397384343508282,-0.07579832939314246,False,0.2540371481741716,True,False,False
AvgSpeed,1,-0.9571428571428569,100.0,True,0.2839435353042942,100.0,True,0.06217188848347537,0.9378281115165247,-0.13219462106643085,False,0.3754888716035996,True,False,False
AvgSpeed + triplet_Speed+CO2+Halt,2,0.8714285714285713,0.0,False,0.07214108424248822,19.047619047619047,False,0.063290649524637,0.936709350475363,0.18859467922093934,False,0.2479274359467109,True,False,False
Throughput + triplet_TP+Std+Halt,2,0.9476190476190473,0.0,False,0.17504536263232526,95.23809523809523,True,0.06336018735916807,0.936639812640832,0.1979474796853174,False,0.35994414961228655,True,False,False
AvgOccupancy + triplet_Speed+CO2+Halt,2,0.9476190476190474,0.0,False,0.11362349601072845,66.66666666666666,True,0.06432581532573922,0.9356741846742608,-0.0823940104292293,False,0.24360483891222912,True,False,False
