step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed
0,actuated,0,0,381.84256847635163,70.71158675487993,20514.747062902276,3419.1245104837126,36.4,1.8571428571428572,32156.93511270047,1640.659954729616,19.6,2.087374088982952,11.156758359739362,6.8,6,1.4965963601710197,0.3469387755102041,11.156758359739362,60.0,1.2,0.19999999999999998,1.3461857859993873,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,60.0,0.8,0.0,6.940550158436167,0.2,8.077114715996323
1,actuated,0,0,376.0170840668256,64.83053173565959,155130.50065922347,25855.083443203912,33.2,1.5961538461538463,36817.28603128565,1770.0618284271948,20.8,2.0102501478643564,13.548586630980282,7.2,9,1.1932256218554274,0.34615384615384615,13.548586630980282,44.33797029393361,1.8,0.3,2.9363233726414504,0.0,6,2.969765493776606,0.4,8.625391043536366,0.0,0.0,0.0,44.33797029393361,0.6,7.212954243841376,0.0,0.0,0.0,33.983783998171475,0.6,1.779594948470963,0.0,0.2,0.0
2,actuated,0,0,285.51341530594345,47.585569217657245,285.51341530594345,47.585569217657245,69.0,3.3173076923076925,40384.56670980758,1941.5657072022875,20.8,2.5576378367917494,21.599358697766935,8.8,11,1.2415474732335434,0.4230769230769231,21.599358697766935,100.0,2.2,0.3666666666666667,2.003500087879507,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,17.58419799600489,0.8,3.9138239800430137,12.011954190596725,0.4,8.10717654723403
3,actuated,0,0,290.3318827164461,48.388647119407686,290.3318827164461,48.388647119407686,110.2,5.455445544554456,37286.8227986984,1845.8823167672474,20.2,2.8233981674024236,41.387985201284515,9.2,17,1.4535129205652904,0.45544554455445546,41.387985201284515,100.0,3.4000000000000004,0.5666666666666668,2.900577833762107,0.0,6,68.06732067997388,0.8,6.031946135186541,0.0,0.0,0.0,100.0,1.0,0.0,67.8256061682174,0.8,5.871096009491911,12.434984359515795,0.8,5.500424857894193,0.0,0.0,0.0
4,actuated,0,0,392.84319341721204,72.74873952170593,45750.68420097439,7625.114033495732,165.0,7.857142857142857,35514.54202928575,1691.1686680612263,21.0,2.035041966155334,54.117472450305875,12.8,17,1.7438954631530912,0.6095238095238096,54.117472450305875,100.0,3.4000000000000004,0.5666666666666668,2.7071954186777454,0.0,6,100.0,1.0,0.0,11.65344683728705,0.2,8.581152117160235,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,13.05138786454819,0.2,7.6620203949062375
5,actuated,0,0,330.23960216291516,71.7912178615033,704201.8556329531,117366.97593882552,235.2,10.594594594594595,36844.92880170912,1659.6814775544647,22.2,1.7075515611577343,62.72741838025033,15.4,20,1.6110458408845538,0.6936936936936937,62.72741838025032,100.0,4.0,0.6666666666666666,2.4535702097929115,0.0,6,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,63.836811452501365,0.8,6.739109314243874,12.527698829000542,0.2,7.982311944513595
6,actuated,0,0,748.3025103240724,143.90432890847546,52421.835964586426,8736.972660764404,316.4,12.555555555555555,41451.90162300632,1644.9167310716794,25.2,1.1572302132092627,66.66666666666667,17.8,20,1.2033436429185327,0.7063492063492064,66.66666666666667,100.0,4.0,0.6666666666666666,0.0,0.0,6,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
7,actuated,0,0,768.1966458012438,128.0327743002073,768.1966458012438,128.0327743002073,409.0,14.712230215827338,49065.415579003755,1764.943006438984,27.8,1.6306828595401164,68.69857135270355,19.4,21,1.5235178798411495,0.697841726618705,68.69857135270355,100.0,4.2,0.7000000000000001,1.3670807478650329,0.0,6,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,12.191428116221346,0.2,8.202484487190198
8,actuated,0,0,505.0043519439911,84.16739199066518,505.0043519439911,84.16739199066518,505.2,18.573529411764707,45128.45902262356,1659.134522890572,27.2,1.9731435335747576,72.08494114884105,19.8,23,1.820752651423196,0.7279411764705882,72.08494114884104,100.0,4.6000000000000005,0.7666666666666667,2.6989811457707735,0.0,6,100.0,1.0,0.0,21.185387175677874,0.4,7.363287568726798,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.324259717368363,0.2,8.830599305897845
9,actuated,0,0,766.109883641886,201.60786411628578,1069058.753069241,178176.4588448735,614.8,20.091503267973856,47096.293771238314,1539.0945676875267,30.6,0.8348140271125684,83.33333333333333,24.6,25,1.2022855742317533,0.803921568627451,83.33333333333333,100.0,5.0,0.8333333333333334,0.0,0.0,6,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
