step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed,d11_occ,d11_veh,d11_speed
10,actuated,3,2,1839.0299456536795,176.82980246669996,38270.39338689068,3189.199448907557,1286.4,20.549520766773163,99017.47513778675,1581.7488041179993,62.6,1.1962406693193357,56.94002007788763,44.0,37,1.1130088218744867,0.7028753993610224,56.94002007788763,100.0,7.4,0.6166666666666667,1.1610109646527216,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.05573072140874,1.0,5.414750236405578,0.0,0.0,0.0,0.22451021324286558,0.4,8.517381339427082,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
11,actuated,4,3,1156.094248828095,101.41177621299079,2985.2713959478906,248.7726163289909,381.6,6.338870431893688,103192.2679169619,1714.157274368138,60.2,1.268893283329428,26.391418301432783,27.2,26,0.8765876417696727,0.45182724252491696,26.391418301432783,100.0,5.2,0.43333333333333335,1.938411140980907,0.0,12,24.42595913456387,0.6,1.8221519709470848,29.135571983294994,0.6,2.08615246315158,20.0,0.4,0.0,0.0,0.0,0.0,12.242102142054705,0.2,8.168531747213153,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.39455839840764,0.6,7.377166150133431,25.604337439448273,0.6,1.8676805670118164,43.894490519423925,0.8,1.9392507933138183,20.0,0.4,0.0
12,actuated,4,4,1243.8383324087847,113.07621203716225,42950.57833588377,3579.2148613236477,209.0,3.3493589743589745,111686.0997277856,1789.8413417914358,62.4,1.5826092118807202,53.39403058481859,24.0,42,1.1391390080487913,0.38461538461538464,53.39403058481859,100.0,8.399999999999999,0.6999999999999998,2.432203113851426,0.0,12,27.31688216277462,0.8,3.2710578349742256,44.95820757194451,0.8,3.3119172522757654,96.2741488953668,1.0,1.9295221068268225,83.46533390702575,1.0,6.953775986745175,0.0,0.0,0.0,100.0,1.0,0.0,17.09744427863825,0.2,4.570468849894479,0.0,0.0,0.0,100.0,1.0,0.0,32.002301306524714,0.8,3.5718348402275315,41.40554831909867,0.8,3.28530377503662,98.20850057644975,1.0,2.29255672023649
13,actuated,4,4,897.1220897525156,86.26173939928034,430477.7210503741,35873.14342086451,330.2,5.7526132404181185,99141.68449239215,1727.2070469057865,57.4,1.8918950265780416,61.36381534955618,30.4,48,1.8134933472277228,0.5296167247386759,61.36381534955618,100.0,9.6,0.7999999999999999,1.933134296966539,0.0,12,12.290292849563684,0.6,5.3844330161898455,9.937840146490657,0.8,4.547919981617665,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,97.99160111230435,1.0,4.0099034571555014,100.0,1.0,0.0,16.140833438229265,0.6,4.7403206162504326,0.005216648086161513,0.6,4.515034492385023,100.0,1.0,0.0
14,actuated,4,4,934.6154510218845,93.46154510218845,643496.1468885064,53624.67890737553,495.4,9.20817843866171,92633.75500474207,1721.8170075230867,53.8,2.241346014031927,61.2721039073638,36.4,44,2.1374031871194514,0.6765799256505576,61.2721039073638,100.0,8.799999999999999,0.7333333333333333,1.642956458253006,0.0,12,0.0,0.2,0.0,1.788321798996435,0.4,8.192804129607977,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,1.3292389144936578,0.6,5.498059768031231,32.1476861748755,0.6,6.024613601396865,100.0,1.0,0.0
15,actuated,4,4,1287.8280475043507,114.98464709860275,12409.073210230119,1034.0894341858432,681.8,12.396363636363636,93438.67265520306,1698.8849573673283,55.0,1.9893994393054195,64.99226793808121,39.2,42,1.93897546419007,0.7127272727272728,64.9922679380812,100.0,8.400000000000002,0.7000000000000002,1.6693389360578321,0.0,12,0.0,0.0,0.0,0.0,0.2,0.0,100.0,1.0,0.0,100.0,1.0,0.0,55.414504230767534,0.6,4.362435214962641,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.521961915694305,0.2,8.679077463690268,12.970749110512543,0.4,6.990554554041078,100.0,1.0,0.0
16,actuated,5,4,1258.6827972922374,112.38239261537835,3064.2712522298793,255.35593768582328,814.4,14.807272727272727,90968.91152147885,1653.9802094814336,55.0,2.029178748504199,65.91277654452053,40.2,41,1.9114061335621244,0.730909090909091,65.91277654452053,100.0,8.2,0.6833333333333332,0.760804436324812,0.0,12,10.95331853424625,0.2,9.129653235897743,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0
17,actuated,6,5,1540.476466397979,145.32796852811123,241015.16838542078,20084.597365451733,848.2,14.674740484429066,96234.74116584845,1664.9609198243677,57.8,1.9740957499067884,58.25039931843057,37.4,39,2.2260761616156586,0.6470588235294118,58.25039931843056,100.0,7.8,0.65,2.4374223863096356,0.0,12,0.0,0.0,0.0,11.432602130077498,0.2,8.746915082167924,32.01192913578609,0.6,1.8085799728731822,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,12.02042380185162,0.2,8.319174236152643,11.782835189155207,0.2,8.486921729333778,31.757001564296274,0.6,1.8874776151880999
18,actuated,6,6,1495.3423048843576,138.4576208226257,1053176.7318679385,87764.72765566154,954.8,16.12837837837838,100842.58558200397,1703.422053750067,59.2,1.5486236694849669,52.95711500218331,37.6,37,1.3496990649626268,0.6351351351351351,52.957115002183315,100.0,7.3999999999999995,0.6166666666666666,1.32481138525525,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,11.079539015934188,0.6,3.5908184352591825,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,8.754741677167885,0.2,8.546740320324897,15.651099333097704,0.6,3.760177867478923
19,actuated,7,6,1313.6687540989176,113.24730638783772,1569265.7873042594,130772.14894202161,1079.4,17.242811501597444,102550.74691410446,1638.1908452732341,62.6,1.464724388794027,62.070216483304534,41.0,42,1.0368711871521696,0.6549520766773163,62.070216483304534,100.0,8.4,0.7000000000000001,1.487229589196169,0.0,12,3.7697330404552076,0.4,8.566212331317363,0.0,0.0,0.0,88.9656743417163,1.0,4.5673645674501335,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,52.10719041748291,0.8,4.713178171586529
