step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed
0,actuated,0,0,101.85902979901059,33.95300993300353,101.85902979901059,33.95300993300353,0.8,0.12121212121212122,14058.983106096839,2130.148955469218,6.6,3.0644106256588324,0.0,1.0,0,0.9661232472072264,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,actuated,0,0,106.96095479998618,35.65365159999539,106.96095479998618,35.65365159999539,6.2,0.8611111111111112,12627.624802084723,1753.8367780673225,7.2,3.3352243644280812,5.414716564715623,2.0,3,1.4402489101689813,0.2777777777777778,5.414716564715623,11.52559731528271,0.6000000000000001,0.20000000000000004,5.835251153728098,0.0,3,0.0,0.0,0.0,11.52559731528271,0.2,8.676339912327322,4.71855237886416,0.4,8.829413548856973
2,actuated,0,0,146.36189994201942,48.78729998067314,146.36189994201942,48.78729998067314,22.0,2.619047619047619,16753.693236993196,1994.4872901182375,8.4,3.8075088818109992,2.1625913115477147,4.2,1,3.031840239003662,0.5,2.1625913115477147,6.487773934643144,0.2,0.06666666666666667,3.033525023826708,0.0,3,6.487773934643144,0.2,9.100575071480124,0.0,0.0,0.0,0.0,0.0,0.0
3,actuated,0,0,157.96764652947704,56.41701661767038,200157.9676465295,66719.32254884316,42.6,4.733333333333333,16358.59097787031,1817.6212197633677,9.0,3.010157912828709,29.352586112863815,4.8,6,3.6101677989916556,0.5333333333333333,29.352586112863815,88.05775833859144,1.2,0.39999999999999997,1.980906144584852,0.0,3,0.0,0.2,0.0,88.05775833859144,1.0,5.942718433754556,0.0,0.0,0.0
4,actuated,0,0,158.5469140284093,52.848971342803104,158.5469140284093,52.848971342803104,67.2,6.222222222222222,18483.323909098144,1711.4188804720502,10.8,2.0680765784957824,48.184166551671034,5.4,8,0.8408524782140344,0.5,48.184166551671034,100.0,1.6,0.5333333333333333,2.1484341440129913,0.0,3,0.0,0.0,0.0,100.0,1.0,0.0,44.552499655013094,0.6,6.445302432038974
5,actuated,0,0,197.7543214247716,65.91810714159054,197.7543214247716,65.91810714159054,99.6,8.736842105263158,19858.602193945095,1741.9826485916751,11.4,2.672424443706345,66.66666666666667,7.8,10,2.271344816361219,0.6842105263157895,66.66666666666667,100.0,2.0,0.6666666666666666,0.0,0.0,3,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
6,actuated,0,0,193.75890403163345,64.58630134387782,193.75890403163345,64.58630134387782,139.0,10.072463768115941,24178.483660266313,1752.0640333526314,13.8,2.391473571061519,67.96780812947209,8.4,12,2.0081404942151617,0.6086956521739131,67.96780812947209,100.0,2.4,0.7999999999999999,2.9646102375040453,0.0,3,3.9034243884162834,0.4,8.893830712512136,100.0,1.0,0.0,100.0,1.0,0.0
7,actuated,0,0,252.51466131408174,84.17155377136058,252.51466131408174,84.17155377136058,183.0,13.071428571428571,24079.815351519745,1719.986810822839,14.0,1.6922080250767098,66.66666666666667,9.6,10,1.2814888231924908,0.6857142857142857,66.66666666666667,100.0,2.0,0.6666666666666666,0.0,0.0,3,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
8,actuated,0,0,270.3309811409125,90.11032704697084,270.3309811409125,90.11032704697084,233.2,15.756756756756756,23835.633423288018,1610.515771843785,14.8,2.735720178602635,66.66666666666667,10.6,10,2.6447575539455923,0.7162162162162162,66.66666666666667,100.0,2.0,0.6666666666666666,0.0,0.0,3,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
9,actuated,0,0,634.6408060574155,211.54693535247182,634.6408060574155,211.54693535247182,290.2,18.602564102564102,25045.72696340661,1605.4953181670905,15.6,3.8060428617122435,67.64346454886304,12.4,12,5.150433815114462,0.7948717948717948,67.64346454886304,100.0,2.4,0.7999999999999999,2.902078353675703,0.0,3,2.9303936465890956,0.4,8.706235061027108,100.0,1.0,0.0,100.0,1.0,0.0
