flow_max,episode,junction,mean_TotalWaitingTime,mean_TotalCO2,mean_AvgWaitingTime,mean_AvgCO2,mean_VehCount,mean_AvgSpeed,mean_QueueLength
200,0,2632893078,4.839714285714286,9280.136687490349,0.9075512204056789,2165.959083816693,4.337714285714285,5.5849393661027245,0.7997142857142858
200,0,288992529,1.4645714285714286,6035.5727248592675,0.37982792207387606,2372.5762563535445,2.579428571428571,7.034727475517757,0.302
200,0,601392292,1.562,6959.111374289975,0.35782096586506207,2397.1920664468907,2.9657142857142857,7.184126699860467,0.3342857142857143
200,1,2632893078,4.117999999999999,8631.940854059421,0.9073367504319925,2161.2421994027563,4.026857142857143,6.075758008855541,0.728
200,1,288992529,0.8317142857142856,5569.664862743647,0.25208140852730976,2390.552891454696,2.3474285714285714,7.017052797227784,0.24742857142857141
200,1,601392292,1.8048571428571427,7570.364299442351,0.35669329909643743,2351.1725687240355,3.3102857142857145,6.822397266162835,0.40628571428571425
200,2,2632893078,6.7791428571428565,9388.742510381144,1.2465236257410137,2120.545204337798,4.486285714285715,5.863577963669923,0.9297142857142856
200,2,288992529,1.3845714285714286,6011.763272563479,0.36235914564672406,2392.9550639233835,2.5525714285714285,6.76424694681128,0.29800000000000004
200,2,601392292,1.8511428571428574,9110.433713245802,0.3205834797254211,2374.553300950957,3.9240000000000004,6.638052434329677,0.42714285714285716
300,0,2632893078,8.192285714285715,9609.217179810259,1.3451967607585331,2064.7373746237577,4.739714285714286,6.227522022589141,1.0725714285714285
300,0,288992529,3.036857142857143,7417.866308017913,0.6008863360764649,2256.2790555552274,3.402857142857143,5.7401741971418065,0.6037142857142858
300,0,601392292,1.7954285714285716,8176.897834634068,0.3366316920861431,2396.2552862761304,3.4908571428571427,6.732762468794998,0.3731428571428572
300,1,2632893078,5.395714285714286,10768.250035885294,0.9064455679279759,2217.468446041002,4.921142857142858,5.938245372700796,0.8211428571428571
300,1,288992529,2.5211428571428574,9614.078851605893,0.4262397082664933,2292.6440448384833,4.286571428571429,5.895013840103454,0.6037142857142858
300,1,601392292,7.635714285714286,14551.170245902676,0.8324696069410669,2111.0242412077055,7.148571428571429,5.028526304763576,1.478
300,2,2632893078,11.020857142857142,16052.108388732206,1.1691036748326122,2040.657848104359,8.066,4.725149860503332,1.82
300,2,288992529,6.076285714285714,13209.225615346759,0.6168355919802475,2180.451555812391,6.288285714285713,5.145502527300043,1.06
300,2,601392292,1.8525714285714285,9604.302169915196,0.3216021161449004,2393.0635189048103,4.09,6.8212464238576676,0.4291428571428571
400,0,2632893078,59.66542857142858,43281.286832689366,2.305415230732621,1613.6927271701443,27.05142857142857,2.640558198496388,8.428571428571429
400,0,288992529,2.2271428571428573,7609.974585595668,0.447896088925792,2396.505536442473,3.248857142857143,6.506252765064742,0.39371428571428574
400,0,601392292,3.507428571428571,13894.717331661554,0.4382370788110826,2278.526809948363,6.246857142857143,6.161612306865133,0.8368571428571427
400,1,2632893078,12.890571428571429,15273.424014073333,1.2404763708753073,2003.7032554072148,7.964285714285714,4.9110458081392645,1.9688571428571429
400,1,288992529,9.706857142857144,16498.352187395587,0.8769940986894256,2017.0171321594726,8.480571428571428,4.291191290785485,1.7702857142857142
400,1,601392292,5.024571428571429,11857.563572270845,0.5927254259230215,2137.193935935147,5.780571428571428,6.215513078850821,0.9177142857142857
400,2,2632893078,8.066571428571429,15501.661289085388,0.9812452702630313,2110.935607409146,7.417428571428571,5.155388339459915,1.3840000000000001
400,2,288992529,4.595428571428571,12896.548369838725,0.5738422520373583,2211.8097513448633,5.957714285714285,5.980955958051338,0.9054285714285714
400,2,601392292,4.322000000000001,14684.248746331506,0.49210773562242266,2216.879561264636,6.769714285714285,5.71799893888696,0.9902857142857142
500,0,2632893078,57.01028571428571,34469.908049595375,2.595885517493443,1615.682063769871,21.429428571428573,3.909760990519745,7.218857142857143
500,0,288992529,9.491714285714284,14660.931514271706,0.847959571538677,2089.0777974484236,7.396857142857142,4.55048917493222,1.6817142857142857
500,0,601392292,8.424285714285714,16642.57576197402,0.7165464008556156,2037.073431377021,8.544285714285714,5.695534310700075,1.512571428571429
500,1,2632893078,6.949142857142856,12890.493526998083,1.0208775856842673,2147.53707774656,6.1259999999999994,5.494555960877182,1.1457142857142857
500,1,288992529,43.16514285714286,29677.44932851115,1.8097770635396377,1752.4012137218963,17.701714285714285,2.65222919093478,5.076285714285714
500,1,601392292,5.385428571428572,14683.544387352493,0.6040783362875422,2198.2404923681725,6.839428571428572,5.833291657797773,1.0734285714285712
500,2,2632893078,81.13742857142857,36139.008152701805,3.304346694963953,1644.4118928243226,22.039142857142856,3.468815619597895,8.047428571428572
500,2,288992529,42.40571428571429,41821.88847902792,1.5515080589612205,1627.421340424993,26.123428571428573,2.1034038196726828,6.962571428571428
500,2,601392292,7.773142857142857,13635.368567792417,0.7948636832367788,2174.732032442515,6.459714285714286,5.630269492264208,1.1845714285714284
600,0,2632893078,58.252571428571436,35361.87023162609,2.471891139992312,1632.1832103289944,21.802857142857142,2.899174815906114,7.533714285714286
600,0,288992529,10.358571428571427,17563.840323910277,0.8189224265312961,1969.4906863317692,9.195714285714285,4.764545208529761,1.7679999999999998
600,0,601392292,5.217714285714285,12873.343363865975,0.566483530735247,2157.1826508614054,6.169142857142857,6.043957244785386,0.9368571428571428
600,1,2632893078,68.86114285714284,31066.120224503768,3.5697240989902004,1688.9328508855037,18.52914285714286,3.663893197982982,6.9308571428571435
600,1,288992529,12.467142857142857,17835.92208534978,0.9738646896158034,1884.0735776089548,9.809142857142856,4.79738077010837,2.279714285714286
600,1,601392292,13.968571428571428,22250.053690611807,0.8921153260008419,2027.2844133224492,11.553999999999998,5.107313258141976,2.5031428571428567
600,2,2632893078,45.04371428571429,33290.48706562284,2.2704704358070202,1695.645034005309,19.68771428571429,4.184730400098988,6.059714285714285
600,2,288992529,12.445714285714285,20028.795186599855,0.803643726558917,2029.1131653603,10.53,4.945572125210143,1.9445714285714286
600,2,601392292,39.559428571428576,49689.29111108534,1.22456042492922,1629.5088657409292,31.183142857142855,2.9946002304669714,6.901714285714285
700,0,2632893078,50.78171428571428,31876.386659899566,2.5465843844667257,1695.4221624801335,18.99942857142857,4.0980865950314955,6.218285714285715
700,0,288992529,56.06942857142857,45844.528506036186,1.8839536999455442,1594.4885587107117,28.892285714285716,1.9278816100207254,8.376000000000001
700,0,601392292,7.353428571428571,17718.25588118302,0.6599567593170254,2170.2524300535947,8.407714285714285,5.515685145251467,1.3577142857142859
700,1,2632893078,44.717999999999996,22280.932366182737,2.792769736880858,1797.3180991933793,12.815428571428571,4.517307997906028,4.321142857142857
700,1,288992529,56.16914285714285,47264.60982705931,1.774952421935296,1577.3183788554124,30.136285714285716,1.7278252304804007,8.716857142857142
700,1,601392292,9.55,15261.549159651242,0.8494818479921428,2003.4910033078288,7.983714285714286,5.560424823356709,1.6402857142857143
700,2,2632893078,90.82142857142857,29641.68828056105,4.714017130926922,1635.7593594718605,18.208285714285715,4.415906870903364,7.073142857142858
700,2,288992529,51.66828571428571,45869.25011616613,1.695794468470962,1591.323335839669,29.045714285714286,1.9327707186184333,7.883428571428571
700,2,601392292,3.250285714285714,11857.901321174993,0.40605991399455565,2182.269491189579,5.621428571428571,6.152055471355626,0.7971428571428573
800,0,2632893078,68.01914285714285,31921.09023529798,3.382531657708141,1638.1393962873422,19.480857142857143,4.037334974801887,7.395428571428572
800,0,288992529,55.19199999999999,47071.34191379216,1.813725884665985,1575.4446910141446,30.057999999999996,1.6136340936777762,8.884857142857141
800,0,601392292,45.636571428571436,56151.98731117059,1.2385291499475208,1587.269444252089,35.68457142857143,1.7764137952444903,8.072
800,1,2632893078,19.116,18620.679858855005,1.7015219834254516,1958.016754843537,9.875714285714286,4.524375998975034,2.604857142857143
800,1,288992529,3.8057142857142856,13234.935401998046,0.4784455448066628,2172.5573168817136,6.252571428571428,5.054482061242272,0.9948571428571428
800,1,601392292,50.757999999999996,55442.03214462295,1.4198637247174308,1592.8160546123952,35.28114285714286,1.8884213582907405,8.487142857142857
800,2,2632893078,60.77428571428572,32337.57415878154,3.030482469210255,1650.9704238643487,19.62742857142857,4.0055428306486585,7.051428571428572
800,2,288992529,71.09085714285715,47583.68528610699,2.154384379846983,1572.3078015259118,30.397714285714287,1.6766500845803027,8.672571428571427
800,2,601392292,60.60285714285714,53046.279846922465,1.7100173600867918,1589.493485231457,33.61,2.469375429929215,8.819714285714285
900,0,2632893078,7.072857142857143,11703.900055316813,0.9464191410133973,2225.752107257117,5.390571428571429,5.819083488079338,1.0105714285714285
900,0,288992529,29.937142857142856,37841.43726134282,1.1890611779113571,1598.574932996942,23.742857142857144,2.925060055217156,5.538571428571428
900,0,601392292,69.68942857142858,58923.64596489999,1.8102562301939105,1569.9919651733076,37.77142857142857,1.817086766152025,10.256571428571428
