step,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength
0,231.60681222561047,77.20227074187015,231.60681222561047,77.20227074187015,20.0,1.0638297872340425,32952.60882641059,1752.7983418303506,18.8,2.433079853416587,43.17146656279467,4.8
1,555.531233223819,198.40401186564964,931.6724010539352,310.5574670179784,25.8,1.4333333333333333,27601.686391924777,1533.4270217735987,18.0,2.042191706425456,66.66666666666667,7.6
2,629.0027277504925,224.6438313394616,1238.1013777262233,412.70045924207443,40.8,2.2666666666666666,26560.96811738943,1475.6093398549685,18.0,1.911082646065867,66.66666666666667,8.6
3,296.0960592807295,211.49718520052107,13556.467704180477,4518.822568060159,98.4,5.125,31925.207816849997,1662.7712404609374,19.2,2.6500722997816495,69.26520889596513,14.8
4,662.5537717434387,220.8512572478129,662.5537717434387,220.8512572478129,177.0,8.676470588235293,34531.93880711574,1692.7420983880263,20.4,2.1035486086726123,66.66666666666667,16.2
5,259.45458841607126,86.48486280535708,259.45458841607126,86.48486280535708,241.0,10.954545454545455,37354.7572752574,1697.9435125117,22.0,2.759451642489682,69.64981129621019,15.4
6,477.4179836918144,159.13932789727147,477.4179836918144,159.13932789727147,152.0,6.495726495726496,37224.47446190317,1590.7895069189387,23.4,1.4563419368378188,48.27870589102076,12.6
7,316.5160918104613,105.50536393682044,316.5160918104613,105.50536393682044,59.8,2.373015873015873,40985.68633266889,1626.4161243122574,25.2,2.1384984372093316,45.6729633732463,10.0
8,349.0163354553245,116.33877848510816,349.0163354553245,116.33877848510816,50.4,1.9236641221374047,41157.46760243737,1570.8957100166933,26.2,2.992160930522298,67.42023344021959,12.4
9,511.4113723174345,170.47045743914484,511.4113723174345,170.47045743914484,75.2,2.6857142857142855,44518.61808270412,1589.9506458108613,28.0,1.5462225638108487,66.66666666666667,14.2
