Step,Action
100.0,8
105.0,6
110.0,8
115.0,6
120.0,9
125.0,6
130.0,9
135.0,0
140.0,9
145.0,0
150.0,1
155.0,0
160.0,1
165.0,7
170.0,1
175.0,7
180.0,0
185.0,7
190.0,0
195.0,10
200.0,0
205.0,10
210.0,4
215.0,10
220.0,4
225.0,2
230.0,4
235.0,2
240.0,4
245.0,2
250.0,4
255.0,1
260.0,4
265.0,1
270.0,2
275.0,1
280.0,2
285.0,7
290.0,2
295.0,7
300.0,8
305.0,7
310.0,8
315.0,9
320.0,8
325.0,9
330.0,9
335.0,8
340.0,9
345.0,8
350.0,10
355.0,8
360.0,10
365.0,2
370.0,2
375.0,2
380.0,7
385.0,2
390.0,7
395.0,8
400.0,7
405.0,8
410.0,7
415.0,8
420.0,7
425.0,9
430.0,7
435.0,9
440.0,3
445.0,9
450.0,3
455.0,11
460.0,3
465.0,11
470.0,7
475.0,11
480.0,7
485.0,0
490.0,7
495.0,0
500.0,11
505.0,0
510.0,11
515.0,2
520.0,11
525.0,2
530.0,5
535.0,2
540.0,5
545.0,1
550.0,5
555.0,1
560.0,6
565.0,1
570.0,6
575.0,1
580.0,6
585.0,1
590.0,3
595.0,1
600.0,3
605.0,3
610.0,5
615.0,5
620.0,0
625.0,5
630.0,0
635.0,8
640.0,0
645.0,8
650.0,2
655.0,8
660.0,2
665.0,10
670.0,2
675.0,10
680.0,11
685.0,11
690.0,0
695.0,11
700.0,0
705.0,1
710.0,0
715.0,1
720.0,1
725.0,1
730.0,3
735.0,1
740.0,3
745.0,11
750.0,3
755.0,11
760.0,4
765.0,11
770.0,4
775.0,11
780.0,4
785.0,11
790.0,7
795.0,11
800.0,7
805.0,6
810.0,7
815.0,6
820.0,9
825.0,6
830.0,9
835.0,1
840.0,9
845.0,1
850.0,0
855.0,1
860.0,0
865.0,5
870.0,0
875.0,5
880.0,8
885.0,5
890.0,8
895.0,8
900.0,7
905.0,8
910.0,7
915.0,5
920.0,7
925.0,5
930.0,5
935.0,0
940.0,5
945.0,0
950.0,1
955.0,0
960.0,1
965.0,2
970.0,1
975.0,2
980.0,4
985.0,2
990.0,4
995.0,1
1000.0,4
1005.0,1
1010.0,7
1015.0,1
1020.0,7
1025.0,7
1030.0,10
1035.0,7
1040.0,10
1045.0,1
1050.0,10
1055.0,1
1060.0,8
1065.0,1
1070.0,8
1075.0,3
1080.0,8
1085.0,3
1090.0,3
1095.0,10
1100.0,3
1105.0,10
1110.0,11
1115.0,11
1120.0,6
1125.0,11
1130.0,6
1135.0,5
1140.0,6
1145.0,5
1150.0,5
1155.0,7
1160.0,5
1165.0,7
1170.0,8
1175.0,7
1180.0,8
1185.0,7
1190.0,8
1195.0,7
1200.0,0
1205.0,7
1210.0,0
1215.0,7
1220.0,0
1225.0,7
1230.0,9
1235.0,7
1240.0,9
1245.0,1
1250.0,9
1255.0,1
1260.0,2
1265.0,1
1270.0,2
1275.0,9
1280.0,2
1285.0,9
1290.0,9
1295.0,6
1300.0,9
1305.0,6
1310.0,6
1315.0,6
1320.0,4
1325.0,6
1330.0,4
1335.0,8
1340.0,4
1345.0,8
1350.0,1
1355.0,8
1360.0,1
1365.0,1
1370.0,1
1375.0,2
1380.0,1
1385.0,2
1390.0,11
1395.0,2
1400.0,11
1405.0,3
1410.0,11
1415.0,3
1420.0,7
1425.0,3
1430.0,7
1435.0,7
1440.0,4
1445.0,7
1450.0,4
1455.0,2
1460.0,4
1465.0,2
1470.0,3
1475.0,2
1480.0,3
1485.0,11
1490.0,3
1495.0,11
1500.0,10
1505.0,11
1510.0,10
1515.0,2
1520.0,2
1525.0,3
1530.0,2
1535.0,3
1540.0,1
1545.0,3
1550.0,1
1555.0,4
1560.0,1
1565.0,4
1570.0,5
1575.0,4
1580.0,5
1585.0,3
1590.0,5
1595.0,3
1600.0,1
1605.0,3
1610.0,1
1615.0,0
1620.0,1
1625.0,0
1630.0,9
1635.0,0
1640.0,9
1645.0,11
1650.0,11
1655.0,3
1660.0,11
1665.0,3
1670.0,4
1675.0,3
1680.0,4
1685.0,1
1690.0,4
1695.0,1
1700.0,6
1705.0,1
1710.0,6
1715.0,9
1720.0,6
1725.0,9
1730.0,9
1735.0,4
1740.0,4
1745.0,5
1750.0,4
1755.0,5
1760.0,10
1765.0,5
1770.0,10
1775.0,10
1780.0,3
1785.0,10
1790.0,3
1795.0,1
1800.0,3
1805.0,1
1810.0,11
1815.0,1
1820.0,11
1825.0,10
1830.0,11
1835.0,10
1840.0,1
1845.0,10
1850.0,1
1855.0,6
1860.0,1
1865.0,6
1870.0,6
1875.0,10
1880.0,6
1885.0,10
1890.0,8
1895.0,10
1900.0,8
1905.0,4
1910.0,8
1915.0,4
1920.0,1
1925.0,4
1930.0,1
1935.0,8
1940.0,1
1945.0,8
1950.0,1
1955.0,8
1960.0,1
1965.0,7
1970.0,1
1975.0,7
1980.0,2
1985.0,7
1990.0,2
1995.0,5
2000.0,2
2005.0,5
2010.0,4
2015.0,5
2020.0,4
2025.0,4
2030.0,10
2035.0,4
2040.0,10
2045.0,9
2050.0,10
2055.0,9
2060.0,6
2065.0,9
2070.0,6
2075.0,10
2080.0,6
2085.0,10
2090.0,11
2095.0,11
2100.0,0
2105.0,11
2110.0,0
2115.0,1
2120.0,0
2125.0,1
2130.0,3
2135.0,1
2140.0,3
2145.0,3
2150.0,3
2155.0,4
2160.0,3
2165.0,4
2170.0,8
2175.0,4
2180.0,8
2185.0,9
2190.0,8
2195.0,9
2200.0,5
2205.0,9
2210.0,5
2215.0,2
2220.0,5
2225.0,2
2230.0,8
2235.0,2
2240.0,8
2245.0,4
2250.0,8
2255.0,4
2260.0,7
2265.0,4
2270.0,7
2275.0,8
2280.0,7
2285.0,8
2290.0,5
2295.0,8
2300.0,5
2305.0,5
2310.0,9
2315.0,5
2320.0,9
2325.0,6
2330.0,9
2335.0,6
2340.0,1
2345.0,6
2350.0,1
2355.0,4
2360.0,1
2365.0,4
2370.0,5
2375.0,4
2380.0,5
2385.0,11
2390.0,5
2395.0,11
2400.0,0
2405.0,11
2410.0,0
2415.0,8
2420.0,0
2425.0,8
2430.0,0
2435.0,8
2440.0,0
2445.0,7
2450.0,0
2455.0,7
2460.0,5
2465.0,7
2470.0,5
2475.0,4
2480.0,5
2485.0,4
2490.0,0
2495.0,4
2500.0,0
2505.0,3
2510.0,0
2515.0,3
2520.0,7
2525.0,3
2530.0,7
2535.0,4
2540.0,7
2545.0,4
2550.0,8
2555.0,4
2560.0,8
2565.0,5
2570.0,8
2575.0,5
2580.0,9
2585.0,5
2590.0,9
2595.0,2
2600.0,9
2605.0,2
2610.0,9
2615.0,2
2620.0,9
2625.0,7
2630.0,9
2635.0,7
2640.0,0
2645.0,7
2650.0,0
2655.0,1
2660.0,0
2665.0,1
2670.0,6
2675.0,1
2680.0,6
2685.0,5
2690.0,6
2695.0,5
2700.0,9
2705.0,5
2710.0,9
2715.0,3
2720.0,9
2725.0,3
2730.0,5
2735.0,5
2740.0,2
2745.0,5
2750.0,2
2755.0,3
2760.0,2
2765.0,3
2770.0,5
2775.0,5
2780.0,11
2785.0,5
2790.0,11
2795.0,9
2800.0,11
2805.0,9
2810.0,7
2815.0,9
2820.0,7
2825.0,4
2830.0,7
2835.0,4
2840.0,6
2845.0,4
2850.0,6
2855.0,10
2860.0,6
2865.0,10
2870.0,5
2875.0,10
2880.0,5
2885.0,10
2890.0,5
2895.0,10
2900.0,4
2905.0,10
2910.0,4
2915.0,6
2920.0,4
2925.0,6
2930.0,6
2935.0,11
2940.0,6
2945.0,11
2950.0,10
2955.0,11
2960.0,10
2965.0,7
2970.0,10
2975.0,7
2980.0,5
2985.0,7
2990.0,5
2995.0,5
3000.0,11
3005.0,5
3010.0,11
3015.0,7
3020.0,11
3025.0,7
3030.0,1
3035.0,7
3040.0,1
3045.0,11
3050.0,1
3055.0,11
3060.0,6
3065.0,11
3070.0,6
3075.0,4
3080.0,6
3085.0,4
3090.0,2
3095.0,4
3100.0,2
3105.0,9
3110.0,2
3115.0,9
3120.0,11
3125.0,11
3130.0,0
3135.0,11
3140.0,0
3145.0,2
3150.0,0
3155.0,2
3160.0,5
3165.0,2
3170.0,5
3175.0,8
3180.0,5
3185.0,8
3190.0,5
3195.0,8
3200.0,5
3205.0,1
3210.0,5
3215.0,1
3220.0,9
3225.0,1
3230.0,9
3235.0,8
3240.0,9
3245.0,8
3250.0,8
3255.0,10
3260.0,8
3265.0,10
3270.0,8
3275.0,10
3280.0,8
3285.0,11
3290.0,8
3295.0,11
3300.0,1
3305.0,11
3310.0,1
3315.0,7
3320.0,1
3325.0,7
3330.0,4
3335.0,7
3340.0,4
3345.0,10
3350.0,4
3355.0,10
3360.0,0
3365.0,10
3370.0,0
3375.0,11
3380.0,0
3385.0,11
3390.0,11
3395.0,6
3400.0,11
3405.0,6
3410.0,4
3415.0,6
3420.0,4
3425.0,0
3430.0,4
3435.0,0
3440.0,1
