Step,Action
100.0,4
105.0,5
110.0,2
115.0,5
120.0,2
125.0,6
130.0,2
135.0,6
140.0,5
145.0,6
150.0,5
155.0,5
160.0,0
165.0,5
170.0,0
175.0,2
180.0,0
185.0,2
190.0,4
195.0,2
200.0,4
205.0,1
210.0,4
215.0,1
220.0,0
225.0,1
230.0,0
235.0,3
240.0,0
245.0,3
250.0,1
255.0,3
260.0,1
265.0,2
270.0,1
275.0,2
280.0,6
285.0,2
290.0,6
295.0,1
300.0,6
305.0,1
310.0,1
315.0,3
320.0,1
325.0,3
330.0,0
335.0,3
340.0,0
345.0,4
350.0,0
355.0,4
360.0,6
365.0,4
370.0,6
375.0,0
380.0,6
385.0,0
390.0,0
395.0,4
400.0,0
405.0,4
410.0,1
415.0,4
420.0,1
425.0,0
430.0,1
435.0,0
440.0,5
445.0,0
450.0,5
455.0,6
460.0,5
465.0,6
470.0,4
475.0,6
480.0,4
485.0,6
490.0,4
495.0,6
500.0,0
505.0,6
510.0,0
515.0,1
520.0,0
525.0,1
530.0,0
535.0,1
540.0,0
545.0,5
550.0,0
555.0,5
560.0,6
565.0,5
570.0,6
575.0,0
580.0,6
585.0,0
590.0,6
595.0,0
600.0,6
605.0,4
610.0,6
615.0,4
620.0,1
625.0,4
630.0,1
635.0,0
640.0,1
645.0,0
650.0,1
655.0,0
660.0,1
665.0,4
670.0,1
675.0,4
680.0,5
685.0,4
690.0,5
695.0,5
700.0,1
705.0,5
710.0,1
715.0,4
720.0,1
725.0,4
730.0,5
735.0,4
740.0,5
745.0,0
750.0,5
755.0,0
760.0,6
765.0,0
770.0,6
775.0,5
780.0,6
785.0,5
790.0,0
795.0,5
800.0,0
805.0,1
810.0,0
815.0,1
820.0,0
825.0,1
830.0,0
835.0,0
840.0,6
845.0,0
850.0,6
855.0,3
860.0,6
865.0,3
870.0,3
875.0,1
880.0,3
885.0,1
890.0,6
895.0,1
900.0,6
905.0,1
910.0,6
915.0,1
920.0,1
925.0,0
930.0,1
935.0,0
940.0,6
945.0,0
950.0,6
955.0,3
960.0,6
965.0,3
970.0,5
975.0,3
980.0,5
985.0,6
990.0,5
995.0,6
1000.0,5
1005.0,6
1010.0,5
1015.0,6
1020.0,5
1025.0,6
1030.0,6
1035.0,6
1040.0,6
1045.0,1
1050.0,6
1055.0,1
1060.0,0
1065.0,1
1070.0,0
1075.0,5
1080.0,0
1085.0,5
1090.0,3
1095.0,5
1100.0,3
1105.0,1
1110.0,3
1115.0,1
1120.0,0
1125.0,1
1130.0,0
1135.0,1
1140.0,0
1145.0,1
1150.0,1
1155.0,5
1160.0,1
1165.0,5
1170.0,6
1175.0,5
1180.0,6
1185.0,0
1190.0,6
1195.0,0
1200.0,4
1205.0,0
1210.0,4
1215.0,5
1220.0,4
1225.0,5
1230.0,1
1235.0,5
1240.0,1
1245.0,4
1250.0,1
1255.0,4
1260.0,6
1265.0,4
1270.0,6
1275.0,3
1280.0,6
1285.0,3
1290.0,4
1295.0,3
1300.0,4
1305.0,0
1310.0,4
1315.0,0
1320.0,4
1325.0,0
1330.0,4
1335.0,1
1340.0,4
1345.0,1
1350.0,5
1355.0,1
1360.0,5
1365.0,4
1370.0,5
1375.0,4
1380.0,3
1385.0,4
1390.0,3
1395.0,2
1400.0,3
1405.0,2
1410.0,3
1415.0,2
1420.0,3
1425.0,3
1430.0,3
1435.0,5
1440.0,3
1445.0,5
1450.0,0
1455.0,5
1460.0,0
1465.0,5
1470.0,0
1475.0,5
1480.0,5
1485.0,4
1490.0,5
1495.0,4
1500.0,0
1505.0,4
1510.0,0
1515.0,4
1520.0,0
1525.0,4
1530.0,0
1535.0,4
1540.0,0
1545.0,1
1550.0,0
1555.0,1
1560.0,0
1565.0,1
1570.0,0
1575.0,5
1580.0,0
1585.0,5
1590.0,4
1595.0,5
1600.0,4
1605.0,2
1610.0,4
1615.0,2
1620.0,1
1625.0,2
1630.0,1
1635.0,3
1640.0,1
1645.0,3
1650.0,1
1655.0,3
1660.0,1
1665.0,5
1670.0,1
1675.0,5
1680.0,2
1685.0,5
1690.0,2
1695.0,3
1700.0,2
1705.0,3
1710.0,2
1715.0,3
1720.0,2
1725.0,1
1730.0,2
1735.0,1
1740.0,6
1745.0,1
1750.0,6
1755.0,3
1760.0,6
1765.0,3
1770.0,1
1775.0,3
1780.0,1
1785.0,5
1790.0,1
1795.0,5
1800.0,2
1805.0,5
1810.0,2
1815.0,6
1820.0,2
1825.0,6
1830.0,4
1835.0,6
1840.0,4
1845.0,3
1850.0,4
1855.0,3
1860.0,3
1865.0,0
1870.0,3
1875.0,0
1880.0,5
1885.0,0
1890.0,5
1895.0,6
1900.0,5
1905.0,6
1910.0,3
1915.0,6
1920.0,3
