Step,Action
100.0,16
105.0,16
110.0,9
115.0,11
120.0,9
125.0,11
130.0,8
135.0,11
140.0,8
145.0,13
150.0,8
155.0,13
160.0,5
165.0,13
170.0,5
175.0,11
180.0,5
185.0,11
190.0,1
195.0,11
200.0,1
205.0,9
210.0,1
215.0,9
220.0,2
225.0,9
230.0,2
235.0,2
240.0,13
245.0,2
250.0,13
255.0,13
260.0,3
265.0,13
270.0,3
275.0,14
280.0,3
285.0,14
290.0,15
295.0,14
300.0,15
305.0,13
310.0,15
315.0,13
320.0,3
325.0,13
330.0,3
335.0,9
340.0,3
345.0,9
350.0,12
355.0,9
360.0,12
365.0,13
370.0,12
375.0,13
380.0,5
385.0,13
390.0,5
395.0,4
400.0,4
405.0,2
410.0,4
415.0,2
420.0,1
425.0,2
430.0,1
435.0,6
440.0,1
445.0,6
450.0,8
455.0,6
460.0,8
465.0,8
470.0,5
475.0,8
480.0,5
485.0,1
490.0,5
495.0,1
500.0,12
505.0,1
510.0,12
515.0,10
520.0,12
525.0,10
530.0,5
535.0,10
540.0,5
545.0,3
550.0,5
555.0,3
560.0,15
565.0,3
570.0,15
575.0,13
580.0,15
585.0,13
590.0,6
595.0,13
600.0,6
605.0,7
610.0,7
615.0,1
620.0,7
625.0,1
630.0,1
635.0,0
640.0,1
645.0,0
650.0,13
655.0,0
660.0,13
665.0,8
670.0,13
675.0,8
680.0,1
685.0,1
690.0,13
695.0,1
700.0,13
705.0,2
710.0,13
715.0,2
720.0,11
725.0,2
730.0,11
735.0,0
740.0,11
745.0,0
750.0,13
755.0,0
760.0,13
765.0,8
770.0,13
775.0,8
780.0,5
785.0,8
790.0,5
795.0,13
800.0,5
805.0,13
810.0,1
815.0,13
820.0,1
825.0,16
830.0,1
835.0,16
840.0,12
845.0,16
850.0,12
855.0,14
860.0,12
865.0,14
870.0,9
875.0,14
880.0,9
885.0,9
890.0,14
895.0,9
900.0,14
905.0,1
910.0,14
915.0,1
920.0,16
925.0,1
930.0,16
935.0,12
940.0,16
945.0,12
950.0,2
955.0,12
960.0,2
965.0,10
970.0,2
975.0,10
980.0,11
985.0,10
990.0,11
995.0,0
1000.0,11
1005.0,0
1010.0,14
1015.0,0
1020.0,14
1025.0,9
1030.0,14
1035.0,9
1040.0,6
1045.0,9
1050.0,6
1055.0,13
1060.0,6
1065.0,13
1070.0,5
1075.0,13
1080.0,5
1085.0,10
1090.0,5
1095.0,10
1100.0,11
1105.0,10
1110.0,11
1115.0,16
1120.0,11
1125.0,16
1130.0,3
1135.0,16
1140.0,3
1145.0,14
1150.0,3
1155.0,14
1160.0,16
1165.0,14
1170.0,16
1175.0,16
1180.0,0
1185.0,16
1190.0,0
1195.0,13
1200.0,0
1205.0,13
1210.0,16
1215.0,13
1220.0,16
1225.0,14
1230.0,16
1235.0,14
1240.0,7
1245.0,14
