Step,Action
2510.0,0
2515.0,1
2520.0,0
2525.0,1
2530.0,0
2535.0,1
2540.0,0
2545.0,3
2550.0,0
2555.0,3
2560.0,1
2565.0,3
2570.0,1
2575.0,1
2580.0,3
2585.0,1
2590.0,3
2595.0,3
2600.0,4
2605.0,4
2610.0,0
2615.0,4
2620.0,0
2625.0,0
2630.0,2
2635.0,0
2640.0,2
2645.0,1
2650.0,2
2655.0,1
2660.0,1
2665.0,4
2670.0,1
2675.0,4
2680.0,4
2685.0,2
2690.0,4
2695.0,2
2700.0,1
2705.0,2
2710.0,1
2715.0,1
2720.0,3
2725.0,1
2730.0,3
2735.0,2
2740.0,3
2745.0,2
2750.0,3
2755.0,3
2760.0,3
2765.0,3
2770.0,2
2775.0,3
2780.0,2
2785.0,1
2790.0,2
2795.0,1
2800.0,2
2805.0,1
2810.0,2
2815.0,1
2820.0,2
2825.0,1
2830.0,3
2835.0,1
2840.0,3
2845.0,0
2850.0,3
2855.0,0
2860.0,1
2865.0,0
2870.0,1
2875.0,0
2880.0,1
2885.0,0
2890.0,2
2895.0,0
2900.0,2
2905.0,1
2910.0,2
2915.0,1
2920.0,0
2925.0,1
2930.0,0
2935.0,1
2940.0,0
2945.0,1
2950.0,1
2955.0,2
2960.0,1
2965.0,2
2970.0,3
2975.0,3
2980.0,0
2985.0,3
2990.0,0
2995.0,3
3000.0,0
3005.0,3
3010.0,2
3015.0,3
3020.0,2
3025.0,0
3030.0,0
3035.0,0
3040.0,0
3045.0,1
3050.0,0
3055.0,1
3060.0,3
3065.0,1
3070.0,3
3075.0,2
3080.0,3
3085.0,2
3090.0,3
3095.0,3
3100.0,0
3105.0,3
3110.0,0
3115.0,2
3120.0,0
3125.0,2
3130.0,3
3135.0,3
3140.0,3
3145.0,4
3150.0,4
3155.0,0
3160.0,4
3165.0,0
3170.0,0
3175.0,4
3180.0,0
3185.0,4
3190.0,4
3195.0,4
3200.0,1
3205.0,4
3210.0,1
3215.0,4
3220.0,1
3225.0,4
3230.0,2
3235.0,4
3240.0,2
3245.0,2
3250.0,4
3255.0,4
3260.0,4
3265.0,1
3270.0,4
3275.0,1
3280.0,4
3285.0,1
3290.0,4
3295.0,3
3300.0,4
3305.0,3
3310.0,1
3315.0,3
3320.0,1
3325.0,0
3330.0,1
3335.0,0
3340.0,3
3345.0,0
3350.0,3
3355.0,0
3360.0,3
3365.0,0
3370.0,0
3375.0,0
3380.0,2
3385.0,0
3390.0,2
3395.0,0
3400.0,0
3405.0,3
3410.0,0
3415.0,3
3420.0,0
3425.0,3
3430.0,0
3435.0,0
3440.0,1
3445.0,0
3450.0,1
3455.0,2
3460.0,1
3465.0,2
3470.0,2
3475.0,3
3480.0,3
3485.0,4
3490.0,4
3495.0,2
3500.0,4
3505.0,2
3510.0,2
3515.0,2
3520.0,4
3525.0,4
3530.0,4
3535.0,4
3540.0,0
3545.0,4
3550.0,0
3555.0,0
3560.0,2
3565.0,0
3570.0,2
3575.0,3
3580.0,3
3585.0,2
3590.0,3
3595.0,2
