Step,Action
100.0,9
105.0,3
110.0,9
115.0,11
120.0,9
125.0,11
130.0,0
135.0,11
140.0,0
145.0,11
150.0,0
155.0,11
160.0,3
165.0,11
170.0,3
175.0,9
180.0,3
185.0,9
190.0,3
195.0,9
200.0,3
205.0,9
210.0,3
215.0,9
220.0,2
225.0,9
230.0,2
235.0,4
240.0,2
245.0,4
250.0,1
255.0,4
260.0,1
265.0,1
270.0,5
275.0,1
280.0,5
285.0,4
290.0,5
295.0,4
300.0,9
305.0,4
310.0,9
315.0,11
320.0,9
325.0,11
330.0,2
335.0,11
340.0,2
345.0,7
350.0,2
355.0,7
360.0,1
365.0,7
370.0,1
375.0,9
380.0,1
385.0,9
390.0,2
395.0,9
400.0,2
405.0,11
410.0,2
415.0,11
420.0,6
425.0,11
430.0,6
435.0,3
440.0,6
445.0,3
450.0,10
455.0,3
460.0,10
465.0,7
470.0,10
475.0,7
480.0,6
485.0,7
490.0,6
495.0,4
500.0,6
505.0,4
510.0,5
515.0,4
520.0,5
525.0,7
530.0,5
535.0,7
540.0,11
545.0,7
550.0,11
555.0,8
560.0,11
565.0,8
570.0,5
575.0,8
580.0,5
585.0,5
590.0,7
595.0,5
600.0,7
605.0,2
610.0,7
615.0,2
620.0,8
625.0,2
630.0,8
635.0,3
640.0,8
645.0,3
650.0,3
655.0,11
660.0,3
665.0,11
670.0,9
675.0,11
680.0,9
685.0,6
690.0,9
695.0,6
700.0,8
705.0,6
710.0,8
715.0,8
720.0,1
725.0,8
730.0,1
735.0,2
740.0,1
745.0,2
750.0,6
755.0,2
760.0,6
765.0,7
770.0,6
775.0,7
780.0,10
785.0,7
790.0,10
795.0,1
800.0,10
805.0,1
810.0,9
815.0,1
820.0,9
825.0,2
830.0,9
835.0,2
840.0,10
845.0,2
850.0,10
855.0,11
860.0,10
865.0,11
870.0,2
875.0,11
880.0,2
885.0,9
890.0,2
895.0,9
900.0,9
905.0,10
910.0,9
915.0,10
920.0,5
925.0,10
930.0,5
935.0,10
940.0,5
945.0,10
950.0,8
955.0,10
960.0,8
965.0,5
970.0,8
975.0,5
980.0,2
985.0,5
990.0,2
995.0,4
1000.0,2
1005.0,4
1010.0,9
1015.0,4
1020.0,9
1025.0,7
1030.0,9
1035.0,7
1040.0,0
1045.0,7
1050.0,0
1055.0,0
1060.0,8
1065.0,0
1070.0,8
1075.0,9
1080.0,8
1085.0,9
1090.0,4
1095.0,9
1100.0,4
1105.0,7
1110.0,4
1115.0,7
1120.0,7
1125.0,10
1130.0,7
1135.0,10
1140.0,10
1145.0,11
1150.0,10
1155.0,11
1160.0,10
1165.0,11
1170.0,10
1175.0,6
1180.0,10
1185.0,6
1190.0,9
1195.0,6
1200.0,9
1205.0,8
1210.0,9
1215.0,8
1220.0,5
1225.0,8
1230.0,5
1235.0,1
1240.0,5
1245.0,1
1250.0,5
1255.0,1
1260.0,5
1265.0,8
1270.0,5
1275.0,8
1280.0,4
1285.0,8
1290.0,4
1295.0,1
1300.0,4
1305.0,1
1310.0,1
1315.0,0
