Step,Action
2510.0,1
2515.0,3
2520.0,1
2525.0,1
2530.0,2
2535.0,1
2540.0,2
2545.0,1
2550.0,2
2555.0,1
2560.0,0
2565.0,1
2570.0,0
2575.0,3
2580.0,0
2585.0,3
2590.0,2
2595.0,3
2600.0,2
2605.0,3
2610.0,2
2615.0,3
2620.0,2
2625.0,3
2630.0,2
2635.0,2
2640.0,0
2645.0,2
2650.0,0
2655.0,2
2660.0,0
2665.0,2
2670.0,0
2675.0,2
2680.0,0
2685.0,1
2690.0,0
2695.0,1
2700.0,1
2705.0,2
2710.0,1
2715.0,2
2720.0,1
2725.0,2
2730.0,1
2735.0,3
2740.0,1
2745.0,3
2750.0,0
2755.0,3
2760.0,0
2765.0,3
2770.0,0
2775.0,3
2780.0,3
2785.0,2
2790.0,3
2795.0,2
2800.0,1
2805.0,2
2810.0,1
2815.0,3
2820.0,1
2825.0,3
2830.0,0
2835.0,3
2840.0,0
2845.0,0
2850.0,3
2855.0,0
2860.0,3
2865.0,2
2870.0,3
2875.0,2
2880.0,0
2885.0,2
2890.0,0
2895.0,3
2900.0,0
2905.0,3
2910.0,3
2915.0,1
2920.0,3
2925.0,1
2930.0,2
2935.0,1
2940.0,2
2945.0,1
2950.0,2
2955.0,1
2960.0,0
2965.0,1
2970.0,0
2975.0,0
2980.0,3
2985.0,0
2990.0,3
2995.0,0
3000.0,3
3005.0,0
3010.0,0
3015.0,0
3020.0,2
3025.0,0
3030.0,2
3035.0,3
3040.0,2
3045.0,3
3050.0,2
3055.0,3
3060.0,2
3065.0,2
3070.0,1
3075.0,2
3080.0,1
3085.0,0
3090.0,1
3095.0,0
3100.0,3
3105.0,0
3110.0,3
3115.0,2
3120.0,3
3125.0,2
3130.0,1
3135.0,2
3140.0,1
3145.0,1
3150.0,3
3155.0,1
3160.0,3
3165.0,1
3170.0,3
3175.0,1
3180.0,1
3185.0,3
3190.0,1
3195.0,3
3200.0,2
3205.0,3
3210.0,2
3215.0,1
3220.0,2
3225.0,1
3230.0,0
3235.0,1
3240.0,0
3245.0,0
3250.0,3
