rank,run_id,run_dir,algorithm,reward_mode,num_layers,layer_size,total_timesteps,mean_reward,std_reward,n_steps,last_steps_used
545,jqpby006,run-20260322_030942-jqpby006,a2c,co2_speedstd,3,64,,0.3831187910449533,0.09077266789198776,1003,100
546,vkmo2hfz,run-20260405_062554-vkmo2hfz,ppo,speed_throughput,5,256,50000.0,0.382952493255138,0.08759757400290215,512,100
547,p3rr6she,run-20260321_234032-p3rr6she,ppo,halt_ratio,3,64,,0.3810798657768866,0.07191432696228121,1003,100
548,gkkoxxk8,run-20260322_023719-gkkoxxk8,a2c,co2_speedstd,1,16,,0.38016520121383635,0.0860188411929655,1003,100
549,eoxkwk4z,run-20260322_025530-eoxkwk4z,a2c,co2_speedstd,2,64,,0.3795628981269094,0.11146399305280252,1003,100
550,82g36x8g,run-20260321_232355-82g36x8g,ppo,halt_ratio,2,128,,0.379002897368053,0.08655485109716436,1003,100
551,o94583f7,run-20260405_113707-o94583f7,ppo,speed_throughput,6,8,75000.0,0.37382975986497885,0.054782231998588636,757,100
552,fpaagsuu,run-20260322_025135-fpaagsuu,a2c,co2_speedstd,2,32,,0.37347858773506554,0.09431741315339078,1003,100
553,9tdy24kt,run-20260321_234100-9tdy24kt,ppo,halt_ratio,3,128,,0.37287258247338056,0.08215935164252512,1003,100
554,7hhr2xsf,run-20260322_024201-7hhr2xsf,a2c,co2_speedstd,1,64,,0.3723925548227737,0.0923916650101115,1003,100
555,zuj9r1sh,run-20260322_031008-zuj9r1sh,a2c,co2_speedstd,3,128,,0.3702052495510069,0.09315885553885164,1003,100
556,75ovy5ir,run-20260321_232355-75ovy5ir,ppo,halt_ratio,2,128,,0.3691428425753336,0.08238544013406907,1003,100
557,omuahf0l,run-20260321_232343-omuahf0l,ppo,halt_ratio,2,64,,0.3674844965117697,0.059323074778352324,1003,100
558,1m3icy75,run-20260322_025624-1m3icy75,a2c,co2_speedstd,2,128,,0.367046977014143,0.10853969306345158,1003,100
559,ad6h4dfx,run-20260321_233956-ad6h4dfx,ppo,halt_ratio,3,32,,0.36549163937999446,0.07759949931013826,1003,100
560,c6gd9n7o,run-20260321_234040-c6gd9n7o,ppo,halt_ratio,3,128,,0.3654810927059724,0.08285051613463461,1003,100
561,aor6vn8i,run-20260322_025127-aor6vn8i,a2c,co2_speedstd,2,32,,0.3652830619847302,0.08171841438989956,1003,100
562,z0yp61z5,run-20260321_234000-z0yp61z5,ppo,halt_ratio,3,64,,0.36447513124386843,0.07709466682394668,1003,100
563,0ohi49nw,run-20260322_030004-0ohi49nw,a2c,co2_speedstd,3,8,,0.3641557521878642,0.08672837744803016,1003,100
564,i43sbrbo,run-20260321_230522-i43sbrbo,ppo,halt_ratio,2,64,,0.36343191361361393,0.06828175834175387,1003,100
565,4n0riwww,run-20260321_233945-4n0riwww,ppo,halt_ratio,3,32,,0.3627023670772191,0.07362812523700547,1003,100
566,tle37o86,run-20260322_030018-tle37o86,a2c,co2_speedstd,3,8,,0.3607573578455139,0.10606553322236967,1003,100
567,icuqmfpf,run-20260322_025650-icuqmfpf,a2c,co2_speedstd,2,128,,0.360748608397784,0.09649927164240032,1003,100
568,f2yg17v6,run-20260322_031004-f2yg17v6,a2c,co2_speedstd,3,128,,0.3604767518858181,0.0792236309384168,1003,100
569,chfeh5mj,run-20260322_024246-chfeh5mj,a2c,co2_speedstd,1,128,,0.3601879082693377,0.09670972117403273,1003,100
570,zkxaaeuo,run-20260321_232403-zkxaaeuo,ppo,halt_ratio,2,128,,0.36016926792358767,0.08588332942774944,1003,100
571,mryume0p,run-20260322_023332-mryume0p,a2c,co2_speedstd,1,8,,0.35857575806760766,0.10188841264750004,1003,100
572,7t8j1u85,run-20260322_030040-7t8j1u85,a2c,co2_speedstd,3,8,,0.35766226912483495,0.09913948827440265,1003,100
573,l4178qzu,run-20260322_024742-l4178qzu,a2c,co2_speedstd,2,16,,0.3570688570015894,0.09320371062532336,1003,100
574,ymwry9bd,run-20260405_063107-ymwry9bd,ppo,speed_throughput,4,8,50000.0,0.3570201075698876,0.04277271291369241,512,100
575,hr43bigp,run-20260322_024228-hr43bigp,a2c,co2_speedstd,1,128,,0.35382358689326276,0.0814282959629549,1003,100
576,489ynwzf,run-20260322_024208-489ynwzf,a2c,co2_speedstd,1,64,,0.3525489071051655,0.10030231150347994,1003,100
577,8e0v1ei8,run-20260322_025524-8e0v1ei8,a2c,co2_speedstd,2,64,,0.3517991940513827,0.09531473012034723,1003,100
578,l7qkskao,run-20260322_023745-l7qkskao,a2c,co2_speedstd,1,32,,0.3517337482982333,0.10496703902065073,1003,100
579,dukr5hy2,run-20260321_234024-dukr5hy2,ppo,halt_ratio,3,64,,0.3504235686539662,0.08202395077694097,1003,100
580,08thcwnz,run-20260321_234034-08thcwnz,ppo,halt_ratio,3,128,,0.35019678370075824,0.07881490003046278,1003,100
581,8r0kxdei,run-20260322_023805-8r0kxdei,a2c,co2_speedstd,1,32,,0.3485941735975547,0.10952657516317972,1003,100
582,b77r5e41,run-20260321_230500-b77r5e41,ppo,halt_ratio,2,32,,0.34822823393627245,0.08585582162595086,1003,100
583,e8ofjl4q,run-20260322_030925-e8ofjl4q,a2c,co2_speedstd,3,64,,0.3477838195171635,0.08060969911721154,1003,100
584,vht99qwg,run-20260322_030043-vht99qwg,a2c,co2_speedstd,3,16,,0.3459166311939321,0.09627673739083156,1003,100
585,phx5x05h,run-20260322_030057-phx5x05h,a2c,co2_speedstd,3,16,,0.3439647366374807,0.10163843519717625,1003,100
586,4t16ru6o,run-20260321_224825-4t16ru6o,ppo,halt_ratio,1,64,,0.34372687088016746,0.07377880846944682,1003,100
587,qmtl0zh6,run-20260321_230506-qmtl0zh6,ppo,halt_ratio,2,32,,0.343300837305727,0.07597375340457932,1003,100
588,1tnz4tap,run-20260322_024612-1tnz4tap,a2c,co2_speedstd,2,8,,0.3431888186367885,0.08643924926321019,1003,100
589,cg6ztanb,run-20260322_030445-cg6ztanb,a2c,co2_speedstd,3,32,,0.3431185413060288,0.10431169027758147,1003,100
590,smdk67ro,run-20260321_233956-smdk67ro,ppo,halt_ratio,3,32,,0.34267153900905817,0.09344748482691186,1003,100
591,forse1la,run-20260322_030539-forse1la,a2c,co2_speedstd,3,32,,0.34259387116945333,0.09889744448287256,1003,100
592,jb1qndbg,run-20260322_023346-jb1qndbg,a2c,co2_speedstd,1,16,,0.34239586039776576,0.08811717676078575,1003,100
593,gbsiv9kl,run-20260322_024238-gbsiv9kl,a2c,co2_speedstd,1,128,,0.3393034964431854,0.10136479712573236,1003,100
594,r8t7iqv3,run-20260322_030501-r8t7iqv3,a2c,co2_speedstd,3,32,,0.3390310376373247,0.10331606676080962,1003,100
595,tw3zdjfi,run-20260322_023340-tw3zdjfi,a2c,co2_speedstd,1,16,,0.3383244255445377,0.10720774841722988,1003,100
596,zhzswu7f,run-20260322_024620-zhzswu7f,a2c,co2_speedstd,2,8,,0.3380977215817566,0.10934064896003612,1003,100
597,hojcz78d,run-20260322_030437-hojcz78d,a2c,co2_speedstd,3,16,,0.33716131502029184,0.1076521529204266,1003,100
598,iza6ytvb,run-20260322_024708-iza6ytvb,a2c,co2_speedstd,2,16,,0.3367115710983555,0.09768488526003995,1003,100
599,bj7kq2sn,run-20260322_023304-bj7kq2sn,a2c,co2_speedstd,1,8,,0.3357008565295794,0.0938309786954696,1003,100
600,vgm8m7tn,run-20260322_024642-vgm8m7tn,a2c,co2_speedstd,2,8,,0.33546092587828336,0.0937552408736381,1003,100
601,8vx033ic,run-20260321_232349-8vx033ic,ppo,halt_ratio,2,64,,0.33464636979814466,0.08711771208899194,1003,100
602,c5ynv35h,run-20260322_025055-c5ynv35h,a2c,co2_speedstd,2,16,,0.33432557356934534,0.10233929486071662,1003,100
603,nbbf3d62,run-20260405_090415-nbbf3d62,ppo,speed_throughput,1,32,50000.0,0.3336871960707288,0.04978701221275548,512,100
604,eokt6ejg,run-20260322_030603-eokt6ejg,a2c,co2_speedstd,3,64,,0.3329240902950989,0.09341649444191823,1003,100
605,t9vlmj78,run-20260322_025550-t9vlmj78,a2c,co2_speedstd,2,128,,0.33000293129158836,0.09225882799774823,1003,100
606,4969d99y,run-20260405_044553-4969d99y,ppo,speed_throughput,1,8,100000.0,0.32972523127388137,0.04479085064013031,1003,100
607,qmhn6le5,run-20260322_023844-qmhn6le5,a2c,co2_speedstd,1,64,,0.32961872760508354,0.093863428664983,1003,100
608,2scyy759,run-20260322_031026-2scyy759,a2c,co2_speedstd,3,128,,0.3289362306918408,0.0951196528281131,1003,100
609,ns9oli7n,run-20260321_224819-ns9oli7n,ppo,halt_ratio,1,64,,0.3287696927063116,0.08316068656558363,1003,100
610,9cey745b,run-20260321_224833-9cey745b,ppo,halt_ratio,1,128,,0.32584935548800414,0.0717615245593003,1003,100
611,g5bgebmu,run-20260322_023316-g5bgebmu,a2c,co2_speedstd,1,8,,0.32317173870352767,0.10140706246531017,1003,100
612,p46etb6j,run-20260321_224827-p46etb6j,ppo,halt_ratio,1,128,,0.3213341432325826,0.08518189954808074,1003,100
613,geb27rpe,run-20260321_224823-geb27rpe,ppo,halt_ratio,1,64,,0.3212622459940077,0.08225047244501286,1003,100
614,1mo94uf8,run-20260321_224850-1mo94uf8,ppo,halt_ratio,1,128,,0.32032527266792643,0.1015591210792433,1003,100
615,jihviiya,run-20260322_023725-jihviiya,a2c,co2_speedstd,1,32,,0.31615645380472773,0.10370175728305853,1003,100
616,9vnvucqn,run-20260321_230458-9vnvucqn,ppo,halt_ratio,2,32,,0.31585502561437195,0.06399607791030539,1003,100
617,e4032qyb,run-20260322_025147-e4032qyb,a2c,co2_speedstd,2,64,,0.31398499931469315,0.09908976962620593,1003,100
