rank,sweep_id,sweep_label,run_id,algorithm,reward_mode,num_layers,layer_size,total_timesteps,learning_rate,gamma,batch_size,gradient_steps,mean_reward,std_reward,n_steps,last_steps_used
216,vm4rjeax,QRDQN | speed_throughput (56 run),xtiqtsry,qrdqn,speed_throughput,2,128,50000,0.004198322468657059,0.9769175202082824,256,1,0.5001440062177782,0.06381805314415366,1000,100
217,upoarol0,QRDQN | speed_throughput (48 run),3b554ck6,qrdqn,speed_throughput,6,64,75000,0.0010912030006733611,0.9916260573345907,64,1,0.5001005273152888,0.0592986726120275,1000,100
218,vm4rjeax,QRDQN | speed_throughput (56 run),vk77lmwo,qrdqn,speed_throughput,5,64,100000,0.004066936464717811,0.9547897133826329,128,1,0.4995036531194112,0.05782985662494188,1000,100
219,upoarol0,QRDQN | speed_throughput (48 run),h4431wpu,qrdqn,speed_throughput,5,256,100000,0.00026111465397687147,0.9918878175470296,128,4,0.49901497122667954,0.06000176876824978,1000,100
220,vm4rjeax,QRDQN | speed_throughput (56 run),myyfj3zl,qrdqn,speed_throughput,6,64,100000,0.0015691496259586436,0.9457213884749356,128,1,0.4988887835122485,0.06430444913036143,1000,100
221,vm4rjeax,QRDQN | speed_throughput (56 run),9jd2u4yw,qrdqn,speed_throughput,5,128,100000,0.00011561874939435192,0.9524724965248624,256,1,0.4987616113303324,0.0617878840049095,1000,100
222,upoarol0,QRDQN | speed_throughput (48 run),6oaz74ng,qrdqn,speed_throughput,5,128,75000,0.0002634305645720512,0.9604181259002652,32,4,0.49822507243184977,0.05796823117157737,1000,100
223,vm4rjeax,QRDQN | speed_throughput (56 run),pdoq5j14,qrdqn,speed_throughput,2,32,100000,0.0006545407076775672,0.9261714501017604,256,1,0.49807061549015663,0.054743691045840565,1000,100
224,vm4rjeax,QRDQN | speed_throughput (56 run),6b9bmn6f,qrdqn,speed_throughput,1,256,75000,0.0008204755961583687,0.9836692788704549,64,1,0.4980067036039407,0.056930814722212994,1000,100
225,upoarol0,QRDQN | speed_throughput (48 run),tgw1ovsy,qrdqn,speed_throughput,6,256,75000,7.486044910949715e-05,0.92615558964172,256,1,0.4976271769055156,0.062182061507996295,1000,100
226,vm4rjeax,QRDQN | speed_throughput (56 run),k34dz6j9,qrdqn,speed_throughput,1,256,100000,0.0009312165761088212,0.9880645879987544,256,1,0.4975987846054354,0.06116060388935531,1000,100
227,vm4rjeax,QRDQN | speed_throughput (56 run),4ghamw49,qrdqn,speed_throughput,5,64,100000,0.0003738807244567012,0.9322695702208728,256,1,0.49752460033247914,0.05809800273018318,1000,100
228,upoarol0,QRDQN | speed_throughput (48 run),hzhdy6e6,qrdqn,speed_throughput,1,8,100000,0.0006435537138512347,0.9290368918181574,64,1,0.49678512507290634,0.05859950552546759,1000,100
229,upoarol0,QRDQN | speed_throughput (48 run),rytwmt3y,qrdqn,speed_throughput,1,64,50000,0.0001523569081538869,0.9589175316803024,32,4,0.4939317565583113,0.05776886010836875,1000,100
230,vm4rjeax,QRDQN | speed_throughput (56 run),iguhkfef,qrdqn,speed_throughput,1,64,75000,0.0010814592863418895,0.9409339685136936,128,1,0.4938528103125528,0.056364743490298144,1000,100
231,vm4rjeax,QRDQN | speed_throughput (56 run),5ytzcu4d,qrdqn,speed_throughput,4,256,100000,0.0007171649265961604,0.9191542078968956,128,1,0.493340002372501,0.05693709316840722,1000,100
232,vm4rjeax,QRDQN | speed_throughput (56 run),pjkrp5rw,qrdqn,speed_throughput,6,128,50000,0.0001107903984539122,0.9708732606748864,32,1,0.493234813639026,0.06166587788830699,1000,100
233,vm4rjeax,QRDQN | speed_throughput (56 run),x9t8nln9,qrdqn,speed_throughput,5,128,50000,0.0016880220321525302,0.9265804610220651,256,1,0.4927478553479501,0.054349373081759855,1000,100
234,vm4rjeax,QRDQN | speed_throughput (56 run),f579j66k,qrdqn,speed_throughput,3,64,75000,0.0008208530150220104,0.9286230120941074,256,1,0.4920750303255826,0.05851332880233139,1000,100
235,upoarol0,QRDQN | speed_throughput (48 run),wdg0vcu2,qrdqn,speed_throughput,2,8,75000,0.00015398151370763443,0.9483353190431504,256,2,0.4901400477248735,0.06801597363759185,1000,100
236,vm4rjeax,QRDQN | speed_throughput (56 run),ouq0abvg,qrdqn,speed_throughput,3,128,50000,0.0001295772222382682,0.969283319739986,64,1,0.48933198264882477,0.05546061819024993,1000,100
237,vm4rjeax,QRDQN | speed_throughput (56 run),5u0sawel,qrdqn,speed_throughput,6,128,75000,0.00020489475471282504,0.9935875772363532,64,1,0.48871117329796177,0.05066464829676634,1000,100
238,vm4rjeax,QRDQN | speed_throughput (56 run),b9xlp6qn,qrdqn,speed_throughput,4,64,100000,0.0007763197237937863,0.9724949379942464,64,1,0.48841748967308696,0.05418753178855263,1000,100
239,vm4rjeax,QRDQN | speed_throughput (56 run),os2kkcly,qrdqn,speed_throughput,3,128,100000,0.00011933212556872222,0.9499288251397872,128,1,0.48713277838739044,0.057683268126408636,1000,100
240,wqs01xjl,PPO | speed_throughput (156 run),33yhv5hj,ppo,speed_throughput,3,64,50000,0.001141608989132897,0.920111763048202,32,1,0.47471934658700077,0.06266086543234033,512,100
241,wqs01xjl,PPO | speed_throughput (156 run),yq2vmmms,ppo,speed_throughput,4,32,50000,0.0031204588840630107,0.9138745600542424,32,4,0.47044237993838633,0.10325788101077871,512,100
